zip_code,city,latitude,longetude,population,People / Sq. Mile,National Rank,number,State
10162,New York,40.769298,-73.949942,1726,151834.77,#1,1, New York
10028,New York,40.776865,-73.954721,44987,126067.69,#2,2, New York
10128,New York,40.781656,-73.950281,59856,122356.52,#3,3, New York
8625,Trenton,40.207185,-74.756664,1834,115477.17,#4,4, New Jersey
10031,New York,40.825857,-73.949451,60221,101100.03,#5,5, New York
10009,New York,40.726622,-73.978955,58595,100687.04,#6,6, New York
10032,New York,40.839194,-73.942591,63842,97879.45,#7,7, New York
11372,Jackson Heights,40.751706,-73.883561,71308,97325.47,#8,8, New York
10016,New York,40.744983,-73.978262,51217,93367.31,#9,9, New York
10003,New York,40.731856,-73.989145,53673,93255.87,#10,10, New York
10002,New York,40.715952,-73.98587,84870,91610.4,#11,11, New York
10026,New York,40.80232,-73.952943,30377,91152.04,#12,12, New York
10023,New York,40.775394,-73.982197,62206,90007.7,#13,13, New York
10025,New York,40.797958,-73.964917,97086,88306.24,#14,14, New York
10453,Bronx,40.852779,-73.912332,76775,87970.27,#15,15, New York
10030,New York,40.818492,-73.943283,25847,85824.24,#16,16, New York
10021,New York,40.769742,-73.961653,102078,82704.42,#17,17, New York
11226,Brooklyn,40.64643,-73.956866,106154,81064.34,#18,18, New York
10029,New York,40.792245,-73.94523,75390,80506.67,#19,19, New York
10012,New York,40.725639,-73.99809,26000,80124.51,#20,20, New York
10033,New York,40.849124,-73.935956,58259,78867.63,#21,21, New York
10040,New York,40.858134,-73.929031,46599,75283.14,#22,22, New York
11104,Sunnyside,40.744515,-73.920457,29506,74459.01,#23,23, New York
10452,Bronx,40.837763,-73.923314,72138,74380.42,#24,24, New York
10011,New York,40.741844,-74.000711,46669,71113.64,#25,25, New York
10039,New York,40.826296,-73.937053,21737,70988.68,#26,26, New York
10456,Bronx,40.830877,-73.907954,76656,70924.4,#27,27, New York
10010,New York,40.739122,-73.982363,26408,70827.7,#28,28, New York
10468,Bronx,40.868093,-73.89973,78309,70721.85,#29,29, New York
10022,New York,40.758615,-73.967752,30642,68953.71,#30,30, New York
10037,New York,40.813159,-73.937352,16984,65200.97,#31,31, New York
