zip_code,county,latitude,longetude
10453,Bronx,40.853017,-73.91214
10458,Bronx,40.864166,-73.88881
10451,Bronx,40.819729,-73.9223
10454,Bronx,40.805968,-73.91628
10463,Bronx,40.881086,-73.90749
10466,Bronx,40.89095,-73.84702
10461,Bronx,40.842917,-73.83819
10457,Bronx,40.846745,-73.89861
10460,Bronx,40.84095,-73.88036
10467,Bronx,40.872265,-73.86937
10468,Bronx,40.867107,-73.89916
10452,Bronx,40.838745,-73.92234
10456,Bronx,40.829676,-73.90856
10455,Bronx,40.815559,-73.90771
10459,Bronx,40.825432,-73.89327
10474,Bronx,40.81321,-73.88755
10471,Bronx,40.900819,-73.90347
10469,Bronx,40.868643,-73.84735
10470,Bronx,40.900629,-73.86072
10475,Bronx,40.878522,-73.82541
10462,Bronx,40.842173,-73.85862
10464,Bronx,40.857017,-73.78903
10465,Bronx,40.825727,-73.81752
10472,Bronx,40.830409,-73.86845
10473,Bronx,40.818514,-73.85893
11212,Brooklyn,40.662191,-73.91328
11209,Brooklyn,40.62327,-74.0295
11204,Brooklyn,40.618944,-73.98473
11234,Brooklyn,40.618561,-73.9216
11223,Brooklyn,40.598142,-73.97229
11201,Brooklyn,40.695286,-73.98907
11203,Brooklyn,40.649059,-73.93304
11207,Brooklyn,40.670874,-73.89424
11211,Brooklyn,40.71209,-73.95427
11220,Brooklyn,40.641436,-74.01574
11206,Brooklyn,40.702348,-73.94288
11213,Brooklyn,40.670937,-73.93459
11216,Brooklyn,40.680398,-73.94824
11233,Brooklyn,40.676938,-73.91858
11238,Brooklyn,40.680145,-73.96257
11214,Brooklyn,40.598994,-73.99611
11228,Brooklyn,40.617563,-74.01168
11218,Brooklyn,40.644552,-73.97595
11219,Brooklyn,40.632449,-73.99629
11230,Brooklyn,40.622994,-73.96427
11236,Brooklyn,40.640527,-73.90362
11239,Brooklyn,40.645848,-73.87919
11224,Brooklyn,40.576589,-73.99172
11229,Brooklyn,40.599256,-73.94118
11235,Brooklyn,40.583803,-73.95019
11205,Brooklyn,40.694214,-73.96529
11215,Brooklyn,40.667508,-73.9856
11217,Brooklyn,40.68209,-73.97783
11231,Brooklyn,40.6788,-74.00254
11210,Brooklyn,40.627946,-73.94552
11225,Brooklyn,40.662892,-73.95509
11226,Brooklyn,40.645256,-73.95553
11208,Brooklyn,40.672666,-73.87248
11222,Brooklyn,40.726302,-73.94559
11232,Brooklyn,40.655481,-74.00424
11221,Brooklyn,40.691234,-73.92637
11237,Brooklyn,40.703355,-73.91993
10026,Manhattan,40.802853,-73.95471
10001,Manhattan,40.750742,-73.99653
10029,Manhattan,40.791586,-73.94575
10010,Manhattan,40.739022,-73.98205
10012,Manhattan,40.72596,-73.99834
10004,Manhattan,40.699226,-74.04118
10002,Manhattan,40.71704,-73.987
10021,Manhattan,40.76842,-73.96045
10023,Manhattan,40.776099,-73.98285
10031,Manhattan,40.826201,-73.94879
10027,Manhattan,40.812665,-73.95499
10030,Manhattan,40.818151,-73.94351
10037,Manhattan,40.813385,-73.93616
10039,Manhattan,40.826181,-73.9371
10011,Manhattan,40.741012,-74.00012
10018,Manhattan,40.755101,-73.99337
10019,Manhattan,40.765714,-73.9856
10020,Manhattan,40.758667,-73.98024
10036,Manhattan,40.759511,-73.99019
10035,Manhattan,40.802395,-73.93359
10016,Manhattan,40.74618,-73.97759
10017,Manhattan,40.752159,-73.97231
10022,Manhattan,40.759015,-73.96732
10013,Manhattan,40.720666,-74.00526
10014,Manhattan,40.734718,-74.00532
10005,Manhattan,40.706019,-74.00858
10006,Manhattan,40.707904,-74.01342
10007,Manhattan,40.714754,-74.00721
10038,Manhattan,40.709677,-74.00365
10280,Manhattan,40.707467,-74.0178
10003,Manhattan,40.732509,-73.98935
10009,Manhattan,40.727093,-73.97864
10028,Manhattan,40.776777,-73.9541
10044,Manhattan,40.762174,-73.94917
10128,Manhattan,40.781894,-73.95039
10024,Manhattan,40.786387,-73.97709
10025,Manhattan,40.798502,-73.96811
10032,Manhattan,40.840686,-73.94154
10033,Manhattan,40.848764,-73.93496
10034,Manhattan,40.867653,-73.92
10040,Manhattan,40.858704,-73.92853
11361,Queens,40.763177,-73.77392
11354,Queens,40.767969,-73.82496
11365,Queens,40.738983,-73.79209
11412,Queens,40.697188,-73.75948
11101,Queens,40.745341,-73.93907
11374,Queens,40.724945,-73.8609
11691,Queens,40.60002,-73.75962
11004,Queens,40.742944,-73.70956
11414,Queens,40.658188,-73.84321
11368,Queens,40.747106,-73.85838
11362,Queens,40.759686,-73.73322
11363,Queens,40.772636,-73.74644
11364,Queens,40.746718,-73.75994
11355,Queens,40.749463,-73.81941
11356,Queens,40.785462,-73.84366
11357,Queens,40.784453,-73.80922
11358,Queens,40.760522,-73.79612
11359,Queens,40.79278,-73.776701
11360,Queens,40.780386,-73.78005
11366,Queens,40.726137,-73.79502
11367,Queens,40.728614,-73.82145
11423,Queens,40.714261,-73.76824
11432,Queens,40.714144,-73.79324
11433,Queens,40.696538,-73.78734
11434,Queens,40.674888,-73.7727
11435,Queens,40.700068,-73.80986
11436,Queens,40.674146,-73.79687
11102,Queens,40.771286,-73.92462
11103,Queens,40.762968,-73.91091
11104,Queens,40.743796,-73.91949
11105,Queens,40.774686,-73.90816
11106,Queens,40.762012,-73.93147
11375,Queens,40.720535,-73.84582
11379,Queens,40.716028,-73.87925
11385,Queens,40.703069,-73.89285
11692,Queens,40.592939,-73.79568
11693,Queens,40.596959,-73.81978
11694,Queens,40.57649,-73.84721
11695,Queens,40.651378,-73.870779
11697,Queens,40.560167,-73.90891
11005,Queens,40.756983,-73.7148
11411,Queens,40.693538,-73.73574
11413,Queens,40.670138,-73.75141
11422,Queens,40.662538,-73.73514
11426,Queens,40.732239,-73.72108
11427,Queens,40.728235,-73.74782
11428,Queens,40.719981,-73.74127
11429,Queens,40.708833,-73.73903
11415,Queens,40.706903,-73.82973
11416,Queens,40.683301,-73.8503
11417,Queens,40.675534,-73.84476
11418,Queens,40.698485,-73.83365
11419,Queens,40.688688,-73.82216
11420,Queens,40.673138,-73.81443
11421,Queens,40.69087,-73.85828
11369,Queens,40.762854,-73.87051
11370,Queens,40.763015,-73.89052
11372,Queens,40.750146,-73.88433
11373,Queens,40.736076,-73.87804
