,business_id,name,rating,zip_code,review_count,price
0,TzIJzamxdVGc3zReKbLGaA,Providence,4.5,90038,2646,$$$$
1,ikF6L0HiC3_AhAiywWzS3g,Salt & Straw,4.5,90004,2051,$$
2,q8buTNBt3FU9vie0D5OOxA,Pizzeria Mozza,4.0,90036,4187,$$
3,ki5SNb4Lli6uOklz6BXXGw,Blu Jam Café,4.0,90046,5144,$$
4,Fb3WueRF1ekhs72psinq5w,Mario's Peruvian & Seafood,4.0,90038,2281,$$
5,6i7KnRylm4bhPIApDFSVCg,Dave's Hot Chicken,4.5,90029,2714,$$
6,BzmbRSKGs56Yw2w2R12khw,Hoy-Ka Thai Restaurant,4.5,90028,1751,$$
7,6GTaESIP0r1oFunFqqevsw,Cafe Gratitude - Larchmont,4.0,90004,2094,$$
8,pAWfcO6e2ae2pIkJXWO-yA,Roscoe's House of Chicken & Waffles,4.0,90028,3848,$$
9,hwzXnZuNa6yo32swVVhtaw,Grub,4.0,90038,1884,$$
10,YoQn8MtOimQbqi839TmeZw,Osteria Mozza,4.0,90038,2742,$$$$
11,8VifOOWbCv2je0K6r7yUcA,Milk,4.0,90036,5815,$$
12,E4W2T89vm4hmBwk39EoUuw,Tatsu Ramen,4.0,90046,3411,$$
13,uteG6HIb4an-y5fFCXWo7w,Anarkali Indian Restaurant,4.0,90038,2576,$$
14,z0zaCVA-p_5xTsyUZrmR0g,République,4.0,90036,5261,$$
15,GbAZbcCR969hfa4kCQqRcw,Eat This Cafe,4.5,90038,1022,$$
16,rr-hXB0ZqXLzUP97yftp0g,Osteria Mamma,4.0,90038,1552,$$
17,amNWerp63joyW5M6tVbMcQ,SK Donuts & Croissant,4.5,90036,2038,$
18,GKQApReu8U9hip4A2ApJ_A,Osteria La Buca,4.0,90038,1872,$$
19,7HANpUE8WiO_7drbeZpjvA,Doomie's Home Cookin',4.0,90038,1695,$$
0,tsiC3VpO-hZEb98Qk3p-DQ,Amy Ruth's,4.0,10026,2555,$$
1,UGECJrPSWy0n7PXykBBWAQ,Two Little Red Hens,4.5,10028,2541,$$
2,CfWe636m2CAUg4FAdl_zVQ,Ricardo Steak House,4.0,10029,1022,$$$
3,BxnrBKdLwdaEXyq97uxgKg,Cascalote Latin Bistro,4.5,10029,336,$$
4,Kh0-HmlgmVUkRxR55_Vn1g,Patsy's Pizzeria,4.0,10035,817,$$
5,fxGpXRxFUDzlU3Cyszu4uQ,Red Rooster Harlem,3.5,10027,3174,$$$
6,9pMhRYYgV7E9L7pzECtJKA,The Drunken Munkey - UES,4.5,10128,970,$$
7,IJg3TdXz8IzKTfcspmr8MQ,Seasoned Vegan,4.0,10026,1117,$$
8,u9xVzV1OZC5pwtUgaHLM-A,El Kallejon,4.5,10035,277,$$
9,JEQ00qBAepe0oSiUBdfIew,Taverna Kyclades,4.0,11105,2222,$$
10,uEjX8iic3W16rU3bRkCjyg,"Sal, Kris, & Charlie's Deli",4.5,11105,1029,$
11,k3iUNUGsl-xpQ_EsOfTadA,Cafe Ollin,4.5,10029,380,$$
12,5o-jorn07AInbmlNlYGC0g,Dear Mama Coffee,4.5,10029,262,$
13,MtcgW0RCTm44PuA-HAq49g,Santiago's Beer Garden,4.5,10035,156,$$
14,-OixbLnFLCzQclxCSbUQ8w,Up Thai,4.5,10021,2180,$$
15,RI-tVET-wKFeRNKm4cg0wQ,Sylvia's Restaurant,3.5,10027,1799,$$
16,QHYqNQhQ8NVK0RX68Y4PuQ,Levain Bakery,4.5,10026,709,$$
17,lqnI_jISnH7RZWlPtKkViQ,Tres Leches Cafe,5.0,10029,111,$
18,J9xVQScnr0lYWl61_mLXMA,Lido,4.0,10026,950,$$
19,DpZBA0-f7Um9lvnp1zZM2A,Earl's Beer & Cheese,4.0,10029,587,$$
0,C8j0q4Ma_S5hBGuAI-aaww,Di Fara Pizza,4.0,11230,3377,$$
1,HqVdTKCpOZWrCvUF9rG2sA,Brennan & Carr,4.0,11229,641,$$
2,BsdB6DhfvSq7ZZs-_u0RpA,Taci's Beyti,4.5,11223,692,$$
3,fPJoi_TVRhjBdPYBZS6kXg,Roll-N-Roaster,4.0,11235,1072,$$
4,uYHN9Vw3V1ajDGRnNDtbYw,Michael's of Brooklyn,4.5,11229,220,$$$
5,glccbDYpXzsozu7truCf5w,Nargis Cafe,4.0,11235,638,$$
6,ApVoDeSuEXp8Paqc5Mrfzw,Jay & Lloyd's Kosher Deli,4.0,11229,232,$$
7,g5RU0f6w4V7o4xjlKrDetA,Opera Cafe & Lounge,4.0,11235,599,$$
8,rYuAHi4RJZGGHlyqROJlbA,East Sushi Bistro,4.0,11229,141,$$
9,ZLZswviJ0CSX5ZeQFSO2sQ,Pho Vietnam,4.0,11229,289,$
10,1qOS6TKzsaiVVeMVbl6sCA,Wise Espresso Bar,4.0,11235,494,$$
11,rlp1_EyRynmIDlJClhRNlQ,Randazzo's Clam Bar,3.5,11235,603,$$
12,V58g7E1AHkuTchTVyLQuYQ,Saigon Grill & Bar,4.5,11234,200,$$
13,OXwE8UzYV0kvQpV5Bv6nHQ,Anthony's Place,4.0,11229,188,$$
14,nznIq087BJUN1fLtPQ0Xww,Lagman House,4.5,11235,93,$$
15,x_YWFkTcxEu1lo8Nlrog5A,Milk & Honey Cafe,4.0,11230,955,$$
16,D1jp3pfGvyYyaXBN8iJRBg,The Farm On Adderley,4.0,11218,1163,$$
17,uXIh-aQ1jpJ6Q_VpXVTAqA,Shaikh's Place / Donut Shoppe,4.0,11229,180,$
18,-d8E36_poxJgHT415CC6rA,Pho Hoai Restaurant,3.5,11229,295,$
19,74_AWDgegkGvxbJAgukJAA,Michael's Pastry Shop,4.5,11229,90,$$
0,ku-2zIPU6KwzMeM3Z-qTJQ,Océano,4.0,00907,926,$$$
1,Z7Qp_260opLDHMgiF_EGbQ,La Casita Blanca,4.5,00933,296,$$
