,Unnamed: 0,business_id,name,rating,zip_code,review_count,price
0,19,-0TffRSXXIlBYVbb5AwfTg,IndeBlue,4.5,19107.0,919,$$
1,5,-5gWvrcKOPmhlcZju3tpbw,Flour Bakery + Café,4.5,2210.0,1139,$$
2,18,-6tSx9IXwt1btreBtcyZ0g,Würstbar,4.5,7302.0,292,$$
3,14,-BhtkobiICQ-SaJZa7-7oA,Abracadabra,4.5,912.0,175,$$
5,4,-C2vxDphxWzYPLgNgdKJAQ,Cafe Vida - Culver City,4.0,90232.0,1304,$$
6,0,-DfaqvIQAw8vD3ZFAxo_eQ,The Melting Pot,4.0,94939.0,947,$$$
7,11,-DrR38H1Abk0wCyu9XOLug,Sweet Maple,4.0,94115.0,3587,$$
8,11,-E3RrsOr4QUIr_q-sS1D4g,Subculture Extraordinary Sandwiches,4.5,92647.0,1725,$
9,8,-FOAQv22SXtSBs7nptI3UA,Serious Pie,4.0,98121.0,4083,$$$
10,13,-HqkUZg3tu-ZAV1RhdzXHQ,Tacotlan,5.0,60639.0,67,$$
12,17,-LJayGlySYnQ8z2VvZyFNw,Little Vietnam,4.5,60640.0,328,$
13,7,-Lr1m0GQrRASjHMMjBy7gw,Taco Nazo,4.5,91746.0,635,$
14,5,-M0aSSQqEEAkxsXLwXwIvQ,The Sun Vegan,5.0,92708.0,317,$$
16,4,-ODCWj7_ByZxlYDfFY04ZA,The Left Bank,4.0,14213.0,386,$$$
17,4,-OixbLnFLCzQclxCSbUQ8w,Up Thai,4.5,10021.0,2180,$$$$
22,16,-P7qAIG1wr_gXW3nzIq5TA,Flex Mussels,4.0,10028.0,1016,$$
24,19,-TQzyEuF3VGBm46uTIvKhQ,Mr Taco,4.0,60804.0,73,$$
25,7,-Tp77Ce5OCpP1-KXUYtX9A,Robust Coffee Lounge,4.0,60637.0,242,$$
26,13,-U5_O08FMO2EcgZhe8_JjA,Pinky's,4.5,92648.0,201,$
29,19,-W8rtYk_mBsgoQHYVxAh2g,Cheesie's Pub and Grub,4.0,60657.0,1159,$
30,11,-YazuZbXAM_NOny8LpLQpQ,BKNY Thai Restaurant,4.0,11361.0,1234,$$
31,18,-d8E36_poxJgHT415CC6rA,Pho Hoai Restaurant,3.5,11229.0,295,$
32,13,-f3GB9AGUqLFkXorluMFTQ,Beets and Carrots,4.5,11209.0,153,$$
33,6,-jzM-EY5zSVx8CtoQTfe4Q,Glee Donuts & Burgers,4.5,92708.0,1196,$
34,14,-kVueEw_fyO1Q2Gkmj6Few,Taqueria Santa Fe,4.5,11377.0,338,$$
35,11,-rqqnZeGmwyfkqoRskSO1g,Koroni Souvlaki and Grill,5.0,11102.0,241,$$
36,19,-sdMTRmgExufOk6STZFi9w,Little Goat Diner,4.0,60607.0,4473,$$
37,5,-urNLXq1RYUDAy5XCWLaqQ,Fogo de Chão Brazilian Steakhouse,4.0,90211.0,3890,$
38,14,-v5HyepnYLCwhAsWmhFxDg,Le Croissant,4.0,94901.0,257,$$
39,16,-wlmZ-b35UJ-GY-59NDxyw,H Mart - Elkins Park,4.0,19027.0,139,$$$$
40,9,0-EhWj8cE1KXMVzLcPCyfQ,Pho Dollar,4.0,14213.0,218,$$
41,14,0-OTVzmRIV1csYwQYuCa8g,Call Your Mother,4.5,20010.0,324,$$
42,16,01eI6pT0doZiu0nm-Gl7RA,Trattoria 35,4.0,11361.0,422,$$
43,11,02oBjokdUTknN3kIWjlvBg,Bay Leaf Restaurant,4.5,18101.0,70,$$
44,15,07cgAXFckwWiEDVpv3DdkA,Guy Fieri's Baltimore Kitchen + Bar,2.5,21230.0,409,$$
45,10,08KCenrjRbL7vzfHjdGYyg,Estrellita Poblana IV,4.0,10461.0,164,$$
46,3,094fHChJkrJqztSFCn3ezA,Taqueria Habanero,4.5,20010.0,787,$$
47,10,09FLRYnePKcUwGDDPIOAkg,Biscuit Bitch,4.0,98101.0,3665,$$
48,17,09y5uyX7z41mjoA9fVF1bQ,Tang Restaurant,4.0,11358.0,589,$$
49,14,0FX_Xm8cV3ePXd_IQ_qJXA,Astoria Park,4.5,11102.0,271,$
50,14,0FonNwb6KPN-AwkC_yHQ4Q,Tamale Spaceship,4.0,60608.0,252,$$
52,1,0Jr2OP0B2MM4LvJY_K6cTQ,Aurora Ristorante,4.5,7011.0,272,$$$$
54,8,0L03onqNwxWLrbb_FCK79A,SriPraPhai Thai Restaurant,4.0,11377.0,2301,$
55,14,0OhHaleW2rPQdj6e3eSWWQ,AYCE Gogi,4.0,91405.0,1531,$$
57,18,0PPM0wxA2r8XVM8vbMm9Pw,MCCB Chicago 时尚食谱,4.5,60616.0,366,$
58,10,0RuvlgTnKFbX3IK0ZOOocA,Green Eggs Café,4.0,19107.0,2436,$$
59,7,0WyRlH-fxOVLh1b3oEBEEQ,Urth Caffé- Downtown LA,4.0,90013.0,5153,$$
60,8,0ZENqrACvQ4tiMvFEkgVPg,Jimmy's Pizza Café,4.5,60625.0,580,$
62,13,0c0sRK0EJy-0cpKm8T3rbg,Chicago Architecture Center,4.5,60601.0,407,$$
63,1,0eMo-MeawM-tmbwpzv3rDg,Carnitas Uruapan,4.5,60608.0,393,$
64,2,0fFLUKl71vv3eNV2xhikEw,Spacca Napoli,4.0,60640.0,1482,$$
66,13,0fYNLK7VpBUW4mgFyPCrWQ,Over Easy Cafe,4.5,60625.0,1450,$$
70,19,0i4xc9_vr82bPc9Tc1GlJg,The Black Sheep,4.0,14213.0,213,$$$
71,10,0jlUpkdXg3LCE44UKKhjqA,Portland City Grill,4.0,97204.0,2786,$
72,13,0maqJx29uhZkmoBJB1BCqA,Nothing Bundt Cakes,4.5,94925.0,126,$$
73,19,0moCmUJglGyqZrWFlV4yhA,Pig In a Pickle,4.0,94925.0,397,$$
74,12,0nodbAAmzaG3MJWzPUpvTg,Garden Cafe,4.5,91423.0,1570,$$
75,16,0oSSjekU-3GR8gselReWnA,Butcher and Singer,4.5,19102.0,1165,$$$$
76,16,0ozEuma8Rcso9OqLsfh3TA,Hans' Homemade Ice Cream,4.0,92704.0,1115,$
77,10,0pc352jFnUQFAw8DgmeSjw,5 Rabanitos Restaurante and Taqueria,4.0,60608.0,446,$
78,18,0sM-AAk5rJ-4KpyCwg3x-Q,Bonefish Grill,4.0,18052.0,203,$$
79,3,0saWzOZuxrjvvReiVQL_Mw,Hummus House,4.5,18102.0,168,$
80,7,0syWUHwfAz1jfuNY6KymPQ,Hula Grill Waikiki,4.0,96815.0,2606,$$
81,11,0upo44caHvgYeA34PSNFRQ,Bill's Hamburgers,4.5,91411.0,676,$
82,17,0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,4.5,10028.0,422,$$
83,15,0xOp-P2AJCSMTFut5GLX_A,Ristorante Agostino,4.0,60707.0,104,$
84,16,0zvo5YGRwC8FB7zwHi_Wig,Sushi You,4.0,11364.0,204,$$
85,4,11855kAfayv4GH6DgGwvkQ,Sushi Joon,5.0,60625.0,229,$$
87,8,14ZGwnDyydXdSBsLXpSUrA,Vientiane Café,4.0,19143.0,293,$$
88,7,16heVvLqYfLpl8mC1RN3Bg,Laojie Hotpot,4.5,11220.0,532,$$
91,18,170HjUekKCDaJx_m-604IA,Sharky's Wings & Raw Bar,3.5,7011.0,508,$$
92,15,1C8QSqc-erkkyAUywh501A,Angie's Seafood,4.0,21231.0,452,$
93,16,1DSYdXiANghf-xhGbfOqCQ,El Guateque,4.5,926.0,12,$$
94,2,1DfbZ0VsSCg9g1KILmnvzQ,Per Se,4.5,10019.0,1627,$$
95,18,1OZPOWZwJr-hpvMt6TD4ug,Milkflower,4.5,11106.0,616,$$
96,2,1Q3oaJahyGRogDWgpo7PIw,Five Leaves,4.0,11222.0,1586,$$
97,18,1QCzOsRRotx2B-9q6-BfPw,Khaosan Thai,4.5,92703.0,129,$$
98,0,1RGeKwXQwx4Ftm6NhS-Msg,Sabroso Mexican Grill,4.5,92843.0,2938,$$
99,13,1XUzOcwNTfky9hPAhbTkoA,Los Angeles County Museum of Art,4.0,90036.0,1845,$
100,8,1ZKbUeFAs0ltSnAYq4ELKw,Trattoria L'incontro,4.5,11105.0,903,$$$
102,11,1daEnLjQwZoIFhUXP9r3Tw,Tierra Mia Coffee,4.0,90255.0,257,$
103,9,1g0N_c_9zFCdnYDViKnZAA,Trattoria Bella Roma,4.5,90035.0,505,$
104,17,1go9HCgJQ-Ndk7_Kxi-x8g,Der Pioneer,4.5,11218.0,130,$$
105,1,1h8-r9cLeXxW99HhlRUnlA,CVI.CHE 105,4.5,33132.0,3513,$$
106,4,1jTbwgCyFDR51vpNoUrGIg,solita Tacos & Margaritas,4.0,92647.0,1671,$$
107,5,1jxj6ooRURCfUTai1ccasg,Pueblo,4.5,92626.0,1489,$$
108,13,1lorATiUd0JtEi0RNRtRpw,Waikiki Hawaiian Grill,4.0,90723.0,201,$
109,19,1np-2CTitysIWl6xKLnLww,Mickey's Italian Delicatessen & Liquor Store,4.5,90254.0,488,$
110,10,1qOS6TKzsaiVVeMVbl6sCA,Wise Espresso Bar,4.0,11235.0,494,$$
111,15,1qwxzGRcU1y3tJrsoYQ4Rw,Picco Pizza & Ice Cream,4.0,2116.0,1155,$$
113,7,1uFRbr6B-BiNGtT90sdk0w,Community Tavern,4.5,60641.0,409,$$
114,16,1wSxClt75nOBS31--dlWYg,Bob's Pizza,5.0,60608.0,111,$$
115,2,1xNQduoGeXOwp-06VneKeA,The Serving Spoon,4.5,90302.0,1843,$$
116,11,23Qrcz2i9e2e8MstUIIO0A,Yuko Kitchen,4.5,90036.0,1538,$$
117,12,23jnzyg-vO6-Kwjenz7N6g,Piezzetta,4.0,21201.0,54,$
118,4,2Adw-3c__Lq1kjz-pDRE5g,Wild Carvery,4.0,91502.0,808,$$
119,16,2Bg8Jfl2FvH1unmvxNS0dQ,Sik Gaek,4.0,11377.0,560,$
120,5,2CDI713ATuxHfnB5b-sBdw,Vedge,4.5,19107.0,1346,$$$
121,1,2D7orDrXzflLL1TRmWGPMw,Utopia Bagels,4.5,11357.0,546,$
122,16,2F5L_0MZSPp5egi_yY0-yA,Haley House Bakery Café,4.5,2119.0,218,$$
124,1,2I0GExiJv27i_oi8b-te9Q,Hot Peppers,4.5,11364.0,193,$$
125,5,2LLApMHFO88KvxaM8emM_w,Mr D's Shish-Kabobs,4.5,60707.0,160,$
126,9,2LcsDUTlvovnFz-SEcSJTQ,Astoria Seafood,4.0,11101.0,637,$$
127,11,2McxFTCG5bZD-VYHAJ3AvQ,the Hook & Plow Hermosa,4.0,90254.0,543,$$
128,11,2NnsEs0Q55VzE43d1hfpWQ,Home Run Inn Pizza,3.5,60623.0,195,$$
129,16,2QO3HA1iWic4H6XypGKPRw,Mr Cake,4.5,60639.0,94,$$
130,16,2VFcBAIfzB_7_JPrSZxijQ,Weegee's Lounge,4.0,60647.0,187,$$
131,12,2cETD5PTiMqD7LihZN0TRg,Chiya Chai Cafe,4.5,60647.0,366,$
132,1,2f-qNpdVJl2h9L6SHYuICA,Havana Cafe,4.0,10461.0,773,$$
133,16,2hGIxgprREdBieylltWaRQ,Limoncello,5.0,94109.0,806,$$
134,5,2iArxEMmFHny0A2C60zGsw,Gorée Cuisine,4.5,60653.0,208,$
136,16,2jgL2CR7WC_h4roDDCd9vw,Annabella's Kitchen,4.0,7102.0,79,$
137,14,2l9leXGEP_HRlW5GI92hFQ,Green Table Cafe,4.5,90035.0,450,$
139,7,2tTUnW5filzR3YG-G7rZ0w,Benyam Cuisine,5.0,10039.0,103,$$
140,5,2u4DSD6F8RyFXp-Crhj8OA,Cinnaholic,4.5,94704.0,1596,$
141,12,2u_w3rthRzR2uEihW5BC4A,Giacomo's Ristorante,4.0,2113.0,3388,$$
144,7,2ud_tQCoRD2nHDQ7klqGsg,Paciugo Gelato - Hermosa Beach,4.5,90254.0,527,$$
145,5,30jrTz8vh1xSXdtXMvt-mA,My Two Cents,4.5,90019.0,608,$$
146,18,30l_XL9erNlbDgbcX52HzQ,Public School 310,3.5,90232.0,1646,$
147,4,32It9NN_lVismU9tcuLB0A,Relish,3.5,19138.0,334,$$
148,12,33W9IOsje87pg-tK9957Eg,Original Soul Vegetarian,4.0,60619.0,389,$$
149,19,34LM8_lP8iwizHBu6YgaQQ,El Jeffe,4.5,11216.0,226,$$
150,9,353bun0151fMbR3ut2d-nw,Absinthe Brasserie & Bar,4.0,94102.0,3238,$$$
151,8,36krOhexcsA8Uetoq52A7g,Top of the Rock,4.5,10112.0,1610,$$$
152,9,3CJS_XdfehpzzVhocOCFVw,Antojitos Poblanos,4.5,7501.0,44,$$$
153,4,3HE0HPAOa4kS5y4OhzQfzg,Monti's,4.5,60625.0,616,$$
155,17,3PdImE8g4kLsN4wJIFwtIA,Love At First Bite,4.0,94709.0,922,$$
156,9,3RtD9VadLIF_mYkgnFwIew,Charleston,4.5,21202.0,474,$
157,19,3SHKwvL_tS4ZICow_I2wPg,Victoria Donuts,4.5,93215.0,15,$$
158,0,3YYDCmLuk4cVhKwWirn-7Q,Stuff I Eat,4.5,90301.0,1276,$$
160,5,3bGU8M54GmdfKPHw1emJDQ,Kabanas,4.5,907.0,528,$
163,0,3jivt3RU-HlUZfk6I2kaqw,Valenca Restaurant,4.0,7201.0,881,$$$
164,15,3lLBRLbXAIgd1yZgWgnfeg,Dutch Kills,4.0,11101.0,753,$
165,1,3n96VKiKG5Tte8z-U-TaLg,SoleLuna Restaurant,4.5,11104.0,376,$$
166,15,3ncWfQJg_RbTqnkPmksoAA,Sam's No. 3 Downtown,4.0,80202.0,1991,$$
167,16,3nnSLArTw7KaDmi8ZcujbA,Lee Chen Chinese Cuisine,4.0,1843.0,134,$$
168,18,3otFjkG6Ev2OWyX4giCjfA,Bittersweet Pastry Shop,4.0,60657.0,691,$$
169,11,3r79tzm7dxsMRGhFY9g7Og,North Avenue Bakery,4.5,7201.0,56,$$
170,3,3rZwXDjkyDLAHNSdPUI5WA,Korai Kitchen,5.0,7306.0,229,$$
171,18,3utNdX0rn1koKiPUk8_SBg,Mario's Italian Lemonade,4.5,60607.0,572,$$
172,10,3xgnGUsFhdUX2AWapMvEYQ,Roasting Water,4.0,92683.0,1743,$
173,15,3xvQksDVZQy_nCFwweyoZw,The Sit Down Cafe & Sushi Bar,4.0,60615.0,333,$$
174,13,42qsGN56bAsPhv5mhRZmGw,Landin Mac & Cheese,4.0,10455.0,124,$$
175,16,44SY464xDHbvOcjDzRbKkQ,Ippudo NY,4.0,10003.0,9899,$$
176,12,44b4Spa8dkzQ5-Uvm_3zTA,Henry's Drive-In,4.0,60804.0,77,$
177,10,45hQHMdFxw0mh7ZTU--cDQ,The Grange Bar and Eatery,4.0,10031.0,770,$$
178,11,46pMibx7GjXvmn3_NY4vBw,Peach's Restaurant,3.5,60653.0,390,$$
179,16,4AGPKsdpj5oKJeA9ENiHDQ,John's Pizzeria & Restaurant,4.0,11432.0,155,$
180,4,4CAJ-JvgbzBdoWq1CXtCFw,Umi Sushi,4.5,11366.0,596,$$
181,5,4CW_gIvmfiitMJFLr0fcwA,Tacos Lupita,4.0,1841.0,63,$$
182,7,4CxF8c3MB7VAdY8zFb2cZQ,Voodoo Doughnut - Old Town,3.5,97204.0,9006,$$
183,7,4KHjnRNvrkKHchEznhlnSA,Sweet Chick,4.0,11211.0,1948,$$
184,5,4L6FyuHmnPqLrGgPNelATQ,Banadir Somali Restaurant,4.5,90301.0,210,$$
186,9,4Loo2VFJCl_LzedcmhypOQ,Seasons 52,4.0,92626.0,2576,$$
187,1,4QztwpKtBZjtYXNRc1U2ZA,Torigo Japanese Restaurant,4.5,11001.0,328,$$
188,10,4SbHaMiLLG8o7FFcWW5sFg,Brownstone Diner & Pancake Factory,3.5,7302.0,1308,$
189,5,4TOmdzSJ9R8qgm0l_VDTXA,Aquarium of The Pacific,4.0,90802.0,2328,$
190,14,4Us1yNKKotvmCarPFwTSFw,Queen City BBQ,3.5,18101.0,137,$$
191,18,4VEgZ7aVUt6oKw8KmXj-jQ,Brooklyn Kolache,4.5,11205.0,300,$
192,18,4XQCW2YUdcfwYxl-v25-aw,Jibarito's y Más,4.0,60647.0,278,$$
193,1,4ZdRHmtb-9DETE0YJ9g4kw,Buen Provecho,4.5,8619.0,207,$
194,17,4ZjHsu_bNxPyPqSOq2fw4g,Q Restaurant & Bar,4.5,97204.0,703,$$
195,4,4e0zttTdUqDP2DkgD8JLtQ,Rabano,4.5,90254.0,619,$$
196,17,4eJqFXO0REhawBJhCQ1ngg,Babe Ruth Birthplace Museum,4.0,21230.0,41,$$
197,9,4gim1lsytnX8oTb3ELmELQ,Hangry's,4.5,60639.0,74,$$
198,16,4i9LUrKeoMmUB_qZicuJnQ,Cafe Selmarie,4.0,60625.0,723,$$
199,16,4il02WBqO7fZi2-A9Gk0dw,Gnarly Eats,4.5,11215.0,248,$$
200,3,4mYS-4UOjTKgsf0tX1_IkQ,Banh Mi & Ti,4.5,15201.0,252,$
201,14,4nUVEQdXJ0Z1q0oHhE5ZmQ,Beachwood Brewing & BBQ,4.0,90802.0,1438,$$
202,13,4pDEVsC1JGI9Ba9Mjx5aGA,The Chipped Cup,4.0,10031.0,377,$$
203,0,4pe2zEgfE1NfWzQxLxxRVw,Freddy's Pizza,4.5,60804.0,555,$$
205,11,4q_TNAw4Jy8__hqb1KltMg,Ike's Sandwiches,4.5,91502.0,465,$$
206,16,4r-RoDt2XRbz8JnDE-7buw,Tender Greens,4.0,91101.0,1498,$$
207,14,4rWJGwb3rjDoZHA0AECa5A,Melba's,4.0,10026.0,1030,$$
208,6,4uw74HOwcGeAnbbzBWhmQw,Grilled Chicken Palace,4.0,7205.0,59,$$
