,business_id,name,rating,zip_code,review_count,price
0,-0TffRSXXIlBYVbb5AwfTg,IndeBlue,4.5,19107,919,$$
1,-5gWvrcKOPmhlcZju3tpbw,Flour Bakery + Café,4.5,02210,1139,$$
2,-6tSx9IXwt1btreBtcyZ0g,Würstbar,4.5,07302,292,$$
3,-BhtkobiICQ-SaJZa7-7oA,Abracadabra,4.5,00912,175,$$
5,-C2vxDphxWzYPLgNgdKJAQ,Cafe Vida - Culver City,4.0,90232,1304,$$
6,-DfaqvIQAw8vD3ZFAxo_eQ,The Melting Pot,4.0,94939,947,$$$
7,-DrR38H1Abk0wCyu9XOLug,Sweet Maple,4.0,94115,3587,$$
8,-E3RrsOr4QUIr_q-sS1D4g,Subculture Extraordinary Sandwiches,4.5,92647,1725,$
9,-FOAQv22SXtSBs7nptI3UA,Serious Pie,4.0,98121,4083,$$$
10,-HqkUZg3tu-ZAV1RhdzXHQ,Tacotlan,5.0,60639,67,$$
12,-LJayGlySYnQ8z2VvZyFNw,Little Vietnam,4.5,60640,328,$
13,-Lr1m0GQrRASjHMMjBy7gw,Taco Nazo,4.5,91746,635,$
14,-M0aSSQqEEAkxsXLwXwIvQ,The Sun Vegan,5.0,92708,317,$$
16,-ODCWj7_ByZxlYDfFY04ZA,The Left Bank,4.0,14213,386,$$$
17,-OixbLnFLCzQclxCSbUQ8w,Up Thai,4.5,10021,2180,$$$$
22,-P7qAIG1wr_gXW3nzIq5TA,Flex Mussels,4.0,10028,1016,$$
24,-TQzyEuF3VGBm46uTIvKhQ,Mr Taco,4.0,60804,73,$$
25,-Tp77Ce5OCpP1-KXUYtX9A,Robust Coffee Lounge,4.0,60637,242,$$
26,-U5_O08FMO2EcgZhe8_JjA,Pinky's,4.5,92648,201,$
29,-W8rtYk_mBsgoQHYVxAh2g,Cheesie's Pub and Grub,4.0,60657,1159,$
30,-YazuZbXAM_NOny8LpLQpQ,BKNY Thai Restaurant,4.0,11361,1234,$$
31,-d8E36_poxJgHT415CC6rA,Pho Hoai Restaurant,3.5,11229,295,$
32,-f3GB9AGUqLFkXorluMFTQ,Beets and Carrots,4.5,11209,153,$$
33,-jzM-EY5zSVx8CtoQTfe4Q,Glee Donuts & Burgers,4.5,92708,1196,$
34,-kVueEw_fyO1Q2Gkmj6Few,Taqueria Santa Fe,4.5,11377,338,$$
35,-rqqnZeGmwyfkqoRskSO1g,Koroni Souvlaki and Grill,5.0,11102,241,$$
36,-sdMTRmgExufOk6STZFi9w,Little Goat Diner,4.0,60607,4473,$$
37,-urNLXq1RYUDAy5XCWLaqQ,Fogo de Chão Brazilian Steakhouse,4.0,90211,3890,$
38,-v5HyepnYLCwhAsWmhFxDg,Le Croissant,4.0,94901,257,$$
39,-wlmZ-b35UJ-GY-59NDxyw,H Mart - Elkins Park,4.0,19027,139,$$$$
40,0-EhWj8cE1KXMVzLcPCyfQ,Pho Dollar,4.0,14213,218,$$
41,0-OTVzmRIV1csYwQYuCa8g,Call Your Mother,4.5,20010,324,$$
42,01eI6pT0doZiu0nm-Gl7RA,Trattoria 35,4.0,11361,422,$$
43,02oBjokdUTknN3kIWjlvBg,Bay Leaf Restaurant,4.5,18101,70,$$
44,07cgAXFckwWiEDVpv3DdkA,Guy Fieri's Baltimore Kitchen + Bar,2.5,21230,409,$$
45,08KCenrjRbL7vzfHjdGYyg,Estrellita Poblana IV,4.0,10461,164,$$
46,094fHChJkrJqztSFCn3ezA,Taqueria Habanero,4.5,20010,787,$$
47,09FLRYnePKcUwGDDPIOAkg,Biscuit Bitch,4.0,98101,3665,$$
