business_id,review_id,reviewer_rating,reviewer_full,short name,gender
--F3QN39ndTiL85W0-Dtxw,7uZ23Wcq9KF0ae5TB48eQg,5,Stephania Q.,stephania,Female
--F3QN39ndTiL85W0-Dtxw,wpRdEleYM9pO3FwUIMo_Lg,4,Courtney C.,courtney,Male
--F3QN39ndTiL85W0-Dtxw,S2J7xH6w7A8QGQpi5-cCXg,4,Christopher M.,christopher,Male
-5gWvrcKOPmhlcZju3tpbw,BO3q4-Qhx5XqJ9zZyqVJaw,5,Sherry S.,sherry,Female
-5gWvrcKOPmhlcZju3tpbw,XCqK4aeXmMQIZ9OqV6damQ,2,Nancy H.,nancy,Female
-5gWvrcKOPmhlcZju3tpbw,oRP2go0MEQjMf8h8ayjfZQ,5,Katrina K.,katrina,Female
-6tSx9IXwt1btreBtcyZ0g,ukpICOP9zvcNM3mxTqTuZw,5,Noelani F.,noelani,Female
-6tSx9IXwt1btreBtcyZ0g,9Rc54mUS2r2Bt2so1YhdZg,2,David P.,david,Male
-6tSx9IXwt1btreBtcyZ0g,YoHfRxY5WD8hMtzL8pYw5w,4,Jocelyn K.,jocelyn,Female
-8HsKILlFcC8ieznte56eg,EYnuAcdV2-XBzGmNwl0PRg,5,Jen B.,jen,Female
-8HsKILlFcC8ieznte56eg,wNWHeIHL5pCMaAk42kiZNA,5,Mickel E.,mickel,Male
-8HsKILlFcC8ieznte56eg,6rlfZe4waTotfKSa5nlRHA,3,Kathryn K.,kathryn,Female
-C2vxDphxWzYPLgNgdKJAQ,Y7WkCly9SsuRwNPjY7loTQ,5,Crystal K.,crystal,Female
-C2vxDphxWzYPLgNgdKJAQ,rhC_iOu1ZGQWm7uB8_KJOw,2,Gina M.,gina,Female
-C2vxDphxWzYPLgNgdKJAQ,6d08SRxKNl4RyysWphOhXA,4,Jake M.,jake,Male
-DrR38H1Abk0wCyu9XOLug,ZSXojEQF9VbhD_h3K-4bmg,5,Amber S.,amber,Female
-DrR38H1Abk0wCyu9XOLug,2j1t2s7Mu39N3d0c-SYSOA,4,Holly P.,holly,Female
-DrR38H1Abk0wCyu9XOLug,q_c9BrhYHBZGianjlV_E7w,2,Frances C.,frances,Female
-FOAQv22SXtSBs7nptI3UA,rMNUJ0f-V1oN6O4Jz2qP9Q,5,Johanna M.,johanna,Female
-FOAQv22SXtSBs7nptI3UA,IthS8Rb-GYIZ9OhgWuJeWQ,3,Julian S.,julian,Male
-FOAQv22SXtSBs7nptI3UA,35-4Cw_-vm7HwoQANbzfWg,4,Sharon T.,sharon,Female
-HqkUZg3tu-ZAV1RhdzXHQ,lPqg60_2mETD3kfJCDiQtA,5,Luis P.,luis,Male
-I4bxb04YkCSNCbFWto7Gw,_WUNYRI8Qq2H3TpfI7h7aQ,5,Melissa G.,melissa,Female
-LJayGlySYnQ8z2VvZyFNw,vFNoscE3YGitTNXbQBxqnQ,5,Steve G.,steve,Male
-LJayGlySYnQ8z2VvZyFNw,IIZt_LyD75DkzkTaVYN35w,4,Guillermo M.,guillermo,Male
-O6AeLLCC2kSh0ecAW-ZCg,zzyACLsv6E2WzBlKPMxOoA,5,Kayla B.,kayla,Female
-O6AeLLCC2kSh0ecAW-ZCg,RZOoMZFmTFtS-znc_0TOow,4,Ray G.,ray,Male
-O6AeLLCC2kSh0ecAW-ZCg,dU3PBVeRJwTmbtwTc0g39w,2,Ernie B.,ernie,Male
-Tp77Ce5OCpP1-KXUYtX9A,oLDbwJuLj7-Kv_OsIvCzMQ,5,Brittany J.,brittany,Female
-Tp77Ce5OCpP1-KXUYtX9A,DjJvSbipLS75jf5OcQ32Dg,3,John T.,john,Male
-cEFKAznWmI0cledNOIQ7w,aXeSlG_KtYtKoGaIVN4H_Q,5,Kathryn C.,kathryn,Female
-cEFKAznWmI0cledNOIQ7w,4Cm_tRcXXE76aZ_ojpnkLg,5,Cathy T.,cathy,Female
-cEFKAznWmI0cledNOIQ7w,UvwzLPcIxV0BsP7GTFcQNg,5,Scott L.,scott,Male
-e5gMedWVYL8zYrMM4bRRA,HIf90m6VlOdCOZhbfF2vDg,5,Bina P.,bina,Female
-e5gMedWVYL8zYrMM4bRRA,YEB204D2BCdF0jnTjdqNUQ,3,Matt B.,matt,Male
-f3GB9AGUqLFkXorluMFTQ,iKwyZR3l93jLHrTHeGDVHQ,5,Felisa F.,felisa,Female
-f3GB9AGUqLFkXorluMFTQ,h0-RtCB_4UalGXLkd6Z9_w,4,Susan M.,susan,Female
-f3GB9AGUqLFkXorluMFTQ,MoxLWdyG5ieHLC1a3vzBKA,5,Elena A.,elena,Female
-hu5SWEFeudsM74DHppaQg,m1c9G5Oq9GIcGNgy-yV53A,5,Shanita F.,shanita,Female
-hu5SWEFeudsM74DHppaQg,kEOiYnvCB-GXXxswO9HOXQ,2,Candace H.,candace,Female
-kVueEw_fyO1Q2Gkmj6Few,DSQj_X9t-4QaEVp_gNRqPw,5,Monte G.,monte,Male
-kVueEw_fyO1Q2Gkmj6Few,CSHckguOnBNBKMjWa8cUHQ,4,Jesse F.,jesse,Male
-kVueEw_fyO1Q2Gkmj6Few,0pspp_Atc6p9cjmsoMNrWw,4,Christos A.,christos,Male
-mIlmp5l4hKlp1tvHRdvTg,NBs1Oo2t8yAFZ5zmvBoOTw,5,Dave R.,dave,Male
-mIlmp5l4hKlp1tvHRdvTg,nfXWt3nx-0M7N8p77dfISQ,4,Ali T.,ali,Male
-mIlmp5l4hKlp1tvHRdvTg,QA1-6mtuFfSa6UjwYY6sag,4,Jennifer M.,jennifer,Female
-rqqnZeGmwyfkqoRskSO1g,xeejTBpq1AlI7Xdi1-QK5g,5,Thea G.,thea,Female
-rqqnZeGmwyfkqoRskSO1g,Zofa03Zn-7rG8Rs2PnKxJA,5,Mackenzie D.,mackenzie,Male
-rqqnZeGmwyfkqoRskSO1g,zbXWRMvdDpmDfRD1JYjVbw,5,Evan R.,evan,Male
-sdMTRmgExufOk6STZFi9w,N1_4B7ZyXI0K4by4FW5b1Q,5,Brittany H.,brittany,Female
-sdMTRmgExufOk6STZFi9w,4i7LrVgQs3wNnw1wM2I-2Q,4,Thomas V.,thomas,Male
-tIDieZz3ARzGOPAaLHi8A,kR6uf9tZX2nTZLSNu8Zr3Q,5,Justin F.,justin,Male
-tIDieZz3ARzGOPAaLHi8A,e4DsYBbUYE_TJdG9GKZjbQ,4,Karina A.,karina,Female
-tIDieZz3ARzGOPAaLHi8A,SWNCi55rXdxgXQ0azYUNug,1,Shaniece G.,shaniece,Female
-urNLXq1RYUDAy5XCWLaqQ,djQcsWN720opARnqCx_fwA,5,Adelina M.,adelina,Female
-urNLXq1RYUDAy5XCWLaqQ,FJga7OChrWkOQlZhgGp6VA,1,Jonathan V.,jonathan,Male
-wlmZ-b35UJ-GY-59NDxyw,2gKxS_ZqNmA0OOub1hmpJQ,4,Mike H.,mike,Male
-wlmZ-b35UJ-GY-59NDxyw,OnocEHasPBseFkNq4w56fQ,5,Kase M.,kase,Male
-wlmZ-b35UJ-GY-59NDxyw,YXRK3szpkxbWKS5xS7YBKw,4,Minji S.,minji,Female
-yUfaRAjvgm_rmdqAsqxIg,G5HrwWNaXrIN10e2bU-YTg,5,Daniel W.,daniel,Male
-yUfaRAjvgm_rmdqAsqxIg,FqxVoC7IHEhC-byD2bo5jw,5,Erin R.,erin,Female
-yUfaRAjvgm_rmdqAsqxIg,NnJexT8Lh92IRWR1n8FxOA,4,Jose C.,jose,Male
0-IZlx0j0iklguaVpvonPQ,iYsXIcf7jG_sGqBDYK9Q3w,2,Tori E.,tori,Female
00jHmlu0elBhzBsw7Y5pww,WrGaXtzKzdceNQGpwzqixQ,5,Carie C.,carie,Female
00jHmlu0elBhzBsw7Y5pww,ctOUz1l4RSNQvNfVIbIX5g,5,Julio R.,julio,Male
02GjIP_ReWd2GqVu9yFV_Q,QGbezb1TfbIcJCDx1Z1TXA,5,Stephanie L.,stephanie,Female
02GjIP_ReWd2GqVu9yFV_Q,U8lBBsT3SxQPsj5XjfxmaQ,4,Tonya G.,tonya,Female
02GjIP_ReWd2GqVu9yFV_Q,SD96Ulqu_TJo3S9IvUP0JA,4,Nicolas C.,nicolas,Male
02i1RoOkg1Vh6x1-FF-eyg,Nzqvv2psICIiD7762jk8cA,4,Yvette C.,yvette,Female
02i1RoOkg1Vh6x1-FF-eyg,joqlrwScV4PS9L9ZN-eMaQ,5,Neha M.,neha,Female
02oBjokdUTknN3kIWjlvBg,vu_YLweYhQBXmTGd9YGFDw,5,Andrea L.,andrea,Female
02oBjokdUTknN3kIWjlvBg,nWdcqj_QDwLcZVNQtnMIAg,5,Tahera W.,tahera,Female
02oBjokdUTknN3kIWjlvBg,Sq1NQyVZdMdImGA7zH6ttQ,5,Yvonne R.,yvonne,Female
02sUerL13Wt4Ii2-kDzlow,XW5XC5QpAYczNF1ysxNHQw,5,Lola T.,lola,Female
02sUerL13Wt4Ii2-kDzlow,Ef4NnEBAzOe1cg8dZbjOVQ,4,Jane L.,jane,Female
02sUerL13Wt4Ii2-kDzlow,sL7aOB9_i9cacMTSn_VW8Q,4,Carlos L.,carlos,Male
06feX4qEHFMcPZsiWtvYfw,UfCw49mz-3KgndJllaS8zA,5,Viktorya L.,viktorya,Female
06feX4qEHFMcPZsiWtvYfw,AIlvV9E2UqySdeuzf1unjg,5,Amanda H.,amanda,Female
07cgAXFckwWiEDVpv3DdkA,xCqjmDEUDe95qAYpff9k3Q,4,Megan G.,megan,Female
094fHChJkrJqztSFCn3ezA,HJVwNjeB0hB8oxZT9eQwUg,4,Erin R.,erin,Female
094fHChJkrJqztSFCn3ezA,Tw4HYkYjMBjmYOJmNF9MhQ,4,Benjie W.,benjie,Male
09FLRYnePKcUwGDDPIOAkg,jwShOe7oZVLJysuvU64c1g,5,Elaine S.,elaine,Female
09FLRYnePKcUwGDDPIOAkg,MKfxivx7C2OYsSCrN7FrlA,4,Sarah B.,sarah,Female
09FLRYnePKcUwGDDPIOAkg,tmlG0fQx1ATIHr1hEMKQ2g,5,Carolina H.,carolina,Female
0EOWrLcnWEO1pP7bZafofw,AA6hHEl6MQZYUfjNWDP0kg,5,Alexias B.,alexias,Female
0EOWrLcnWEO1pP7bZafofw,7fkhZ395RGT8G2kSyIS6Mw,5,Sarah G.,sarah,Female
0ETtpZSd6f7q_-o-7gutPg,J5TLJkWrArAhGdP7aZaEbw,5,Carla K.,carla,Female
0ETtpZSd6f7q_-o-7gutPg,dwBDtoOWimmMKPndIZNlLw,4,Laura N.,laura,Female
0ETtpZSd6f7q_-o-7gutPg,H0k4Ze4JalHqkPMOW3QGaQ,5,Pamela M.,pamela,Female
0FonNwb6KPN-AwkC_yHQ4Q,dlUyfNZATLX7oQQqgG_qtQ,5,Jill D.,jill,Female
0FonNwb6KPN-AwkC_yHQ4Q,VZ8RcRSjePvYlt4qDBOdUA,5,Michael M.,michael,Male
0FonNwb6KPN-AwkC_yHQ4Q,bOesqbs5NnHWeEIjHcCRjw,5,Geoffrey S.,geoffrey,Male
0IWkuFkLzL6lFKRGApZpHg,c-X0upNfZo9hPTANDv65PA,5,Nicole E.,nicole,Female
0IWkuFkLzL6lFKRGApZpHg,X-wpyLSEHPrk-RVMTBbO7w,2,Brittany G.,brittany,Female
0IWkuFkLzL6lFKRGApZpHg,qe4voD4MV5gVfYKKpiB8QA,5,Elizabeth R.,elizabeth,Female
0Jr2OP0B2MM4LvJY_K6cTQ,fgqXVNyHlh1wCp_bqjTEtw,5,John V.,john,Male
0Jr2OP0B2MM4LvJY_K6cTQ,9YDLsC8f6Y06YSYdDQ1vcw,5,Anthony V.,anthony,Male
0L03onqNwxWLrbb_FCK79A,6WjgYV3gzy1B-UQUWdEbaQ,5,Darrin N.,darrin,Male
0L03onqNwxWLrbb_FCK79A,Zhe0jd1TIqFAmxyH8BI5fA,5,Arjun A.,arjun,Male
0N8cIYLfmoQQJ8gDihmkBg,vWl-bcNlTBryCTIWIcgRcA,5,Jessica U.,jessica,Female
0N8cIYLfmoQQJ8gDihmkBg,T83FnB6ANakOLvHaI8IBUw,3,Monica S.,monica,Female
0N8cIYLfmoQQJ8gDihmkBg,rJKVcry2RikxW_0JWziz9w,3,Trung N.,trung,Male
0OhHaleW2rPQdj6e3eSWWQ,l4qwGrZRwX8r0BhI1_XKfg,5,Jim D.,jim,Male
0OhHaleW2rPQdj6e3eSWWQ,x95HH9H8M92n_UkYNzFR2w,3,Lydia S.,lydia,Female
