,business_id,name,rating,zip_code,review_count,price
1,b6jOwyX4iaagw8YjXqq1sA,Antonio's Trattoria,4.5,10458,758,$$
3,tLZfepIfSf0a80zHQTbTGQ,Trattoria Zero Otto Nove,4.0,10458,737,$$
4,Dwg-RgHUXsBfAi7G0V8LIg,Green Juice Cafe,5.0,10033,191,$
5,HVeQNs_7zh3m-xCZ1ugslA,Beans and Vines,4.5,10034,410,$$
6,2IrwjU67gguqLqQqZ1nFPg,Guadalupe Restaurant,4.0,10034,645,$$
7,Hoq8s-NePq6_3QxJhR7oNA,Bocaditos Bistro,4.5,10034,382,$$
8,hw8ziubXsFocun6KR04VVg,Malecon Restaurant,4.0,10033,675,$$
9,NNvdMOswZuJ0UUtpP1ievw,Casa Della Mozzarella Italian Deli,4.5,10458,157,$$
10,krx3qFc0QFRqLL3fyscJSQ,Cachapas y mas,4.0,10040,335,$
11,C3spvfEd8JQJie-yixRgpQ,Com Tam Ninh Kieu,4.0,10468,369,$$
12,_udiJL0Sq_qahchymwzxCg,CHOCnyc,4.5,10034,144,$$
13,80dIz6llWEew4No641ZQKQ,Burger Heights,4.0,10033,392,$
14,cyLw0vW5MrsF35-A6Dy03w,Saggio,4.0,10033,596,$$
15,b9RW2YCriwuiC5x2Bs-E_Q,Madonia Brothers Bakery,4.5,10458,236,$
16,ciHt5n5rmpby1YcC_6JVrg,Bronx Alehouse,4.0,10463,743,$$
17,7lv8jYYurEBFRglhPYALkw,Tampopo Ramen,4.0,10033,369,$$
18,rUBFgZU3QTk7IOgpccE8Og,Indian Road Cafe,4.0,10034,583,$$
19,9wrSQVOzd-Jxa9wPltjVCw,Pocion,4.5,10033,155,$$
0,b6jOwyX4iaagw8YjXqq1sA,Antonio's Trattoria,4.5,10458,758,$$
2,tLZfepIfSf0a80zHQTbTGQ,Trattoria Zero Otto Nove,4.0,10458,737,$$
4,NNvdMOswZuJ0UUtpP1ievw,Casa Della Mozzarella Italian Deli,4.5,10458,157,$$
5,C3spvfEd8JQJie-yixRgpQ,Com Tam Ninh Kieu,4.0,10468,369,$$
6,ciHt5n5rmpby1YcC_6JVrg,Bronx Alehouse,4.0,10463,743,$$
7,b9RW2YCriwuiC5x2Bs-E_Q,Madonia Brothers Bakery,4.5,10458,236,$
8,59hEst-eXa_psEtiZMLU6A,Joe's Italian Deli,5.0,10458,115,$$
9,NJoZ9hHepDa5WmcRH2rczA,Mike's Deli Arthur Avenue,4.0,10458,216,$$
10,HaXbpA8etMMiqqFNYoltTg,Pugsley's Pizza,4.5,10458,139,$
11,wfdCJaLqVjzhP6UO5BG15w,Tino's Delicatessen,4.0,10458,185,$$
12,KAxYFGyOQ7ysCmYmh8jKtw,The Bronx Public,4.0,10463,426,$$
13,wlSnmuUnBMz8qYpxDVBGlw,Full Moon Pizzeria,4.0,10458,267,$
14,3uyBZNbDk2vRFBBWZOdIUA,Dominick's Restaurant,4.0,10458,337,$$
15,mA07WPkSboPIgwwniQkaQg,Gino's Pastry Shop,4.5,10458,79,$$
16,vWa8iPUYDGAMSBCqMwJylQ,MangiPasta,4.5,10458,81,$$
17,Lesv5BG0_0-8bB49cAjMkg,Roberto's,4.0,10458,245,$$$
18,2O5w-15_AVnnVJEtlWWE_A,Clinton Hall,4.0,10458,148,$$
19,I1AqEw-O6spamgtJLNPjBg,Leche Y Miel Restaurant,4.0,10463,289,$$
0,fxGpXRxFUDzlU3Cyszu4uQ,Red Rooster Harlem,3.5,10027,3171,$$$
1,hdBhZcdZGHkTESrldAObJg,La Morada Restaurant,4.5,10454,157,$$
2,RI-tVET-wKFeRNKm4cg0wQ,Sylvia's Restaurant,3.5,10027,1800,$$
3,tsiC3VpO-hZEb98Qk3p-DQ,Amy Ruth's,4.0,10026,2555,$$
4,ej_pg-wc-ZtexQKPPiQ_5w,The Edge Harlem,4.0,10030,585,$$
5,PerCtK0A27ku-cmBVMh5tw,Porto Salvo,4.5,10451,133,$$
6,fAQVVgDt88mW739YJgKQdQ,Charlie's Bar & Kitchen,4.0,10454,320,$$
7,Bh0Rxd4Yi21luny0S95GaQ,Ceetay,4.0,10454,313,$$
8,zWem2SAbFc7lIYR2y9DE0g,Harlem Public,4.0,10031,911,$$
9,nl2cdtMUBCMTwTUy6IJ6HQ,Serengeti Teas & Spices,4.5,10035,240,$$
10,eht_0com4C1sQbl9qCzlag,Hungry Bird,4.5,10456,194,$$
11,7lO-Ncx_2omtf4Jbg2Agzg,Sugar Hill Cafe,4.5,10031,352,$
12,45hQHMdFxw0mh7ZTU--cDQ,The Grange Bar and Eatery,4.0,10031,761,$$
13,2tTUnW5filzR3YG-G7rZ0w,Benyam Cuisine,5.0,10039,102,$$
14,M6Eiyx9LXMetMUxsYe-fvw,Ponty Bistro,4.0,10030,387,$$
15,8G6H30Krmj8-OHs6hZfT1g,Belle Harlem,4.5,10030,142,$$$
16,gyWc5qJRvu26LVQIShdR4Q,Babbalucci,4.0,10027,380,$$
17,B0qxEXABa8-t9sY4NQRRsQ,Fumo,4.0,10031,402,$$
18,RDE8pT0YZbz4BsO_sPKbcg,Mottley Kitchen,4.5,10454,87,$$
19,6CaGhpvNWMazJZL1v_JkCA,PEQUE Vinos + Tapas Bar & Restaurant,4.0,10039,214,$$
0,hdBhZcdZGHkTESrldAObJg,La Morada Restaurant,4.5,10454,157,$$
1,JEQ00qBAepe0oSiUBdfIew,Taverna Kyclades,4.0,11105,2220,$$
2,Kh0-HmlgmVUkRxR55_Vn1g,Patsy's Pizzeria,4.0,10035,816,$$
3,uEjX8iic3W16rU3bRkCjyg,"Sal, Kris, & Charlie's Deli",4.5,11105,1026,$
4,RI-tVET-wKFeRNKm4cg0wQ,Sylvia's Restaurant,3.5,10027,1800,$$
5,Bh0Rxd4Yi21luny0S95GaQ,Ceetay,4.0,10454,313,$$
6,fxGpXRxFUDzlU3Cyszu4uQ,Red Rooster Harlem,3.5,10027,3171,$$$
7,fAQVVgDt88mW739YJgKQdQ,Charlie's Bar & Kitchen,4.0,10454,320,$$
8,u9xVzV1OZC5pwtUgaHLM-A,El Kallejon,4.5,10035,277,$$
9,nl2cdtMUBCMTwTUy6IJ6HQ,Serengeti Teas & Spices,4.5,10035,240,$$
10,CfWe636m2CAUg4FAdl_zVQ,Ricardo Steak House,4.0,10029,1018,$$$
11,1ZKbUeFAs0ltSnAYq4ELKw,Trattoria L'incontro,4.5,11105,903,$$$
12,MtcgW0RCTm44PuA-HAq49g,Santiago's Beer Garden,4.5,10035,153,$$
13,RDE8pT0YZbz4BsO_sPKbcg,Mottley Kitchen,4.5,10454,87,$$
14,g_Zz87qghqq9bKHiKyws0w,Beatstro,4.0,10454,245,$$
15,iNiq1vgWpEa48jlPAce8wQ,The Thirsty Koala,4.5,11105,1059,$$
16,BxnrBKdLwdaEXyq97uxgKg,Cascalote Latin Bistro,4.5,10029,335,$$
17,lqnI_jISnH7RZWlPtKkViQ,Tres Leches Cafe,5.0,10029,111,$
18,PerCtK0A27ku-cmBVMh5tw,Porto Salvo,4.5,10451,133,$$
19,zo4JHfD2nWPUiqgsgDOaHQ,Rao's,4.5,10029,146,$$$$
0,ciHt5n5rmpby1YcC_6JVrg,Bronx Alehouse,4.0,10463,743,$$
2,KAxYFGyOQ7ysCmYmh8jKtw,The Bronx Public,4.0,10463,426,$$
3,I1AqEw-O6spamgtJLNPjBg,Leche Y Miel Restaurant,4.0,10463,289,$$
4,6B3iu_WSfyZU2fqSH1GTzQ,Kingsbridge Social Club,4.5,10463,176,$$
5,wZMBvQohVF5qelFRGAo5xw,Mon Amour Coffee & Wine,4.5,10463,211,$
6,5qF6oqYOeivUbsVf1MsQAA,Aoyu Sushi,4.5,10463,229,$$
7,b6jOwyX4iaagw8YjXqq1sA,Antonio's Trattoria,4.5,10458,758,$$
8,1thBGawoqRUHqCfQMZycYQ,S&S Cheesecake,4.5,10463,176,$$
9,rUBFgZU3QTk7IOgpccE8Og,Indian Road Cafe,4.0,10034,583,$$
10,DLnn2qw-KJAmazB-hMmSEw,The Hill Bistro,4.5,10463,170,$$
11,_BqxInkUJ7kBVPlfJf2PbA,Sam's Pizza,4.5,10463,126,$
12,K0UNoqk1PczdaiZfoMRbEA,Greek Express,4.0,10463,219,$$
13,Mvvv9yz7zc2ZDYcpKgvr0g,Liebman's Kosher Delicatessen,4.0,10463,268,$$
14,2IrwjU67gguqLqQqZ1nFPg,Guadalupe Restaurant,4.0,10034,645,$$
15,C3spvfEd8JQJie-yixRgpQ,Com Tam Ninh Kieu,4.0,10468,369,$$
16,xxK7eQqhVbH21lGlAc7RpA,Yo-Burger,4.0,10463,234,$
18,HVeQNs_7zh3m-xCZ1ugslA,Beans and Vines,4.5,10034,410,$$
19,_udiJL0Sq_qahchymwzxCg,CHOCnyc,4.5,10034,144,$$
0,A6SKgGPE6AGPkiHGSesW9A,Kingston Tropical Bakery,4.5,10466,132,$
1,fLJw_HGD01RTQ_WqlJf6Ew,Ripe Kitchen & Bar,4.0,10550,277,$$
2,rkYATACY4qzaVFapJTWj4Q,Fish N' Ting,4.0,10466,247,$$
3,yrfwr2GaYRb-ddkTy3TJqQ,How Sweet It Is,5.0,10704,38,$$
4,iykETu1YPYKiVWLRuJkUFQ,Johnny's Pizzeria,4.0,10550,256,$$
5,iJci5KN7H39D3JXHiNBDKw,H.I.M Ital Health Food Market,4.5,10466,38,$
6,vmnDYgMnCmnvA76yBaB9ig,Rory Dolan's Restaurant & Bar,4.0,10704,222,$$
7,IcEafi60F4pyEHaM4lR4Wg,Ali's Roti Shop,4.0,10466,82,$
8,rqr8waPF6HoIm5MurDziLA,Sal & Dom's Pastry Shop,4.5,10469,89,$$
9,h5dm87qaqHeTBGcqTi9hWg,Paula's Soul Cafe,3.5,10466,150,$$
10,sPCbaWKFzV7UHilHJLhTJw,Vegans Delight,4.5,10469,48,$
11,b0X9chyIv-zFTMyaeTsKvA,Lollipops Gelato,4.5,10466,26,$
