,business_id,name,rating,zip_code,review_count,price
0,-6jVwUuXC1-dyr2YRCEU6Q,Anis Hyderabad Restaurant,4.0,63141,197,$$
2,-W0tnXYJ4WuxLjzmbwlVAQ,Tavolo V,4.0,63112,204,$$
3,-bGw8ARHQucKWEHEkxpGFw,The Daily Bread Bakery & Cafe,4.0,63131,97,$
4,-hto0uJjh8KFQZGc9ZAcuQ,U-City Grill,4.0,63130,181,$
5,-kHHi8y4kaTI6WUVdJSdvQ,Fitz's,3.5,63130,619,$$
8,-q4YqKsWJY6NtkQdnNeL1Q,The Barn,4.0,63126,277,$$
11,-yu4koRugjxrnsey25oIuw,OL' Henry Restaurant,4.0,63134,41,$$
13,07tT34LEBj1xVgLRk4L8qw,The Pasta House,3.5,63033,17,$$
14,08kBMcufQMg-Dc9IouWIYQ,Liu Shun Wok,4.5,63128,27,$
15,0AfjyySl4Rivh-QhWfrClA,58hundred,4.5,63139,116,$$
16,0KwD4kiiIPoTOrHXVxwTyA,Country Girl's Pie Shop,4.0,63115,19,$
17,0MhxvTys2ADYa3sOO91ldQ,Egg,4.5,63104,563,$$
19,0QYWhij_YZ7Lyk9F6213Sg,Pho Grand Restaurant,4.0,63118,607,$
21,0cddB9WRKcQhzAEXEav81w,Pint Size Bakery & Coffee,4.5,63139,211,$
24,0upS_zVQ48_9WuTjxmwRqQ,Big L Chop Suey,4.0,63121,15,$
25,1EdfURQCj75UbcLPh9rdSw,Garvey's Grill,3.5,63129,57,$$
26,1HRAmY7rTMKaY9-rNrppzg,One 19 North Tapas and Wine Bar,4.0,63122,158,$$
27,1KhNDQSdDqzPQaZk8PIdGg,West End Grill & Pub,4.0,63108,181,$$
28,1XsoLhxLB7-iyxaLpoEmUg,Jefferson Barracks Park,4.5,63125,17,$
29,1dF6hKCLrdEPDOWcwrXgOA,T Js Pizza,2.5,63137,3,$
30,1elddy31XiqFPVrvvd9QiQ,Which Wich,4.0,63131,44,$
31,1lWASQ_QiT_RFPEeSvyF5w,McDonald's,2.0,63033,11,$
32,1o9IdLrFGMS2o5Y8uXKC0Q,Adam's Smokehouse,4.5,63139,314,$$
35,1ulD4HL2G8qbpEuuWFDSqQ,Himalayan Yeti,4.5,63139,214,$$
37,24_GowpZ79St53rpxsKqsQ,P'sghetti's Pasta & Sandwiches,4.0,63123,80,$
38,2BMk_drsikKWslJCXmQtjQ,Rooster,4.0,63101,1757,$$
43,2DWqlmcMV9CxzUDYhzY04Q,Drake's Place,4.5,63135,78,$$
46,2P-pvj_jo0SxNe6jih6sOA,J's Pitaria,4.5,63116,62,$
48,2aZNVfzU-3672SjRHnPoOA,Clementine's Naughty & Nice Creamery,4.5,63105,174,$$
50,2zscMai3s2qePfovwetPcg,MOD Pizza,4.5,63122,60,$$
51,31_JqV2ZinZ7Uo4DKiKFEQ,Northland Chop Suey Chinese Restaurant,5.0,63136,8,$
54,33l2XVp01d8kltTs_UMJ8A,Truffles,4.5,63124,130,$$$
55,37dCsVwCe8yWPkW7TXCLCA,Melo's Pizzeria,5.0,63104,103,$$
56,3AZjEgNM6CiOePDKKAQWgA,DD Mau Vietnamese Eatery,4.5,63043,171,$$
57,3M2zIKwVz2J63SlNiirgVA,San Jose Mexican Restaurant,3.5,63126,113,$$
58,3VYxaeo6BJNHbVIIfmWN_w,Vicia,4.0,63108,233,$$
59,3XXt0s_SDC9SyFTiIPNSgA,The Original Pancake House,4.0,63124,284,$$
61,3XirYkP9PJvVXIEDPNNXLA,Crown Candy Kitchen,4.5,63106,514,$
64,3f6HTECaJK4vQr4VSU1xsQ,Rich & Charlie's,3.5,63129,64,$$
65,3ovV2S7XEAOEk8hCdYKhOA,Hi-Pointe Drive-In,4.0,63117,557,$$
66,3qpubK1C8SsDcq8BeKOEbA,HopCat - St Louis,4.0,63130,150,$$
67,3zI7Ka2_ZsKh4UwbSFnXdw,Lulu's Local Eatery,4.5,63118,438,$
69,40ovn6SAc5c7v84bRzpB2Q,Texas Roadhouse,3.5,63122,98,$$
70,4EbwDR58_1Lm54Oru_Dfxw,Cafe Telegraph,4.0,63125,200,$$
71,4bNFWpQtS5PtfjXuxTc-GQ,The Foundry Bakery,5.0,63043,110,$
72,4lm1dUvP7GPgyJqUlLxcYg,Taqueria Durango,4.0,63132,180,$
74,4mGnHfvwjE6P-vuKowHzCQ,Taco Buddha,4.5,63130,188,$$
