,business_id,name,rating,zip_code,review_count,price
0,-8HsKILlFcC8ieznte56eg,Lulu's Bakery,4.0,11366,347,$$
6,-9NO2IDCJMyNGZMAQ1-VQw,NY Pizza Suprema,4.0,10001,1940,$
8,-BmS1FH3DSK6fSifIt8GgQ,Nurnberger Bierhaus,4.0,10310,207,$$
11,-NglVrPdjl3dG-z8ZBzJyQ,The Wilky,4.5,11221,149,$$
13,-OixbLnFLCzQclxCSbUQ8w,Up Thai,4.5,10021,2176,$$
20,-OplSkpDk33uikS5fO-JQw,Addictive Wine and Tapas Bar,4.5,11372,194,$$
22,-P7qAIG1wr_gXW3nzIq5TA,Flex Mussels,4.0,10028,1016,$$
24,-RjWOm2CnGmzwmv4ZMfI3Q,Marina Cafe,3.0,10308,268,$$
25,-TDMW5TWfFlnnRgQZ71yeg,Lacey's Bridge Tavern,4.5,10302,111,$$
28,-WEs8Trhq6nZPMyTzrAn9Q,Da Noi Downtown Staten Island,4.0,10305,86,$$$
29,-YazuZbXAM_NOny8LpLQpQ,BKNY Thai Restaurant,4.0,11361,1232,$$
35,-f3GB9AGUqLFkXorluMFTQ,Beets and Carrots,4.5,11209,153,$$
36,-ic13XJ9ekpEfshQFPKL4A,Grandchamps Kitchen & Market,4.0,11233,214,$$
38,-jdadX3fGXA2TDapnufYFA,DOUGH By Licastri,4.5,10304,123,$$
40,-kVueEw_fyO1Q2Gkmj6Few,Taqueria Santa Fe,4.5,11377,337,$
41,-rqqnZeGmwyfkqoRskSO1g,Koroni Souvlaki and Grill,5.0,11102,241,$$
42,-sqlUrNVD1xN5jlCtRAGdA,Marmar,4.0,10301,183,$$
44,-wGvjd9NmPqrT0tm_pq1QQ,The Black Whale,3.5,10464,166,$$
45,00jHmlu0elBhzBsw7Y5pww,Jack & Nellie's,4.0,11375,659,$$
53,01eI6pT0doZiu0nm-Gl7RA,Trattoria 35,4.0,11361,422,$$
55,02sUerL13Wt4Ii2-kDzlow,Rosa's Pizza,4.0,11378,374,$
57,08KCenrjRbL7vzfHjdGYyg,Estrellita Poblana IV,4.0,10461,164,$$
58,08qoYiDfMS-e5ua2JPiiAA,The Monkey Cup,4.5,10031,151,$
59,09y5uyX7z41mjoA9fVF1bQ,Tang Restaurant,4.0,11358,586,$$
65,0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,4.0,10013,6002,$$
72,0Gx08zPfwP8tI2Hg4r6AGg,Deluca's Italian Restaurant,4.5,10307,138,$$$
74,0IWkuFkLzL6lFKRGApZpHg,New York Bagels Deli & Catering,4.0,10704,83,$
75,0L03onqNwxWLrbb_FCK79A,SriPraPhai Thai Restaurant,4.0,11377,2298,$$
84,0NQdEwoaihf-LIWoeKid-A,Blaze Fast-Fire'd Pizza,4.0,10306,71,$
