,ZIP Code,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
0,63101,2613.0,30.4,54417.0,42701.0,610.0,23.34481438959051
0,63102,2216.0,33.6,54018.0,32318.0,142.0,6.407942238267148
0,63103,6824.0,30.4,34719.0,30274.0,1340.0,19.636576787807737
0,63104,19520.0,31.2,45498.0,29780.0,5417.0,27.751024590163933
0,63105,17361.0,33.8,86031.0,57408.0,1206.0,6.946604458268533
0,63106,11736.0,25.2,15126.0,9532.0,6130.0,52.232447171097476
0,63107,12127.0,36.7,23276.0,12838.0,4874.0,40.191308650119566
0,63108,21277.0,29.8,30157.0,31477.0,6409.0,30.121727687173944
0,63109,27658.0,37.9,51951.0,32976.0,2528.0,9.140212596717044
0,63110,16635.0,33.9,38036.0,26387.0,3863.0,23.222122031860536
0,63111,20891.0,34.7,30334.0,17518.0,7096.0,33.96677995308985
0,63112,20110.0,31.8,27383.0,20775.0,6589.0,32.76479363500746
0,63113,12239.0,39.1,24561.0,14068.0,4533.0,37.03733965193235
0,63114,36307.0,35.9,41771.0,20814.0,6335.0,17.44842592337566
0,63115,21059.0,35.8,26183.0,14527.0,6870.0,32.622631653924685
0,63116,44010.0,35.7,40251.0,23436.0,9080.0,20.63167461940468
0,63117,9221.0,37.7,62593.0,48558.0,723.0,7.840798178071792
0,63118,27350.0,31.5,28630.0,18570.0,8977.0,32.822669104204756
0,63119,33929.0,40.7,68348.0,40788.0,2518.0,7.42137994046391
0,63120,9022.0,36.0,23996.0,12516.0,3215.0,35.63511416537353
0,63121,26316.0,38.2,33704.0,19084.0,6588.0,25.03419972640219
0,63122,38585.0,43.8,80682.0,48813.0,2025.0,5.248153427497733
0,63123,49390.0,41.0,52877.0,28928.0,4006.0,8.110953634338935
0,63124,10594.0,47.6,118816.0,83169.0,337.0,3.181045875023598
0,63125,32219.0,40.7,44458.0,23446.0,4640.0,14.401440144014401
0,63126,14920.0,45.7,64436.0,34290.0,588.0,3.941018766756032
0,63127,4784.0,50.7,88469.0,57261.0,468.0,9.782608695652174
0,63128,29973.0,49.1,73440.0,39328.0,1024.0,3.4164081006238947
0,63129,52733.0,43.0,65861.0,34609.0,2329.0,4.416589232548878
0,63130,30810.0,34.7,55976.0,36054.0,4969.0,16.127880558260305
0,63131,17410.0,47.0,132500.0,77115.0,642.0,3.6875358989086733
0,63132,13816.0,38.5,55687.0,38152.0,1791.0,12.963231036479444
0,63133,8210.0,34.8,25239.0,13025.0,2815.0,34.28745432399513
0,63134,13927.0,33.5,36539.0,17954.0,3111.0,22.337904789258275
0,63135,21940.0,34.3,40443.0,20755.0,5074.0,23.126709206927984
0,63136,47220.0,33.7,31051.0,16086.0,13019.0,27.570944515036
0,63137,20546.0,34.2,34019.0,16315.0,5275.0,25.674097147863332
0,63138,20863.0,30.3,33691.0,17488.0,5338.0,25.58596558500695
0,63139,22212.0,38.2,47280.0,30918.0,2667.0,12.007023230686116
0,63140,252.0,38.4,21750.0,9908.0,87.0,34.523809523809526
0,63141,19915.0,43.0,102708.0,62160.0,1160.0,5.8247552096409745
0,63143,9996.0,36.8,36210.0,25539.0,1905.0,19.05762304921969
0,63144,8850.0,36.4,68367.0,42936.0,458.0,5.175141242937853
0,63146,30127.0,42.4,63921.0,36537.0,2392.0,7.939721844192917
0,63147,10534.0,39.6,29816.0,16969.0,2588.0,24.568065312322005
