,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender,name,rating,zip_code,review_count,price
0,0,-6jVwUuXC1-dyr2YRCEU6Q,3xNxd1x6ew1QmGDLHxDFdA,5,Maggie Z.,maggie,Female,Anis Hyderabad Restaurant,4.0,63141,197,$$
2,2,-W0tnXYJ4WuxLjzmbwlVAQ,0rbjx6XBf2mW1yEd5h95pA,1,Sharon Y.,sharon,Female,Tavolo V,4.0,63112,204,$$
3,0,-bGw8ARHQucKWEHEkxpGFw,yaANt1ghaK6kyV9BbV2G3w,5,Kaitlyn M.,kaitlyn,Female,The Daily Bread Bakery & Cafe,4.0,63131,97,$
4,1,-bGw8ARHQucKWEHEkxpGFw,QQXK5_UBtM3mV4O5BNbYqw,4,Dave F.,dave,Female,The Daily Bread Bakery & Cafe,4.0,63131,97,$
5,2,-bGw8ARHQucKWEHEkxpGFw,VTU5jXvimrGngT-Man5ZSA,3,Maggie H.,maggie,Female,The Daily Bread Bakery & Cafe,4.0,63131,97,$
6,0,-hto0uJjh8KFQZGc9ZAcuQ,mYjfqARuUMocnIBb4PZi_A,5,Faye T.,faye,Male,U-City Grill,4.0,63130,181,$
7,1,-hto0uJjh8KFQZGc9ZAcuQ,TcARsdQZEtaRJpBDmShVPQ,1,Morae K.,morae,Female,U-City Grill,4.0,63130,181,$
8,2,-hto0uJjh8KFQZGc9ZAcuQ,oRmNn-G5pw5CDjIi-5s__Q,1,John K.,john,Female,U-City Grill,4.0,63130,181,$
9,0,-kHHi8y4kaTI6WUVdJSdvQ,zfHH4fQ1slhdGeT-mfQbMA,4,Ian C.,ian,Female,Fitz's,3.5,63130,619,$$
12,1,-kHHi8y4kaTI6WUVdJSdvQ,Jtk0YcnMPyL9Wr9KkJClTw,4,Dianna S.,dianna,Male,Fitz's,3.5,63130,619,$$
15,2,-kHHi8y4kaTI6WUVdJSdvQ,0g1um0zD0CpygXDFELzXWg,5,Hal M.,hal,Male,Fitz's,3.5,63130,619,$$
18,0,-mDAFyX5kZHXhxjELeMhiQ,gUlMGBHwY_h5mCpyYuhLhw,5,Adam P.,adam,Female,Winslow's Home,4.0,63130,534,$$
21,1,-mDAFyX5kZHXhxjELeMhiQ,twNtDOz7a37-o-u8Ulk3XA,5,Timothy B.,timothy,Both,Winslow's Home,4.0,63130,534,$$
24,2,-mDAFyX5kZHXhxjELeMhiQ,K-Psn7vm1m4K21lt-9_ZNg,5,Grant H.,grant,Male,Winslow's Home,4.0,63130,534,$$
27,0,-q4YqKsWJY6NtkQdnNeL1Q,y4tlYeTK1-bEn-Oysq2DvA,4,Tony V.,tony,Male,The Barn,4.0,63126,276,$$
30,1,-q4YqKsWJY6NtkQdnNeL1Q,oub2iO5d0KcpBnGKKcC2lg,4,Edward A.,edward,Male,The Barn,4.0,63126,276,$$
33,2,-q4YqKsWJY6NtkQdnNeL1Q,zJSCkbx1r0ox3qt9Tu5wXQ,1,paula p.,paula,Male,The Barn,4.0,63126,276,$$
36,0,-yu4koRugjxrnsey25oIuw,01NqKh3pEOvHDxSCEtV0nw,4,Cassandra G.,cassandra,Male,OL' Henry Restaurant,4.0,63134,41,$$
38,1,-yu4koRugjxrnsey25oIuw,3Bg0ObjJPxMtM59AwgpWWw,5,Deborah C.,deborah,Female,OL' Henry Restaurant,4.0,63134,41,$$
40,2,-yu4koRugjxrnsey25oIuw,RFoT8EwFZtXprqG3IfKt0g,4,Heather L.,heather,Female,OL' Henry Restaurant,4.0,63134,41,$$
42,0,07tT34LEBj1xVgLRk4L8qw,Y35_HUXrFE4aAdZw0us5tA,5,Carol E.,carol,Female,The Pasta House,3.5,63033,17,$$
43,1,07tT34LEBj1xVgLRk4L8qw,N0hKy8pwxQOsnZZFo4zgxA,3,Jennifer C.,jennifer,Female,The Pasta House,3.5,63033,17,$$
44,2,07tT34LEBj1xVgLRk4L8qw,jOjZ1OWRHJWePbWOqNsSkQ,1,Kendrea H.,kendrea,Female,The Pasta House,3.5,63033,17,$$
45,0,08kBMcufQMg-Dc9IouWIYQ,ztha5CgWybqy60jxcZIGJA,3,Sara L.,sara,Female,Liu Shun Wok,4.5,63128,27,$
46,1,08kBMcufQMg-Dc9IouWIYQ,Z53DkLNxPqPV3NUe7zZSeg,1,Cory B.,cory,Female,Liu Shun Wok,4.5,63128,27,$
47,2,08kBMcufQMg-Dc9IouWIYQ,1ZCSCgMZE6Ep2iq8u0yatg,4,Mike M.,mike,Female,Liu Shun Wok,4.5,63128,27,$
48,0,0AfjyySl4Rivh-QhWfrClA,mioy1QLgL0ry61jDtUyqJQ,5,Stephanie B.,stephanie,Male,58hundred,4.5,63139,116,$$
49,1,0AfjyySl4Rivh-QhWfrClA,swxvr9cbMHPUlH6f_5Sj3w,4,Steven B.,steven,Male,58hundred,4.5,63139,116,$$
50,2,0AfjyySl4Rivh-QhWfrClA,61xqtxyzILW9PWp2uwUTbQ,4,Nicole L.,nicole,Female,58hundred,4.5,63139,116,$$
51,0,0KwD4kiiIPoTOrHXVxwTyA,ZA_qVLS3zsHOPpUVAKJXmQ,5,Maggie M.,maggie,Male,Country Girl's Pie Shop,4.0,63115,19,$
52,1,0KwD4kiiIPoTOrHXVxwTyA,WV3QqHiPG1knTHqZbQq4JQ,4,Gloria R.,gloria,Female,Country Girl's Pie Shop,4.0,63115,19,$
53,2,0KwD4kiiIPoTOrHXVxwTyA,3mxcnA0cOtQ0uuH8WXLILQ,1,Cheryl M.,cheryl,Female,Country Girl's Pie Shop,4.0,63115,19,$
54,0,0MhxvTys2ADYa3sOO91ldQ,thOMsGuRwXtItKm3Pcr7iw,5,Ian S.,ian,Female,Egg,4.5,63104,563,$$
56,1,0MhxvTys2ADYa3sOO91ldQ,7YZdEcrGSHXzWrnVpqSZZA,4,Emily T.,emily,Female,Egg,4.5,63104,563,$$
58,2,0MhxvTys2ADYa3sOO91ldQ,AhoVT9lYWlq9bO1F-_56xg,5,Scott S.,scott,Male,Egg,4.5,63104,563,$$
60,0,0QYWhij_YZ7Lyk9F6213Sg,jv-mJfyixxKWcVA5AsQJpA,5,Frank W.,frank,Female,Pho Grand Restaurant,4.0,63118,607,$
62,2,0QYWhij_YZ7Lyk9F6213Sg,yfIU4iSo8nqbPPVre7RHzQ,5,Greg D.,greg,Male,Pho Grand Restaurant,4.0,63118,607,$
64,1,0cddB9WRKcQhzAEXEav81w,ZGlITn8XfrgA9duhNDYyPg,1,Jem A.,jem,Male,Pint Size Bakery & Coffee,4.5,63139,211,$
67,0,0upS_zVQ48_9WuTjxmwRqQ,G2c5XAAs9qCvMw2oinFL6g,5,Jenna N.,jenna,Male,Big L Chop Suey,4.0,63121,15,$
68,2,0upS_zVQ48_9WuTjxmwRqQ,7A_wXRPpj3o05W2naEO95Q,5,Big Mama's M.,big,Both,Big L Chop Suey,4.0,63121,15,$
69,0,1EdfURQCj75UbcLPh9rdSw,_o1Xdn8tPVbS8CH5RTpdGQ,4,Ed C.,ed,Female,Garvey's Grill,3.5,63129,57,$$
70,1,1EdfURQCj75UbcLPh9rdSw,T7PLRzSkBTRB8vvdf54-EA,1,Hollie K.,hollie,Female,Garvey's Grill,3.5,63129,57,$$
71,2,1EdfURQCj75UbcLPh9rdSw,iXYKGTqWT0KCoHJjh2W3ww,5,Marilyn H.,marilyn,Female,Garvey's Grill,3.5,63129,57,$$
72,0,1HRAmY7rTMKaY9-rNrppzg,yGkjYpqm4QpT_LhHpTpWRQ,5,Derek D.,derek,Male,One 19 North Tapas and Wine Bar,4.0,63122,158,$$
73,1,1HRAmY7rTMKaY9-rNrppzg,PesKClOWnsdi4PHnKo9UAQ,1,Erin M.,erin,Male,One 19 North Tapas and Wine Bar,4.0,63122,158,$$
74,2,1HRAmY7rTMKaY9-rNrppzg,cxNGrh8F13fW3IOJL4FHEg,4,Mark S.,mark,Female,One 19 North Tapas and Wine Bar,4.0,63122,158,$$
75,0,1KhNDQSdDqzPQaZk8PIdGg,JT5kppO_fW_Qg2W-Zpns0Q,5,Soham D.,soham,Female,West End Grill & Pub,4.0,63108,181,$$
76,1,1KhNDQSdDqzPQaZk8PIdGg,he8pA6RPYKSvFf_UPTOhqQ,3,Joan G.,joan,Male,West End Grill & Pub,4.0,63108,181,$$
77,2,1KhNDQSdDqzPQaZk8PIdGg,jtA_fMasiust9CU9ww1HQA,5,Lori E.,lori,Female,West End Grill & Pub,4.0,63108,181,$$
78,0,1XsoLhxLB7-iyxaLpoEmUg,47hK7yBXICBb4U_G4mcQQQ,5,Nyles S.,nyles,Male,Jefferson Barracks Park,4.5,63125,17,$
79,1,1XsoLhxLB7-iyxaLpoEmUg,OQx4yQCZTsOQPTaebvPZKw,5,Amber D.,amber,Female,Jefferson Barracks Park,4.5,63125,17,$
80,2,1XsoLhxLB7-iyxaLpoEmUg,1Ec4aeV-w2FNQTtbQzHkFw,5,Kelly P.,kelly,Female,Jefferson Barracks Park,4.5,63125,17,$
81,0,1dF6hKCLrdEPDOWcwrXgOA,-7IwtqRQdrvceM05Ov88uw,1,Mike C.,mike,Female,T Js Pizza,2.5,63137,3,$
82,1,1dF6hKCLrdEPDOWcwrXgOA,OjLvSymGF0RmPJxBNRc_Pw,5,Bill R.,bill,Male,T Js Pizza,2.5,63137,3,$
83,2,1dF6hKCLrdEPDOWcwrXgOA,hdp4tTwJN7Ln3K9v7tPP9w,1,Wendy C.,wendy,Female,T Js Pizza,2.5,63137,3,$
84,0,1elddy31XiqFPVrvvd9QiQ,jdRxQu--Py2dkpf9eTDJdw,4,Rag R.,rag,Female,Which Wich,4.0,63131,44,$
85,1,1elddy31XiqFPVrvvd9QiQ,ArdtmDbkrDA0WuKUeAh85w,1,Brittney P.,brittney,Male,Which Wich,4.0,63131,44,$
86,2,1elddy31XiqFPVrvvd9QiQ,a92rR5coT3flDkZjjgJfGg,1,Audrey P.,audrey,Male,Which Wich,4.0,63131,44,$
87,0,1lWASQ_QiT_RFPEeSvyF5w,MVZPAyHPZPl_j6iJQyW2nw,3,Lloyd C.,lloyd,Female,McDonald's,2.0,63033,11,$
88,1,1lWASQ_QiT_RFPEeSvyF5w,l2j4QdaHbH8FERpT2OmojA,1,Tasha P.,tasha,Male,McDonald's,2.0,63033,11,$
89,2,1lWASQ_QiT_RFPEeSvyF5w,tgCMQfRuXAv15h3rzHVQRQ,1,Kenna M.,kenna,Both,McDonald's,2.0,63033,11,$
90,0,1o9IdLrFGMS2o5Y8uXKC0Q,Vu2x7CkBRdfUQjC_BDJmvg,5,Jemal D.,jemal,Female,Adam's Smokehouse,4.5,63139,314,$$
93,1,1o9IdLrFGMS2o5Y8uXKC0Q,O_bQf-Qim9Dk9K6zCYfSoA,4,Aaron D.,aaron,Male,Adam's Smokehouse,4.5,63139,314,$$
96,2,1o9IdLrFGMS2o5Y8uXKC0Q,HxbFq0_fbNi62sdgFfNduw,5,Craig M.,craig,Female,Adam's Smokehouse,4.5,63139,314,$$
99,0,1ulD4HL2G8qbpEuuWFDSqQ,IAwEwnegmFmIib_Cv36vAw,5,Maria H.,maria,Both,Himalayan Yeti,4.5,63139,214,$$
101,1,1ulD4HL2G8qbpEuuWFDSqQ,E6s0cZzpX-gLduuzNE8qAA,2,Melissa K.,melissa,Male,Himalayan Yeti,4.5,63139,214,$$
103,2,1ulD4HL2G8qbpEuuWFDSqQ,cWLm9g6NyowtM3VvCOGZag,1,Sue D.,sue,Male,Himalayan Yeti,4.5,63139,214,$$
105,0,24_GowpZ79St53rpxsKqsQ,ptNeR1NIZ0q9-1BEd1USww,5,Chris D.,chris,Male,P'sghetti's Pasta & Sandwiches,4.0,63123,80,$
106,1,24_GowpZ79St53rpxsKqsQ,1HyKkSHzL2RWqNrKDQy1uw,5,Mary Margaret M.,mary,Female,P'sghetti's Pasta & Sandwiches,4.0,63123,80,$
107,2,24_GowpZ79St53rpxsKqsQ,DQv83U3hFw_IVIOUU9DArA,3,David B.,david,Female,P'sghetti's Pasta & Sandwiches,4.0,63123,80,$
108,0,2BMk_drsikKWslJCXmQtjQ,yjWuxHY4MQDDKUxHa7kJvA,4,Jamie B.,jamie,Female,Rooster,4.0,63101,1754,$$
113,1,2BMk_drsikKWslJCXmQtjQ,u8w-JcWPKRCpEo_5n9xDpg,2,Trevor P.,trevor,Male,Rooster,4.0,63101,1754,$$
118,2,2BMk_drsikKWslJCXmQtjQ,BQsywEAiZWSQuRXUQNGLFw,4,michael d.,michael,Female,Rooster,4.0,63101,1754,$$
123,0,2DWqlmcMV9CxzUDYhzY04Q,_laHh0_hl2jm9oAiBLX1aA,5,Lisa R.,lisa,Male,Drake's Place,4.5,63135,78,$$
126,1,2DWqlmcMV9CxzUDYhzY04Q,K9_zCgDewCq2zKnWL32NtQ,4,Sara L.,sara,Male,Drake's Place,4.5,63135,78,$$
129,2,2DWqlmcMV9CxzUDYhzY04Q,G7VlG5tiRQP8EEs3B7rb7g,5,Kim B.,kim,Male,Drake's Place,4.5,63135,78,$$
132,0,2P-pvj_jo0SxNe6jih6sOA,LfDVJv2Kwi0mXpq3PjsWTQ,5,Doug M.,doug,Male,J's Pitaria,5.0,63116,61,$
134,1,2P-pvj_jo0SxNe6jih6sOA,jX4kAITfOxIBjZk58uP67A,5,Zach H.,zach,Female,J's Pitaria,5.0,63116,61,$
136,2,2P-pvj_jo0SxNe6jih6sOA,tCo5u-8NIYCDMLKL9tbz4Q,5,Sandra K.,sandra,Female,J's Pitaria,5.0,63116,61,$
138,0,2aZNVfzU-3672SjRHnPoOA,u7NrnJPyAR8Z63sJ5iuegg,5,Vivienne C.,vivienne,Both,Clementine's Naughty & Nice Creamery,4.5,63105,174,$$
139,1,2aZNVfzU-3672SjRHnPoOA,QpmwxBqjh3Tcis3GOR4HqA,5,Cheryl T.,cheryl,Male,Clementine's Naughty & Nice Creamery,4.5,63105,174,$$
140,2,2aZNVfzU-3672SjRHnPoOA,P9doCXFsu-BR-O3MCVCi8Q,4,Faye T.,faye,Male,Clementine's Naughty & Nice Creamery,4.5,63105,174,$$
141,0,2zscMai3s2qePfovwetPcg,yX3qiJ77r7hQtfevhJCZjA,5,Alex R.,alex,Female,MOD Pizza,4.5,63122,60,$$
142,1,2zscMai3s2qePfovwetPcg,LP4TlsrLBhFU-u4u4KEcwg,4,Dave D.,dave,Female,MOD Pizza,4.5,63122,60,$$
143,0,31_JqV2ZinZ7Uo4DKiKFEQ,sU2KMylA3QVMoW6Ct6rkDQ,4,Nathan T.,nathan,Female,Northland Chop Suey Chinese Restaurant,5.0,63136,8,$
146,1,31_JqV2ZinZ7Uo4DKiKFEQ,Sn1H_JdEl66J_nri_vHcuw,5,Andrew M.,andrew,Female,Northland Chop Suey Chinese Restaurant,5.0,63136,8,$
149,0,33l2XVp01d8kltTs_UMJ8A,R5JgicBCFr1PIuRf_b5qqg,5,Amber M.,amber,Both,Truffles,4.5,63124,130,$$$
150,1,33l2XVp01d8kltTs_UMJ8A,bqpua-E7ka04U4iTFknXBg,4,Lizzy L.,lizzy,Male,Truffles,4.5,63124,130,$$$
151,0,37dCsVwCe8yWPkW7TXCLCA,w_VSvmGwHGk1fF4SAjOq7g,5,Dan J.,dan,Male,Melo's Pizzeria,5.0,63104,103,$$
152,1,37dCsVwCe8yWPkW7TXCLCA,Unn08ErU_E4ziL2NpLmKWg,4,Zack G.,zack,Male,Melo's Pizzeria,5.0,63104,103,$$
153,0,3AZjEgNM6CiOePDKKAQWgA,diITXEDX93lRG5yB-aYMRw,5,Christina C.,christina,Female,DD Mau Vietnamese Eatery,4.5,63043,171,$$
154,1,3AZjEgNM6CiOePDKKAQWgA,eK0aZ4TLMaiHzw5T34y2SA,5,Allen W.,allen,Female,DD Mau Vietnamese Eatery,4.5,63043,171,$$
155,2,3AZjEgNM6CiOePDKKAQWgA,_kuQz3sm-293ZFrbjDqarA,5,Chris K.,chris,Female,DD Mau Vietnamese Eatery,4.5,63043,171,$$
156,0,3M2zIKwVz2J63SlNiirgVA,WtVnortdVgBcaRNbTsU3nw,5,Cynthia K.,cynthia,Male,San Jose Mexican Restaurant,3.5,63126,113,$$
157,1,3M2zIKwVz2J63SlNiirgVA,RaMd63P8woE7dRkDy4hTqQ,4,Julie L.,julie,Male,San Jose Mexican Restaurant,3.5,63126,113,$$
158,2,3M2zIKwVz2J63SlNiirgVA,B1L8jvcAU3f3WP0QThn5mQ,4,Devon P.,devon,Male,San Jose Mexican Restaurant,3.5,63126,113,$$
159,0,3VYxaeo6BJNHbVIIfmWN_w,D98kb6fYw94EpGSwEV70Rg,5,Katherine G.,katherine,Female,Vicia,4.0,63108,234,$$
160,1,3VYxaeo6BJNHbVIIfmWN_w,vAIajmFI6JO3cluR9BjCYg,2,Carol J.,carol,Male,Vicia,4.0,63108,234,$$
161,2,3VYxaeo6BJNHbVIIfmWN_w,e9mV2EtbH6kr5w5KrNNgXA,4,Maggie H.,maggie,Male,Vicia,4.0,63108,234,$$
162,0,3XXt0s_SDC9SyFTiIPNSgA,lMvjTTqNOad7rhgKBeJM6g,5,Mohammed B.,mohammed,Female,The Original Pancake House,4.0,63124,284,$$
164,1,3XXt0s_SDC9SyFTiIPNSgA,BSvY6DPZBbWyDS6MXuM21g,2,Marilyn A.,marilyn,Female,The Original Pancake House,4.0,63124,284,$$
166,2,3XXt0s_SDC9SyFTiIPNSgA,kzHAPgl-e05OGCpIcEHHqQ,3,Marlo S.,marlo,Both,The Original Pancake House,4.0,63124,284,$$
168,0,3XirYkP9PJvVXIEDPNNXLA,wRRGaIuyLjUbv_pHbZwcsg,5,Sara L.,sara,Female,Crown Candy Kitchen,4.5,63106,513,$
171,1,3XirYkP9PJvVXIEDPNNXLA,HdGBSguVXQUNK3lXrrGh-g,3,Danette A.,danette,Female,Crown Candy Kitchen,4.5,63106,513,$
174,2,3XirYkP9PJvVXIEDPNNXLA,b-8Md5BraJvIoWxZMRgzWA,3,JT T.,jt,Female,Crown Candy Kitchen,4.5,63106,513,$
177,0,3f6HTECaJK4vQr4VSU1xsQ,ez0Nv6RnKH7b6mpu3zGMTw,4,Brett F.,brett,Male,Rich & Charlie's,3.5,63129,64,$$
178,1,3f6HTECaJK4vQr4VSU1xsQ,HpwAv0_Wi0fvWFKg0BJIVg,5,John H.,john,Female,Rich & Charlie's,3.5,63129,64,$$
179,2,3f6HTECaJK4vQr4VSU1xsQ,1u1HKOgBw-nQq2yoT_-KyQ,3,Jennifer M.,jennifer,Both,Rich & Charlie's,3.5,63129,64,$$
180,0,3ovV2S7XEAOEk8hCdYKhOA,IQ5j-XWu8dkzTORzQQxnhg,5,Anthony A.,anthony,Female,Hi-Pointe Drive-In,4.0,63117,558,$$
181,1,3ovV2S7XEAOEk8hCdYKhOA,cbzhZJfTuh20o6pkzS0z9g,3,Joseph J M.,joseph,Female,Hi-Pointe Drive-In,4.0,63117,558,$$
182,2,3ovV2S7XEAOEk8hCdYKhOA,hTSy3HRBvYoPiMBRFwlMmQ,4,Eric N.,eric,Both,Hi-Pointe Drive-In,4.0,63117,558,$$
183,0,3qpubK1C8SsDcq8BeKOEbA,xiL39yVoWiR65LFjWFzWpA,4,Leslie H.,leslie,Male,HopCat - St Louis,4.0,63130,149,$$
184,1,3qpubK1C8SsDcq8BeKOEbA,CMpFSqh0RrU8WAWXTRCw8A,3,Allen W.,allen,Male,HopCat - St Louis,4.0,63130,149,$$
185,2,3qpubK1C8SsDcq8BeKOEbA,i31hIjN5HP5o_KgCRWjkGA,3,Mark L.,mark,Female,HopCat - St Louis,4.0,63130,149,$$
186,0,3zI7Ka2_ZsKh4UwbSFnXdw,CIu0dXjbBo360GU02wMeRw,5,Katy C.,katy,Male,Lulu's Local Eatery,4.5,63118,438,$
188,1,3zI7Ka2_ZsKh4UwbSFnXdw,DyYQNkTKcqMHUu7IkIGaAA,5,Lisa N.,lisa,Male,Lulu's Local Eatery,4.5,63118,438,$
190,2,3zI7Ka2_ZsKh4UwbSFnXdw,s_3FN56nkNQwXNYWTuQozg,5,Eleni B.,eleni,Male,Lulu's Local Eatery,4.5,63118,438,$
