,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender,name,rating,zip_code,review_count,price,price_num
0,0,-8HsKILlFcC8ieznte56eg,EYnuAcdV2-XBzGmNwl0PRg,5,Jen B.,jen,Female,Lulu's Bakery,4.0,11366,347,$$,2
6,1,-8HsKILlFcC8ieznte56eg,wNWHeIHL5pCMaAk42kiZNA,5,Mickel E.,mickel,Male,Lulu's Bakery,4.0,11366,347,$$,2
12,2,-8HsKILlFcC8ieznte56eg,6rlfZe4waTotfKSa5nlRHA,3,Kathryn K.,kathryn,Female,Lulu's Bakery,4.0,11366,347,$$,2
18,1,-9NO2IDCJMyNGZMAQ1-VQw,5FGbIIe7K9uSmJQp5XfXMg,4,Kat B.,kat,Female,NY Pizza Suprema,4.0,10001,1940,$,1
20,2,-9NO2IDCJMyNGZMAQ1-VQw,NoGmKRYEwOl_LqVXkMVA0Q,4,Kelly H.,kelly,Female,NY Pizza Suprema,4.0,10001,1940,$,1
22,0,-BmS1FH3DSK6fSifIt8GgQ,x8Y85SpBcStYEyvsGzBbfQ,5,Gabriella A.,gabriella,Female,Nurnberger Bierhaus,4.0,10310,207,$$,2
25,1,-BmS1FH3DSK6fSifIt8GgQ,ceqSxgvomChZ89kvJmUYDg,5,Peter P.,peter,Male,Nurnberger Bierhaus,4.0,10310,207,$$,2
28,2,-BmS1FH3DSK6fSifIt8GgQ,ITfxB5vw2VAqo685V0sY9A,5,Chris N.,chris,Male,Nurnberger Bierhaus,4.0,10310,207,$$,2
31,0,-NglVrPdjl3dG-z8ZBzJyQ,y0WGAhbtTp68xls-s70LJQ,5,Conor D.,conor,Male,The Wilky,4.5,11221,149,$$,2
33,0,-OixbLnFLCzQclxCSbUQ8w,odgcUU1zrK_TyQR4ZpLtwQ,5,Angelica O.,angelica,Female,Up Thai,4.5,10021,2176,$$,2
40,1,-OixbLnFLCzQclxCSbUQ8w,1Xu5zI48E6lXYxIXDl2SFA,5,Jessica C.,jessica,Female,Up Thai,4.5,10021,2176,$$,2
47,2,-OixbLnFLCzQclxCSbUQ8w,Kz3Ons1BqTzrG5-rZrsCcg,5,Jacky C.,jacky,Female,Up Thai,4.5,10021,2176,$$,2
