,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender,name,rating,zip_code,review_count,price,price_num
0,0,-FOAQv22SXtSBs7nptI3UA,rMNUJ0f-V1oN6O4Jz2qP9Q,5,Johanna M.,johanna,Female,Serious Pie,4.0,98121,4081,$$,2
6,1,-FOAQv22SXtSBs7nptI3UA,IthS8Rb-GYIZ9OhgWuJeWQ,3,Julian S.,julian,Male,Serious Pie,4.0,98121,4081,$$,2
12,2,-FOAQv22SXtSBs7nptI3UA,35-4Cw_-vm7HwoQANbzfWg,4,Sharon T.,sharon,Female,Serious Pie,4.0,98121,4081,$$,2
18,0,-YlkKYlHYKNcrBs21V-WfQ,cetLa1hxD2Q2jhsbGGKn1g,5,Artemis L.,artemis,Female,Chinook's,4.0,98119,829,$$,2
19,1,-YlkKYlHYKNcrBs21V-WfQ,9FNNxuN0Y5eGTWVQLUOUvA,4,Michael G.,michael,Male,Chinook's,4.0,98119,829,$$,2
20,0,-ofDNmj8r_F875FiZr9G8w,GpbGk781tkhDXpKpnBO77Q,5,Travis L.,travis,Male,Witness,4.5,98102,769,$$,2
22,1,-ofDNmj8r_F875FiZr9G8w,W6TPZlqZtqDRL7kfJxDXdA,4,Sara C.,sara,Female,Witness,4.5,98102,769,$$,2
24,1,-pa-22jT0ssGBiBaGQWiqA,lZKHZd_LCi7YUjKp5GpnWg,2,Tommy L.,tommy,Male,The Harvest Vine,4.5,98112,606,$$$,3
26,2,-pa-22jT0ssGBiBaGQWiqA,-c4IcnsbnuNtLLWlEAe_rg,3,Sharon X.,sharon,Female,The Harvest Vine,4.5,98112,606,$$$,3
28,0,-qeVTbSB0Gv59dUiNUTVNA,7lRpCCrSGZFL_lQN5U-RLg,5,Ellen R.,ellen,Female,Le's Pho Tai,4.0,98133,255,$$,2
30,2,-qeVTbSB0Gv59dUiNUTVNA,k7YT_ex3rSN57yKQlQG3hw,3,Teresita C.,teresita,Female,Le's Pho Tai,4.0,98133,255,$$,2
32,0,-wOeBFbqBmUpwmClAYC6Ig,EEifBNUxRDBaGzuFCHJsxw,5,Christy N.,christy,Female,Delancey,4.0,98117,532,$$,2
33,1,-wOeBFbqBmUpwmClAYC6Ig,q4T70GCp7S7DwSbzU13otA,2,Lee G.,lee,Male,Delancey,4.0,98117,532,$$,2
34,2,-wOeBFbqBmUpwmClAYC6Ig,pOA_VDHh2KTp1mJgLipsFw,1,Emily I.,emily,Female,Delancey,4.0,98117,532,$$,2
35,1,08M3HVlCtr3xl6hmKOPl1g,b9oD5VWCgCC-WpWRZC-Oqw,5,Michael P.,michael,Male,Un Bien,4.5,98117,972,$$,2
38,2,08M3HVlCtr3xl6hmKOPl1g,JsT_9gzPwYuYZ2c5HjJlKw,5,Kristin B.,kristin,Female,Un Bien,4.5,98117,972,$$,2
41,0,09FLRYnePKcUwGDDPIOAkg,jwShOe7oZVLJysuvU64c1g,5,Elaine S.,elaine,Female,Biscuit Bitch,4.0,98101,3665,$,1
47,1,09FLRYnePKcUwGDDPIOAkg,MKfxivx7C2OYsSCrN7FrlA,4,Sarah B.,sarah,Female,Biscuit Bitch,4.0,98101,3665,$,1
53,2,09FLRYnePKcUwGDDPIOAkg,tmlG0fQx1ATIHr1hEMKQ2g,5,Carolina H.,carolina,Female,Biscuit Bitch,4.0,98101,3665,$,1
59,0,0HGzdQ2HjA95IFQPQXb1vg,dfA33X_4x_bIx5l0kno8hA,5,Zach E.,zach,Male,Stoneburner,4.0,98107,629,$$,2
61,1,0HGzdQ2HjA95IFQPQXb1vg,3kWWX5dlfZC-8hYYxot12w,3,Justine C.,justine,Female,Stoneburner,4.0,98107,629,$$,2
63,2,0HGzdQ2HjA95IFQPQXb1vg,Th9aqkKihcgc3U14n-DDCA,2,Cesar C.,cesar,Male,Stoneburner,4.0,98107,629,$$,2
65,0,0SNGHTGs63m6cidnGLn_ew,AfQz6oRpcTaHrBT94HEjkQ,5,Bill R.,bill,Male,Chontong Thai Cuisine,4.0,98188,184,$$,2
66,1,0SNGHTGs63m6cidnGLn_ew,KkCbIdsWDpZK0nJAdt27cg,3,Sarah M.,sarah,Female,Chontong Thai Cuisine,4.0,98188,184,$$,2
67,2,0SNGHTGs63m6cidnGLn_ew,yQQ4bgbxNfMnNJbFBk5hWA,4,Cheryl G.,cheryl,Female,Chontong Thai Cuisine,4.0,98188,184,$$,2
68,0,0TePv4HKkxVirMSJffBpVw,JFimCXsHf-g-Ni_EWvoDMg,5,Oscar And Jenny G.,oscar,Male,Eat Time,4.5,98166,191,$$,2
71,1,0TePv4HKkxVirMSJffBpVw,-QD-jX-kkpvjtJIcR-S1Xg,4,Anthony S.,anthony,Male,Eat Time,4.5,98166,191,$$,2
74,2,0TePv4HKkxVirMSJffBpVw,MpnI59G3pi5CBQAMdBSj-g,4,Julian S.,julian,Male,Eat Time,4.5,98166,191,$$,2
77,0,0ZhdlPCsEGFLOiJxyNuoKw,LyMoXiq58N1A_opckHlQ-Q,5,Carrie M.,carrie,Female,Café Besalu,4.5,98107,844,$,1
80,1,0ZhdlPCsEGFLOiJxyNuoKw,QaEOaes1ZbO1Hj7GG8bqNA,3,Tommy L.,tommy,Male,Café Besalu,4.5,98107,844,$,1
83,2,0ZhdlPCsEGFLOiJxyNuoKw,91-rzWk-A6I3pbD_JJpgfg,4,Anthony T.,anthony,Male,Café Besalu,4.5,98107,844,$,1
86,0,0cqa2F_cfIjxAC3nqw__1w,oBxtnPTfgy1Qz47sDNQkdA,5,Atta M.,atta,Male,Serious Pie & Biscuit,4.0,98109,1697,$$,2
87,1,0cqa2F_cfIjxAC3nqw__1w,mSj7cCO72wmRHXAbUOrQFA,3,Brian M.,brian,Male,Serious Pie & Biscuit,4.0,98109,1697,$$,2
88,2,0cqa2F_cfIjxAC3nqw__1w,8pZpAbRZccWUCmw7hy2YDg,4,Marta K.,marta,Female,Serious Pie & Biscuit,4.0,98109,1697,$$,2
89,0,0jZIOA_9H3YOsbiyoyRWrA,eCiUIhaWVq5zWOjn2mtDSQ,5,William H.,william,Male,Seattle Lotus Vegetarian Restaurant,4.5,98146,112,$$,2
90,1,0jZIOA_9H3YOsbiyoyRWrA,aHxICcz7DQ0EJPqcRbuDiw,4,Farrah R.,farrah,Female,Seattle Lotus Vegetarian Restaurant,4.5,98146,112,$$,2
91,2,0jZIOA_9H3YOsbiyoyRWrA,7vAvlxzW8QxchuEShjFe8A,4,Bree B.,bree,Female,Seattle Lotus Vegetarian Restaurant,4.5,98146,112,$$,2
92,0,0lpJjdUwtI4uPrED-woG5g,wUiGZ-AHBRrm5m4gJANrgA,5,Chanelle C.,chanelle,Female,Homefront Smoothies and Icecream,4.5,98198,72,$,1
93,1,0lpJjdUwtI4uPrED-woG5g,xj9jCBdl0fPTE0wC-t5Tqg,5,Luana T.,luana,Female,Homefront Smoothies and Icecream,4.5,98198,72,$,1
94,2,0lpJjdUwtI4uPrED-woG5g,Xqfh-G_nUIp3rxtBhS80lg,5,Josh S.,josh,Male,Homefront Smoothies and Icecream,4.5,98198,72,$,1
95,0,0u3wpP_C69Tjmhe8nXnPzw,HyragRf0B3ZhVZHV4AFKXA,5,Bella C.,bella,Female,Sound & Fog,5.0,98116,137,$,1
97,1,0u3wpP_C69Tjmhe8nXnPzw,9K_LHuQFA1AOuOj5OkVAhw,4,Richard M.,richard,Male,Sound & Fog,5.0,98116,137,$,1
99,1,1pq3kaUmxxRKDxI6GDtQcg,huq5VNUA-MKaETQsyaExsQ,5,Johnathan T.,johnathan,Male,Frankie & Jo's Capitol Hill,4.5,98122,518,$$,2
100,2,1pq3kaUmxxRKDxI6GDtQcg,ihcr0agZQApVVSUoWxpxLg,4,Becky C.,becky,Female,Frankie & Jo's Capitol Hill,4.5,98122,518,$$,2
101,0,26uHAjxvYUjO8I0WPfw0bQ,7JBYKzNn3Swtxwxl-fRe3Q,5,Karl Erich M.,karl,Male,Mora Iced Creamery,4.5,98110,663,$,1
102,1,26uHAjxvYUjO8I0WPfw0bQ,8tyUQ6niqZqkNKEqr9qntA,5,Sarah C.,sarah,Female,Mora Iced Creamery,4.5,98110,663,$,1
103,2,26uHAjxvYUjO8I0WPfw0bQ,orqaPTyT2zEziik5CjrKIw,2,Janet D.,janet,Female,Mora Iced Creamery,4.5,98110,663,$,1
104,0,2FS5eBVcFJ_W461ylUs38Q,DPmXeIuDlk4lsr8ramVbjQ,5,Wyatt E.,wyatt,Male,Palisade,4.0,98199,1398,$$$,3
106,1,2FS5eBVcFJ_W461ylUs38Q,jlbHgWjlH7nhjlbwHSJiNw,4,Jacqueline D.,jacqueline,Female,Palisade,4.0,98199,1398,$$$,3
108,0,2lT0X0qPpikWgOFbCXsiyw,v2HA3EPMXZarTSvcTsMsqw,4,Cheryl G.,cheryl,Female,West 5,4.0,98116,451,$$,2
109,1,2lT0X0qPpikWgOFbCXsiyw,ddrLFwAbgtBrxcEVACsdtA,2,Peter G.,peter,Male,West 5,4.0,98116,451,$$,2
110,2,2lT0X0qPpikWgOFbCXsiyw,nBtAo0cPhPWildA5QDg6aA,4,Mackenzie C.,mackenzie,Male,West 5,4.0,98116,451,$$,2
111,0,32VKRJRFgVTI9w2AhY_grA,YpfXyhv_HZghSru2BbjXAA,4,Sarah C.,sarah,Female,Moctezuma's Mexican Restaurant & Tequila Bar,4.0,98188,1331,$$,2
