,business_id,name,rating,zip_code,review_count,price
0,uyUKtGWLYgu-RLjlNImy0A,Tango Sur,4.0,60613,2299,$$$
1,o54U2VkQama8FI30qDkWvw,Chicago Diner,4.0,60657,2062,$$
2,0fFLUKl71vv3eNV2xhikEw,Spacca Napoli,4.0,60640,1483,$$
3,Psi34XLTOtVqLYS9StO1hA,Tweet,4.0,60640,1510,$$
4,vz1aN17saAgwhRD8kneCGw,The Roost Carolina Kitchen,4.0,60613,721,$$
5,GEpXn9rtTMtIj5NsGFiNQw,The Bad Apple,4.0,60618,1519,$$
6,nr3JxrY1zQDLsYKUKPqWzA,Jeni's Splendid Ice Creams,4.5,60657,587,$$
7,WBU0yq9J8qiYQfI_fh2P1Q,Crisp,4.5,60657,3047,$$
8,ALwH81_sqskLmwfWS-_eeQ,Tank Noodle,4.0,60640,1755,$$
9,JDNZxz0ud7zhuPo5pqznMA,Demera Ethiopian Restaurant,4.0,60640,1028,$$
10,KomhK0JD5cleEW55YTw7MQ,Sun Wah Bar-B-Que,4.0,60640,1580,$$
11,ufxKkcPhjlF4x2C1Or8ckA,Lowcountry Lakeview,4.5,60657,579,$$
12,al530TnimkgqmPU6q-2hQw,Tiztal Cafe,4.5,60640,540,$$
13,0fYNLK7VpBUW4mgFyPCrWQ,Over Easy Cafe,4.5,60625,1451,$$
14,om-vqH8GMpteU9xlSymPaQ,Loving Heart,5.0,60613,186,$
15,m_w5UfOmgAqN4Kgbl_-iFQ,Siam Noodle and Rice,4.0,60613,436,$
16,50gFzdVglOz88eFJ6v-26A,Glenn's Diner,4.0,60613,1176,$$
17,z8G5AfXYbJD2jQpSEF633g,Michael's Pizzeria & Tavern,4.0,60613,545,$$
18,sR4EOfPuI-at41uIxIZPhw,Hopleaf,4.0,60640,2078,$$
19,LYppbvgJlBG0SqjSKFiFGg,Sapori Trattoria,4.5,60614,2166,$$
0,HTgKfmmlzgE43trhntv8-w,DuBu,4.5,19027,409,$$
1,QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,4.5,19126,339,$$
2,qsm7SkX60JsajT7Yz248FA,Café Soho,4.0,19126,716,$$
3,itv5mVA2lkp_ivhSdmKGgw,Seorabol Korean Restaurant,4.0,19120,510,$$
4,FIweOxvfz1aSgXqs2X-pqw,Sangkee Asian Kitchen,4.0,19027,120,$$
5,9f48RWEylLgrkCt0-49iHw,Paris Baguette,4.0,19027,134,$$
6,-wlmZ-b35UJ-GY-59NDxyw,H Mart - Elkins Park,4.0,19027,139,$
7,oP7An13EMBE_IZSqLzQ_bQ,DuBa Karaoke and Pub,4.5,19027,46,$$
8,nPfUxvE41sjRJqZTUj-qGw,Cafe Clover,4.5,19027,57,$$
9,FJl6LCHbqiM9mvSwDjFAjw,Kim's Restaurant,4.0,19120,180,$$
10,32It9NN_lVismU9tcuLB0A,Relish,3.5,19138,334,$$
11,rLRw73bopdUf4spMxIAhIQ,Chef Vargas,4.0,19027,141,$$
12,H7nagsl9oVcEaArJI4RIrQ,More Food Court,4.0,19027,88,$
13,MYZuMWSZ9-1q-_1fbWfvow,Jamaican D's,4.0,19138,135,$$
14,j2m_DDgHRAjB0Vx3j8wepw,Gogi BBQ,4.0,19126,89,$$
15,WzbKilRpbcblgv38AV58eA,The Cheesecake Lady,5.0,19027,80,$$
16,y5PBPekernnQkwwUuTzwSQ,Jason's Cozyday,4.5,19120,62,$$
17,_OgwyI_0mGs620_ZfKgzbg,Tierra Colombiana Restaurant,4.0,19140,370,$$
18,h85b3MFPWyaopMBy8DpBpA,Ron's Caribbean Cuisine,4.0,19141,107,$$
