,business_id,name,rating,zip_code,review_count,price
0,--F3QN39ndTiL85W0-Dtxw,WC Harlan,4.5,21211,171,$$
1,-4wz0dOG3RdBNYE02l9KjA,PPQ Dungeness Island,4.0,94121,3019,$$
2,-BhtkobiICQ-SaJZa7-7oA,Abracadabra,4.5,00912,175,$$
3,-C2vxDphxWzYPLgNgdKJAQ,Cafe Vida - Culver City,4.0,90232,1304,$$
4,-DfaqvIQAw8vD3ZFAxo_eQ,The Melting Pot,4.0,94939,947,$$$
5,-DrR38H1Abk0wCyu9XOLug,Sweet Maple,4.0,94115,3588,$$
6,-FOAQv22SXtSBs7nptI3UA,Serious Pie,4.0,98121,4083,$$
7,-I4bxb04YkCSNCbFWto7Gw,Dali Restaurant & Tapas Bar,4.0,02143,1047,$$
8,-M0aSSQqEEAkxsXLwXwIvQ,The Sun Vegan,5.0,92708,317,$
9,-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village,4.5,19144,38,$$
10,-NglVrPdjl3dG-z8ZBzJyQ,The Wilky,4.5,11221,149,$$
11,-O6AeLLCC2kSh0ecAW-ZCg,Mariscos La Playita,4.0,90262,122,$
12,-OIUunijjcq_ZzyyQhPPFQ,Zorba's Taverna,4.0,19130,450,$$
13,-OplSkpDk33uikS5fO-JQw,Addictive Wine and Tapas Bar,4.5,11372,195,$$
14,-V_vrWuJafQM71U1UOEy9w,Marco Polo Italian Ice Cream,4.5,95122,368,$$
15,-d6GRp2UvFjsX4ay1MI9jw,Bakeshop,4.5,22201,806,$$
16,-d8E36_poxJgHT415CC6rA,Pho Hoai Restaurant,3.5,11229,295,$
17,-dRL6yDxKwoth6KlloMrLg,Northside Social Coffee & Wine,4.0,22201,1196,$$
18,-ddx_SZ4nJJADNpl29i84g,SteelCraft Bellflower,4.5,90706,128,$$
19,-ic13XJ9ekpEfshQFPKL4A,Grandchamps Kitchen & Market,4.0,11233,216,$$
20,-kHNCSxf_lHi9822c43J7w,Ora,4.5,60640,483,$$
21,-kVueEw_fyO1Q2Gkmj6Few,Taqueria Santa Fe,4.5,11377,338,$
22,-oEWVnwkd_UHiSHtmPoU3A,Club Paris,4.0,99501,263,$$
23,-reM_LQZYKH9APowvHhaxA,Ceviche House,4.0,00979,263,$$
24,-sdMTRmgExufOk6STZFi9w,Little Goat Diner,4.0,60607,4473,$$
