,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender
0,0,--F3QN39ndTiL85W0-Dtxw,7uZ23Wcq9KF0ae5TB48eQg,5,Stephania Q.,stephania,Female
1,1,--F3QN39ndTiL85W0-Dtxw,wpRdEleYM9pO3FwUIMo_Lg,4,Courtney C.,courtney,Male
2,2,--F3QN39ndTiL85W0-Dtxw,S2J7xH6w7A8QGQpi5-cCXg,4,Christopher M.,christopher,Male
4,1,-4wz0dOG3RdBNYE02l9KjA,lG1t7bJ5WDY5c5SCJVMJ3w,3,Audrey L.,audrey,Female
5,2,-4wz0dOG3RdBNYE02l9KjA,DMW7XTE6LafH-G4yxjbyRQ,5,Richard C.,richard,Male
6,0,-BhtkobiICQ-SaJZa7-7oA,nm3ZhHIdnxDGrSzMaO0zqA,5,Alfredo D.,alfredo,Male
7,1,-BhtkobiICQ-SaJZa7-7oA,crj793Yz0ZEU9jHyAbVHkA,4,Nick C.,nick,Male
9,0,-C2vxDphxWzYPLgNgdKJAQ,GnWxAhtQ5cL4fW7YTafYQQ,5,Natasha G.,natasha,Female
10,1,-C2vxDphxWzYPLgNgdKJAQ,Y7WkCly9SsuRwNPjY7loTQ,5,Crystal K.,crystal,Female
11,2,-C2vxDphxWzYPLgNgdKJAQ,rhC_iOu1ZGQWm7uB8_KJOw,2,Gina M.,gina,Female
12,0,-DfaqvIQAw8vD3ZFAxo_eQ,WSEK3hJZjs_cADN3psBKWg,5,Kristi M.,kristi,Female
13,1,-DfaqvIQAw8vD3ZFAxo_eQ,C5ABePmDiQhUNSHz_WtMiQ,3,Madalyn B.,madalyn,Female
15,0,-DrR38H1Abk0wCyu9XOLug,ZSXojEQF9VbhD_h3K-4bmg,5,Amber S.,amber,Female
16,1,-DrR38H1Abk0wCyu9XOLug,6YtIAi2jrOWx3yvM9HcJEw,4,Tiffany N.,tiffany,Female
17,2,-DrR38H1Abk0wCyu9XOLug,2j1t2s7Mu39N3d0c-SYSOA,4,Holly P.,holly,Female
18,0,-FOAQv22SXtSBs7nptI3UA,s_NXa4ISlDWd_C0bALRbnQ,5,Valerie S.,valerie,Female
19,1,-FOAQv22SXtSBs7nptI3UA,kKQ5h0SUyhq0PMRXoql0tQ,5,Joanne C.,joanne,Female
20,2,-FOAQv22SXtSBs7nptI3UA,IthS8Rb-GYIZ9OhgWuJeWQ,3,Julian S.,julian,Male
21,0,-I4bxb04YkCSNCbFWto7Gw,_WUNYRI8Qq2H3TpfI7h7aQ,5,Melissa G.,melissa,Female
24,0,-M0aSSQqEEAkxsXLwXwIvQ,8J0PqHpc--mVdmE6nfIvwA,5,Monica H.,monica,Female
25,1,-M0aSSQqEEAkxsXLwXwIvQ,bMr5B8m9mCYXeSDXFkPJOQ,4,Andrew K.,andrew,Male
26,2,-M0aSSQqEEAkxsXLwXwIvQ,TZmKBagFUL_LXMNUlyPzrQ,5,Donna G.,donna,Female
28,1,-NG3pA9LEXCxt0Fjd_aYYA,L7HrR7exFFGD-HbIDlq0Vw,5,Zada A.,zada,Female
30,0,-NglVrPdjl3dG-z8ZBzJyQ,y0WGAhbtTp68xls-s70LJQ,5,Conor D.,conor,Male
33,0,-O6AeLLCC2kSh0ecAW-ZCg,zzyACLsv6E2WzBlKPMxOoA,5,Kayla B.,kayla,Female
34,1,-O6AeLLCC2kSh0ecAW-ZCg,RZOoMZFmTFtS-znc_0TOow,4,Ray G.,ray,Male
35,2,-O6AeLLCC2kSh0ecAW-ZCg,dU3PBVeRJwTmbtwTc0g39w,2,Ernie B.,ernie,Male
36,0,-OIUunijjcq_ZzyyQhPPFQ,MJEkhGH9Z43K7oilNranrw,5,Dylan M.,dylan,Male
37,1,-OIUunijjcq_ZzyyQhPPFQ,W1DGGH5EUlKvyQfc6YE8fw,3,Tricia M.,tricia,Female
38,2,-OIUunijjcq_ZzyyQhPPFQ,w4Wz6qZbSlzpvyC3uSr7qA,2,George L.,george,Male
39,0,-OplSkpDk33uikS5fO-JQw,BvhSWmuNWGi8t4X5i4QcPA,5,Rob P.,rob,Male
41,2,-OplSkpDk33uikS5fO-JQw,HEQk04siMM5aOEZamGISkw,5,Erick D.,erick,Male
42,0,-V_vrWuJafQM71U1UOEy9w,MdA5r3P9tyEht5zOD2hVhA,5,Catherine Q.,catherine,Female
43,1,-V_vrWuJafQM71U1UOEy9w,fPr6af22unQofl_bvfTCbQ,4,Joy U.,joy,Female
44,2,-V_vrWuJafQM71U1UOEy9w,28uPhi87MCuz4Qfjezpx9Q,4,Taline M.,taline,Female
45,0,-d6GRp2UvFjsX4ay1MI9jw,98bJClcU1-hLQUrCQ9iVLg,5,Alia K.,alia,Female
46,1,-d6GRp2UvFjsX4ay1MI9jw,66EO3dZZVp_iVPUWTQDcPA,5,Richard C.,richard,Male
48,0,-d8E36_poxJgHT415CC6rA,41V9qcsm2zbXXaKAfRVy6w,4,Wendy Y.,wendy,Female
49,1,-d8E36_poxJgHT415CC6rA,OlhIKcfYgJ7fZRgLw5OqVg,1,Eric L.,eric,Male
50,2,-d8E36_poxJgHT415CC6rA,3onJuV4nPwIPxJnU9qk68Q,4,Suki C.,suki,Female
52,1,-dRL6yDxKwoth6KlloMrLg,e8tIbdKkTtm2uW22ofaM1g,5,Zach D.,zach,Male
53,2,-dRL6yDxKwoth6KlloMrLg,JEPRRTDKv8U75a4kCSqTSA,5,Matthew R.,matthew,Male
54,0,-ddx_SZ4nJJADNpl29i84g,16qPbTTAIdS6ZI9B4gRdsg,5,Muniza S.,muniza,Female
55,1,-ddx_SZ4nJJADNpl29i84g,9w6i8CP0LA-zyEF3X0FlnQ,5,Russell N.,russell,Male
56,2,-ddx_SZ4nJJADNpl29i84g,2kiZUIKTQzjdUQ_m0VbX-w,4,Megan H.,megan,Female
57,0,-ic13XJ9ekpEfshQFPKL4A,EHt9-PpEfYhdVW0b2PGgkQ,5,Tatiana C.,tatiana,Female
58,1,-ic13XJ9ekpEfshQFPKL4A,U66p6Afj6mEQZH1xgsEfcQ,3,Micaela T.,micaela,Female
60,0,-kHNCSxf_lHi9822c43J7w,NyhQeZCTPiX9rOaU51AuxQ,5,Esther S.,esther,Female
61,1,-kHNCSxf_lHi9822c43J7w,I92oQzJaGZ6z7IN2qEJe8A,5,Tanya A.,tanya,Female
62,2,-kHNCSxf_lHi9822c43J7w,sdBSbiyzvnMyu-4YplSAIA,5,Ernie H.,ernie,Male
63,0,-kVueEw_fyO1Q2Gkmj6Few,DSQj_X9t-4QaEVp_gNRqPw,5,Monte G.,monte,Male
64,1,-kVueEw_fyO1Q2Gkmj6Few,CSHckguOnBNBKMjWa8cUHQ,4,Jesse F.,jesse,Male
65,2,-kVueEw_fyO1Q2Gkmj6Few,0pspp_Atc6p9cjmsoMNrWw,4,Christos A.,christos,Male
66,0,-oEWVnwkd_UHiSHtmPoU3A,H7QEQPVfRrQwBcCQbmCFsA,5,Judy N.,judy,Female
67,1,-oEWVnwkd_UHiSHtmPoU3A,C9ooX_eKq5ewKjDS3sGUkw,4,Michael E.,michael,Male
68,2,-oEWVnwkd_UHiSHtmPoU3A,NjsXvq720_ltv73LGGeJWg,2,Janny S.,janny,Female
69,0,-reM_LQZYKH9APowvHhaxA,1uT0sRipfWn1gKM5A9JY-g,5,Ryan F.,ryan,Male
73,1,-sdMTRmgExufOk6STZFi9w,4i7LrVgQs3wNnw1wM2I-2Q,4,Thomas V.,thomas,Male
76,1,-v5HyepnYLCwhAsWmhFxDg,IhsJEiSVQRomgoTKx64xTg,5,Michele B.,michele,Female
77,2,-v5HyepnYLCwhAsWmhFxDg,WD3nE12OFmsHllCAPjsdBA,5,Ambar C.,ambar,Female
78,0,-wlmZ-b35UJ-GY-59NDxyw,2gKxS_ZqNmA0OOub1hmpJQ,4,Mike H.,mike,Male
79,1,-wlmZ-b35UJ-GY-59NDxyw,OnocEHasPBseFkNq4w56fQ,5,Kase M.,kase,Male
