,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender,name,rating,zip_code,review_count,price,price_num
0,0,--F3QN39ndTiL85W0-Dtxw,7uZ23Wcq9KF0ae5TB48eQg,5,Stephania Q.,stephania,Female,WC Harlan,4.5,21211,171,$$,2
1,1,--F3QN39ndTiL85W0-Dtxw,wpRdEleYM9pO3FwUIMo_Lg,4,Courtney C.,courtney,Male,WC Harlan,4.5,21211,171,$$,2
2,2,--F3QN39ndTiL85W0-Dtxw,S2J7xH6w7A8QGQpi5-cCXg,4,Christopher M.,christopher,Male,WC Harlan,4.5,21211,171,$$,2
3,1,-4wz0dOG3RdBNYE02l9KjA,lG1t7bJ5WDY5c5SCJVMJ3w,3,Audrey L.,audrey,Female,PPQ Dungeness Island,4.0,94121,3019,$$,2
4,2,-4wz0dOG3RdBNYE02l9KjA,DMW7XTE6LafH-G4yxjbyRQ,5,Richard C.,richard,Male,PPQ Dungeness Island,4.0,94121,3019,$$,2
5,0,-BhtkobiICQ-SaJZa7-7oA,nm3ZhHIdnxDGrSzMaO0zqA,5,Alfredo D.,alfredo,Male,Abracadabra,4.5,00912,175,$$,2
6,1,-BhtkobiICQ-SaJZa7-7oA,crj793Yz0ZEU9jHyAbVHkA,4,Nick C.,nick,Male,Abracadabra,4.5,00912,175,$$,2
7,0,-C2vxDphxWzYPLgNgdKJAQ,GnWxAhtQ5cL4fW7YTafYQQ,5,Natasha G.,natasha,Female,Cafe Vida - Culver City,4.0,90232,1304,$$,2
8,1,-C2vxDphxWzYPLgNgdKJAQ,Y7WkCly9SsuRwNPjY7loTQ,5,Crystal K.,crystal,Female,Cafe Vida - Culver City,4.0,90232,1304,$$,2
9,2,-C2vxDphxWzYPLgNgdKJAQ,rhC_iOu1ZGQWm7uB8_KJOw,2,Gina M.,gina,Female,Cafe Vida - Culver City,4.0,90232,1304,$$,2
10,0,-DfaqvIQAw8vD3ZFAxo_eQ,WSEK3hJZjs_cADN3psBKWg,5,Kristi M.,kristi,Female,The Melting Pot,4.0,94939,947,$$$,3
11,1,-DfaqvIQAw8vD3ZFAxo_eQ,C5ABePmDiQhUNSHz_WtMiQ,3,Madalyn B.,madalyn,Female,The Melting Pot,4.0,94939,947,$$$,3
12,0,-DrR38H1Abk0wCyu9XOLug,ZSXojEQF9VbhD_h3K-4bmg,5,Amber S.,amber,Female,Sweet Maple,4.0,94115,3588,$$,2
13,1,-DrR38H1Abk0wCyu9XOLug,6YtIAi2jrOWx3yvM9HcJEw,4,Tiffany N.,tiffany,Female,Sweet Maple,4.0,94115,3588,$$,2
14,2,-DrR38H1Abk0wCyu9XOLug,2j1t2s7Mu39N3d0c-SYSOA,4,Holly P.,holly,Female,Sweet Maple,4.0,94115,3588,$$,2
15,0,-FOAQv22SXtSBs7nptI3UA,s_NXa4ISlDWd_C0bALRbnQ,5,Valerie S.,valerie,Female,Serious Pie,4.0,98121,4083,$$,2
16,1,-FOAQv22SXtSBs7nptI3UA,kKQ5h0SUyhq0PMRXoql0tQ,5,Joanne C.,joanne,Female,Serious Pie,4.0,98121,4083,$$,2
17,2,-FOAQv22SXtSBs7nptI3UA,IthS8Rb-GYIZ9OhgWuJeWQ,3,Julian S.,julian,Male,Serious Pie,4.0,98121,4083,$$,2
18,0,-I4bxb04YkCSNCbFWto7Gw,_WUNYRI8Qq2H3TpfI7h7aQ,5,Melissa G.,melissa,Female,Dali Restaurant & Tapas Bar,4.0,02143,1047,$$,2
19,0,-M0aSSQqEEAkxsXLwXwIvQ,8J0PqHpc--mVdmE6nfIvwA,5,Monica H.,monica,Female,The Sun Vegan,5.0,92708,317,$,1
20,1,-M0aSSQqEEAkxsXLwXwIvQ,bMr5B8m9mCYXeSDXFkPJOQ,4,Andrew K.,andrew,Male,The Sun Vegan,5.0,92708,317,$,1
21,2,-M0aSSQqEEAkxsXLwXwIvQ,TZmKBagFUL_LXMNUlyPzrQ,5,Donna G.,donna,Female,The Sun Vegan,5.0,92708,317,$,1
