index,name,rating,review_count,price,zip_code,id
1,Broadway Oyster Bar,4.5,1740,$$,63102.0,iRIHK8-EwpeffwvoO4nzIA
2,Mango,4.0,903,$$,63101.0,Mr7Aov2n7wPCpwaUxk8lCw
3,Rooster,4.0,1759,$$,63101.0,2BMk_drsikKWslJCXmQtjQ
4,Sugarfire Smoke House,4.5,885,$$,63101.0,WCdSajl5Q0qywpv7K5jHdQ
5,Bogart's Smokehouse,4.5,1350,$$,63104.0,NHb6QTrJOnyIj-Zd0fYzFg
6,Bridge Tap House and Wine Bar,4.0,699,$$,63101.0,4r3Ck65DCG1T6gpWodPyrg
7,Sauce on the Side,4.5,387,$$,63101.0,P2XJbQZmf1zvWp9L_THdjQ
8,Baileys' Range,3.5,1451,$$,63101.0,M0r9lUn2gLFYgIwIfG8-bQ
9,Medina Mediterranean Grill,4.5,266,$,63103.0,QV7QOLww8ym3E2zBgdE2Ow
10,Pi Pizzeria,4.0,503,$$,63101.0,jRpK8oG_8QKaPGaaKiCyng
11,Blood & Sand,4.5,289,$$$,63103.0,A4-2jEraYJ2w2grn_uXlHw
13,360 St. Louis,4.0,620,$$,63102.0,GeLwhGlX8XsIsH-o3Wdc5w
14,Polite Society,4.5,521,$$,63104.0,aI3B47Y_AUYFP5K5JAYrlA
16,The Schlafly Tap Room,4.0,643,$$,63103.0,F4gvookXrKsBNCvK_xEt1g
18,Blues City Deli,5.0,874,$,63104.0,_aKr7POnacW_VizRKBpCiA
19,Park Avenue Coffee - Downtown,4.0,205,$,63101.0,AhptHEV4nFleCv4yOwp6fg
20,Caruso's Deli,4.5,158,$,63101.0,qq8tipfziNTaKXYDKnQ8og
21,Crown Candy Kitchen,4.5,514,$,63106.0,3XirYkP9PJvVXIEDPNNXLA
22,Eleven Eleven,4.0,504,$$$,63104.0,q2gRx1K1mbk6zHV4ZOCChQ
23,Charles P Stanley Cigar Bar,4.5,106,$$,63101.0,SzKOoeRCtoXvekt3K8B9Iw
24,Clementine's Naughty & Nice Creamery,4.5,503,$$,63104.0,fC03dk7N8XV-RzGh0UJgmA
25,Baileys' Chocolate Bar,4.0,545,$$,63104.0,u4WC_qHGn03jwNdVmW5vaQ
26,Tony's,4.0,184,$$$$,63102.0,v2Z_d9d2GWCVUTtPg5ucRw
27,Pickles Deli Downtown,4.5,145,$,63101.0,xhydqMrct3DSCIl7Yjx9Qg
28,Lombardo's Trattoria,4.5,291,$$,63103.0,kBCB53psaoKcHwv4kNByOg
29,Drunken Fish,4.0,379,$$,63102.0,m6Q6z3SAkXVdidNqiKmBrQ
30,Blondie's Coffee and Wine Bar,4.0,256,$$,63103.0,33JlrWf0kmHd2VzW58Wp0g
31,Square One Brewery & Distillery,4.0,589,$$,63104.0,GqyOrF5X21ciTjnuSCH5PQ
32,Tigin Irish Pub,4.0,266,$$,63102.0,Xk6GSFf8KGGZ3cyYijwRcw
33,"BLT's - Breakfast, Lunch and Tacos",4.0,140,$$,63101.0,1yrGx3Cwtj7I0zmhuVsu9Q
34,Egg,4.5,566,$$,63104.0,0MhxvTys2ADYa3sOO91ldQ
35,Sushi Ai,3.5,274,$$,63101.0,eclNqAZx6YHlkx_QDBF6AA
36,Kaldi's Coffee,4.5,104,$$,63101.0,0JnsAQFvOFxPltNU_smK3w
37,Snarf's,4.0,195,$,63101.0,4CfelC-az9l85o1CY7eQvg
38,4 Hands Brewing,4.0,291,$$,63104.0,wPViqOIThG5W_p4FKGqjrQ
39,Planter's House,4.0,246,$$,63104.0,90pJu2O7fIEm_N31Fyue7A
40,Pieces The St. Louis Board Game Bar & Cafe,4.5,174,$$,63104.0,r8DNf74pfvCdy29fGuwAoA
41,Washington Avenue Post,4.5,73,$,63103.0,LS0bgbX9fTTTOJe5wDZj-g
42,Rosalita's Cantina,3.5,482,$$,63103.0,d5G3dpdyO60CYHukoM-_FQ
43,Lucas Park Grille,3.5,236,$$,63103.0,7s5ImgKYDMrwYtFuNZuLjw
44,Carmine's Steakhouse,4.0,216,$$$,63102.0,1P_mGUY1PyPq7_ZabrzpBw
45,PW Pizza,4.0,275,$$,63103.0,6t0sNev22mcbvOB4gYVVOw
46,Mission Taco Joint,4.0,513,$$,63104.0,bqR_3sT_rNp0hZglPtX6rw
47,Pizzeoli Wood Fired Pizza,4.5,293,$$,63104.0,CBWmYHLgtFrOJs7SCcQn0g
48,The Over/Under Bar & Grill,3.5,235,$$,63101.0,iiBCWBFwb_bzlH9usC5XPQ
49,Park Avenue Coffee - Lafayette Square,4.0,242,$,63104.0,2IahpaBR4U2Kdy9HF28EQA
86,Cinder House,4.0,94,$$$,63102.0,ya4ky7GX7nTWPW40-YSAQQ
92,Trust,5.0,42,$$,63102.0,AmLmrWRTBmtlAZHwMFrWDw
93,Smoki O's Bar-B-Que,4.0,114,$$,63102.0,0bAzY4Rtvj3aCDJXh-KWJQ
96,Chili Mac's Diner,4.0,116,$,63101.0,d3OyW6UXr3_wgyTBZ6A0xQ
97,Kiin Essentially Thai,4.5,68,$$,63101.0,SkEr3iGr9x5aw7Dh5bOtxg
100,Pappy's Smokehouse,4.5,3717,$$,63103.0,I_3LMZ_1m2mzR0oLIOePIg
102,The Fountain On Locust,4.5,897,$$,63103.0,jQBPO3rYkNwIaOdQS5ktgQ
105,Southern,4.5,544,$$,63103.0,S07dMpp8f9x7etbGW1L0QA
119,Small Batch,4.0,311,$$,63103.0,a0sN6y6fDZ5HtBjUimKukA
122,Lona's Lil Eats,4.5,555,$$,63104.0,HCYs4zgL7kCLdEqKRqaPbg
123,The Shaved Duck,4.5,1641,$$,63118.0,cQIh4YJlVtZI9TLF5_smOg
126,Urban Chestnut Brewing Company,4.5,234,$$,63103.0,WNcGg9G-odTGz00DSMx7rg
133,Vin de Set,3.5,423,$$,63103.0,p_6THXiGLViyxYnOY8BzZQ
