index,name,rating,review_count,price,zip_code,id
1,Broadway Oyster Bar,4.5,1741,$$,63102,iRIHK8-EwpeffwvoO4nzIA
2,Mango,4.0,903,$$,63101,Mr7Aov2n7wPCpwaUxk8lCw
3,Rooster,4.0,1759,$$,63101,2BMk_drsikKWslJCXmQtjQ
4,Sugarfire Smoke House,4.5,885,$$,63101,WCdSajl5Q0qywpv7K5jHdQ
5,Bogart's Smokehouse,4.5,1350,$$,63104,NHb6QTrJOnyIj-Zd0fYzFg
6,Bridge Tap House and Wine Bar,4.0,699,$$,63101,4r3Ck65DCG1T6gpWodPyrg
7,Sauce on the Side,4.5,387,$$,63101,P2XJbQZmf1zvWp9L_THdjQ
8,Baileys' Range,3.5,1451,$$,63101,M0r9lUn2gLFYgIwIfG8-bQ
9,Medina Mediterranean Grill,4.5,266,$,63103,QV7QOLww8ym3E2zBgdE2Ow
10,Pi Pizzeria,4.0,503,$$,63101,jRpK8oG_8QKaPGaaKiCyng
11,Blood & Sand,4.5,289,$$$,63103,A4-2jEraYJ2w2grn_uXlHw
13,360 St. Louis,4.0,620,$$,63102,GeLwhGlX8XsIsH-o3Wdc5w
14,Polite Society,4.5,521,$$,63104,aI3B47Y_AUYFP5K5JAYrlA
16,The Schlafly Tap Room,4.0,643,$$,63103,F4gvookXrKsBNCvK_xEt1g
18,Blues City Deli,5.0,874,$,63104,_aKr7POnacW_VizRKBpCiA
19,Park Avenue Coffee - Downtown,4.0,205,$,63101,AhptHEV4nFleCv4yOwp6fg
20,Caruso's Deli,4.5,158,$,63101,qq8tipfziNTaKXYDKnQ8og
21,Crown Candy Kitchen,4.5,514,$,63106,3XirYkP9PJvVXIEDPNNXLA
22,Eleven Eleven,4.0,504,$$$,63104,q2gRx1K1mbk6zHV4ZOCChQ
23,Charles P Stanley Cigar Bar,4.5,107,$$,63101,SzKOoeRCtoXvekt3K8B9Iw
24,Clementine's Naughty & Nice Creamery,4.5,503,$$,63104,fC03dk7N8XV-RzGh0UJgmA
25,Baileys' Chocolate Bar,4.0,544,$$,63104,u4WC_qHGn03jwNdVmW5vaQ
26,Tony's,4.0,185,$$$$,63102,v2Z_d9d2GWCVUTtPg5ucRw
