ZIP Code,County,Latitude,Longitude,Population,ZIP Household Income,ZIP Income Per Capita,Poverty,Unemployment,review_count
63101,Saint Louis City,38.631551,-90.193,3303,54442,44409,781,173,7071
63102,Saint Louis City,38.6352,-90.18701999999999,2314,44089,26807,116,62,3098
63103,Saint Louis City,38.631451,-90.21415,7265,35968,36833,1457,260,8415
63104,Saint Louis City,38.610701,-90.21361999999999,20320,47816,32508,5150,896,8204
63105,Saint Louis,38.645484,-90.32888,17599,89750,58068,1285,389,4584
63106,Saint Louis City,38.644451000000004,-90.20636,11989,14087,10183,6577,960,513
63107,Saint Louis City,38.6628,-90.20949,10437,19685,12597,4557,874,128
63108,Saint Louis City,38.646201,-90.25435,21345,39162,37387,5799,1052,9181
63109,Saint Louis City,38.586052,-90.2941,27072,54475,37509,1975,629,4591
63110,Saint Louis City,38.622601,-90.26182,17423,45363,30782,3145,701,7068
63111,Saint Louis City,38.559302,-90.25174,21380,26435,16682,7304,1089,864
63112,Saint Louis City,38.661351,-90.28434,19982,34251,25122,5464,1449,1963
63113,Saint Louis City,38.656701,-90.24396999999999,11270,24283,16087,4156,1152,76
63114,Saint Louis,38.702651,-90.36109,35530,42744,21498,6503,1279,675
63115,Saint Louis City,38.676851,-90.24009000000001,18446,23789,14898,6045,1893,88
63116,Saint Louis City,38.580552000000004,-90.26307,44175,41273,24673,9304,2002,909
63117,Saint Louis,38.628402,-90.32636,9097,70680,51963,666,253,1658
63118,Saint Louis City,38.594901,-90.2278,28810,29880,19201,9996,1909,6815
63119,Saint Louis,38.590652,-90.35168,33894,72214,40836,1869,681,4657
63120,Saint Louis City,38.691901,-90.25992,9158,23117,13014,3145,1116,15
63121,Saint Louis,38.706301,-90.29609,25276,36366,20434,5630,1673,105
63122,Saint Louis,38.582702000000005,-90.40966,38857,87983,49918,1431,549,3226
63123,Saint Louis,38.549452,-90.32525,50739,54212,29782,4315,1781,1677
63124,Saint Louis,38.645802,-90.37687,10720,121500,94877,450,205,1568
63125,Saint Louis,38.524066,-90.2895,33089,47520,24556,3770,1058,767
63126,Saint Louis,38.552303,-90.37921,14959,69024,35590,703,372,1039
63127,Saint Louis,38.53987,-90.40024,4852,95125,55815,404,62,1104
63128,Saint Louis,38.500734,-90.37113000000001,29784,70896,39041,1214,600,906
63129,Saint Louis,38.469953000000004,-90.32160999999999,54634,69409,35730,2877,875,1060
63130,Saint Louis,38.663951000000004,-90.32348,29488,63382,42794,4433,1205,8205
63131,Saint Louis,38.618582,-90.43643,17631,132827,76494,510,242,1934
63132,Saint Louis,38.675784,-90.37463000000001,13861,52654,35401,1832,413,3417
63133,Saint Louis,38.679684,-90.30185999999999,7507,22632,12815,2900,659,77
63134,Saint Louis,38.738217,-90.33904,13801,37414,18630,3099,1006,472
63135,Saint Louis,38.74785,-90.30258,21512,42773,21542,4057,1171,467
63136,Saint Louis,38.73835,-90.26154,44982,31118,16264,11712,3763,343
63137,Saint Louis,38.748183000000004,-90.21864000000001,20460,35857,17405,5324,1625,35
63138,Saint Louis,38.787849,-90.21041,19944,37066,19934,4044,1767,60
63139,Saint Louis City,38.610901,-90.29174,22072,49887,34433,2744,514,1654
63141,Saint Louis,38.662302000000004,-90.45363,19920,104539,67644,722,290,3971
63143,Saint Louis,38.612452000000005,-90.31822,9399,42153,29994,1229,356,3381
63144,Saint Louis,38.619152,-90.34964000000001,8796,72238,48569,473,117,2055
63146,Saint Louis,38.688584999999996,-90.44689,29770,65052,39942,2178,796,1291
63147,Saint Louis City,38.692861,-90.21905,10164,29060,16162,2744,740,46
