,business_id,name,rating,zip_code,review_count,price
0,8YDJraW_cg5IPTPisPfB-A,City Museum,4.5,63103,1244,*
1,iRIHK8-EwpeffwvoO4nzIA,Broadway Oyster Bar,4.5,63102,1737,$$
2,Mr7Aov2n7wPCpwaUxk8lCw,Mango,4.0,63101,901,$$
3,2BMk_drsikKWslJCXmQtjQ,Rooster,4.0,63101,1754,$$
4,WCdSajl5Q0qywpv7K5jHdQ,Sugarfire Smoke House,4.5,63101,882,$$
5,NHb6QTrJOnyIj-Zd0fYzFg,Bogart's Smokehouse,4.5,63104,1348,$$
6,4r3Ck65DCG1T6gpWodPyrg,Bridge Tap House and Wine Bar,4.0,63101,697,$$
7,P2XJbQZmf1zvWp9L_THdjQ,Sauce on the Side,4.5,63101,387,$$
8,M0r9lUn2gLFYgIwIfG8-bQ,Baileys' Range,3.5,63101,1443,$$
9,QV7QOLww8ym3E2zBgdE2Ow,Medina Mediterranean Grill,4.5,63103,266,$
10,jRpK8oG_8QKaPGaaKiCyng,Pi Pizzeria,4.0,63101,503,$$
11,A4-2jEraYJ2w2grn_uXlHw,Blood & Sand,4.5,63103,289,$$$
12,gQYUyfiX0q0uTnueAyeqLA,The Gateway Arch,4.0,63102,492,*
13,1Mc_Reqnxhs0eHQFAhXVUQ,Citygarden,4.5,63101,137,*
14,GeLwhGlX8XsIsH-o3Wdc5w,360 St. Louis,4.0,63102,615,$$
15,aI3B47Y_AUYFP5K5JAYrlA,Polite Society,4.5,63104,514,$$
16,F4gvookXrKsBNCvK_xEt1g,The Schlafly Tap Room,4.0,63103,641,$$
17,l8gsO8mMoVF7vqTDUNGeZw,Gateway Arch National Park,4.5,63102,254,*
18,_aKr7POnacW_VizRKBpCiA,Blues City Deli,5.0,63104,875,$
19,AhptHEV4nFleCv4yOwp6fg,Park Avenue Coffee - Downtown,4.0,63101,205,$
0,8YDJraW_cg5IPTPisPfB-A,City Museum,4.5,63103,1244,*
1,iRIHK8-EwpeffwvoO4nzIA,Broadway Oyster Bar,4.5,63102,1737,$$
2,WCdSajl5Q0qywpv7K5jHdQ,Sugarfire Smoke House,4.5,63101,882,$$
3,Mr7Aov2n7wPCpwaUxk8lCw,Mango,4.0,63101,901,$$
4,2BMk_drsikKWslJCXmQtjQ,Rooster,4.0,63101,1754,$$
5,4r3Ck65DCG1T6gpWodPyrg,Bridge Tap House and Wine Bar,4.0,63101,697,$$
6,P2XJbQZmf1zvWp9L_THdjQ,Sauce on the Side,4.5,63101,387,$$
7,M0r9lUn2gLFYgIwIfG8-bQ,Baileys' Range,3.5,63101,1443,$$
8,QV7QOLww8ym3E2zBgdE2Ow,Medina Mediterranean Grill,4.5,63103,266,$
9,NHb6QTrJOnyIj-Zd0fYzFg,Bogart's Smokehouse,4.5,63104,1348,$$
10,jRpK8oG_8QKaPGaaKiCyng,Pi Pizzeria,4.0,63101,503,$$
11,gQYUyfiX0q0uTnueAyeqLA,The Gateway Arch,4.0,63102,492,*
12,A4-2jEraYJ2w2grn_uXlHw,Blood & Sand,4.5,63103,289,$$$
13,GeLwhGlX8XsIsH-o3Wdc5w,360 St. Louis,4.0,63102,615,$$
14,3XirYkP9PJvVXIEDPNNXLA,Crown Candy Kitchen,4.5,63106,513,$
15,1Mc_Reqnxhs0eHQFAhXVUQ,Citygarden,4.5,63101,137,*
16,l8gsO8mMoVF7vqTDUNGeZw,Gateway Arch National Park,4.5,63102,254,*
17,F4gvookXrKsBNCvK_xEt1g,The Schlafly Tap Room,4.0,63103,641,$$
18,AhptHEV4nFleCv4yOwp6fg,Park Avenue Coffee - Downtown,4.0,63101,205,$
19,qq8tipfziNTaKXYDKnQ8og,Caruso's Deli,4.5,63101,158,$
0,I_3LMZ_1m2mzR0oLIOePIg,Pappy's Smokehouse,4.5,63103,3708,$$
1,8YDJraW_cg5IPTPisPfB-A,City Museum,4.5,63103,1244,*
2,jQBPO3rYkNwIaOdQS5ktgQ,The Fountain On Locust,4.5,63103,895,$$
3,iRIHK8-EwpeffwvoO4nzIA,Broadway Oyster Bar,4.5,63102,1737,$$
4,F4gvookXrKsBNCvK_xEt1g,The Schlafly Tap Room,4.0,63103,641,$$
5,S07dMpp8f9x7etbGW1L0QA,Southern,4.5,63103,542,$$
6,aI3B47Y_AUYFP5K5JAYrlA,Polite Society,4.5,63104,514,$$
7,NHb6QTrJOnyIj-Zd0fYzFg,Bogart's Smokehouse,4.5,63104,1348,$$
8,2BMk_drsikKWslJCXmQtjQ,Rooster,4.0,63101,1754,$$
9,Mr7Aov2n7wPCpwaUxk8lCw,Mango,4.0,63101,901,$$
10,fC03dk7N8XV-RzGh0UJgmA,Clementine's Naughty & Nice Creamery,4.5,63104,503,$$
11,QV7QOLww8ym3E2zBgdE2Ow,Medina Mediterranean Grill,4.5,63103,266,$
12,_aKr7POnacW_VizRKBpCiA,Blues City Deli,5.0,63104,875,$
13,WCdSajl5Q0qywpv7K5jHdQ,Sugarfire Smoke House,4.5,63101,882,$$
14,4r3Ck65DCG1T6gpWodPyrg,Bridge Tap House and Wine Bar,4.0,63101,697,$$
15,q2gRx1K1mbk6zHV4ZOCChQ,Eleven Eleven,4.0,63104,503,$$$
16,A4-2jEraYJ2w2grn_uXlHw,Blood & Sand,4.5,63103,289,$$$
17,kBCB53psaoKcHwv4kNByOg,Lombardo's Trattoria,4.5,63103,287,$$
18,M0r9lUn2gLFYgIwIfG8-bQ,Baileys' Range,3.5,63101,1443,$$
19,a0sN6y6fDZ5HtBjUimKukA,Small Batch,4.0,63103,309,$$
0,_aKr7POnacW_VizRKBpCiA,Blues City Deli,5.0,63104,875,$
1,NHb6QTrJOnyIj-Zd0fYzFg,Bogart's Smokehouse,4.5,63104,1348,$$
2,0MhxvTys2ADYa3sOO91ldQ,Egg,4.5,63104,563,$$
3,fC03dk7N8XV-RzGh0UJgmA,Clementine's Naughty & Nice Creamery,4.5,63104,503,$$
4,iRIHK8-EwpeffwvoO4nzIA,Broadway Oyster Bar,4.5,63102,1737,$$
5,HCYs4zgL7kCLdEqKRqaPbg,Lona's Lil Eats,4.5,63104,553,$$
6,aI3B47Y_AUYFP5K5JAYrlA,Polite Society,4.5,63104,514,$$
7,I_3LMZ_1m2mzR0oLIOePIg,Pappy's Smokehouse,4.5,63103,3708,$$
8,cQIh4YJlVtZI9TLF5_smOg,The Shaved Duck,4.5,63118,1638,$$
9,CBWmYHLgtFrOJs7SCcQn0g,Pizzeoli Wood Fired Pizza,4.5,63104,291,$$
10,FryXEasH74MQDnj5Bvz3QA,The Mud House,4.5,63118,921,$$
11,L-VNs3YquPGKVsXl2Ze-Yg,Peacemaker Lobster and Crab,4.0,63104,670,$$
12,u4WC_qHGn03jwNdVmW5vaQ,Baileys' Chocolate Bar,4.0,63104,543,$$
13,8YDJraW_cg5IPTPisPfB-A,City Museum,4.5,63103,1244,*
14,q2gRx1K1mbk6zHV4ZOCChQ,Eleven Eleven,4.0,63104,503,$$$
15,bqR_3sT_rNp0hZglPtX6rw,Mission Taco Joint,4.0,63104,511,$$
16,AjxjKRNin477A7nKAZciGg,John D. McGurk's Irish Pub,4.0,63104,380,$$
17,cFk2SMsJ-2cmXKLFFkP9JA,Fritanga,4.5,63104,259,$$
18,GqyOrF5X21ciTjnuSCH5PQ,Square One Brewery & Distillery,4.0,63104,588,$$
19,37dCsVwCe8yWPkW7TXCLCA,Melo's Pizzeria,5.0,63104,103,$$
0,YSgcojsb2kWHXNLWaGCuBA,Pastaria,4.0,63105,847,$$
1,R8t9g5nvi7VFyS8zsgmj8Q,Salt + Smoke,4.5,63130,1432,$$
2,TXg82zeFo2MpX5BzZXpJUg,I Fratellini,4.5,63105,208,$$$
3,Fok0BLJP0OMxbbl3l6QmZA,Sauce on the Side,4.5,63105,302,$$
4,b4YPBSnqU5_L6TUz147Dow,City Coffeehouse & Crêperie,4.0,63105,415,$$
5,YPTYOQO8Lg9BtHsRwYBY7g,Mai Lee,4.0,63144,840,$$
6,OZcl2HOUXAHuICrh5d2WjQ,Half & Half,4.0,63105,726,$$
7,4mGnHfvwjE6P-vuKowHzCQ,Taco Buddha,4.5,63130,188,$$
8,OXDo1mHlp2Io3CM6a1aB1w,Seoul Taco,4.0,63130,635,$
9,XvjJflV_0I1CS0_dckuV-A,801 Chophouse - St Louis,4.0,63105,256,$$$$
10,HKS-63JzfR0DMNVLBuokYw,Mission Taco Joint,4.0,63130,948,$$
11,aHHK_n_wGElui6oDmRCL4A,Protzel's Delicatessen,4.5,63105,151,$
12,Pc3urwUFlzLyDP1qvsHQuA,Bar Les Freres,4.5,63105,169,$$$
13,-mDAFyX5kZHXhxjELeMhiQ,Winslow's Home,4.0,63130,534,$$
14,v4S374WpOOhojqpto-AaAA,Sardella,4.0,63105,196,$$$
15,KdAWjL9MKjpJzEeI902qBA,Corner 17,4.0,63112,496,$$
16,73ZXjIfdHJs59XOzKHQ45g,The Crossing,4.5,63105,183,$$$
17,oC91lprbbfzw7DOYiYln7Q,5 Star Burgers,4.0,63105,374,$$
18,I8cL6l-Yu3CyHPXlFmOhtQ,Louie's Wine Dive & Clayton Kitchen,4.0,63105,219,$$
