,business_id,name,rating,zip_code,review_count,price
0,JlFbaMbMzsu7FA307mUIqg,JoJu,4.5,11373,1594,$
1,fRO4Fwe5uRAajMcTwLbVkA,Ayada Thai,4.0,11373,1131,$$
2,22CRLIEfJWIO-8RjEiecAg,Akino,4.5,11373,573,$$
3,zekbMn7KWtzxTFLtfEqb1w,Rincon Criollo,4.5,11368,777,$$
4,0L03onqNwxWLrbb_FCK79A,SriPraPhai Thai Restaurant,4.0,11377,2298,$$
5,Zx44jCgDv1TwKMGzcXajIQ,Taste Good Malaysian Cuisine,4.0,11373,676,$$
6,ejuFKvSfGl0JMZO9yzSXNw,Louie's Pizza,4.5,11373,404,$
7,m2_ZNFos5ugAwe8ft8eaEw,Eim Khao Mun Kai Elmhurst,4.5,11373,393,$
8,3GMHPnrkFAcqffw3T7JSdQ,Kitchen 79,4.5,11372,593,$$
9,tQcAwscj_LJ1hPtoJ_U_MA,Arepa Lady,4.5,11372,450,$
10,20LSOx_4K2wghTsUx4gSsg,Oceanic Boil,4.5,11372,514,$$
11,x7Y30Y_LUMuDRBejmNRrCQ,Patacon Pisao,4.0,11373,390,$
12,3K7Kc82bhU6-qjAjsBs3Fw,Lao Bei Fang Dumpling House,4.0,11373,562,$
13,PPQSf_1JWkbjFHi1S0nSNA,Lamoon,4.5,11373,240,$$
14,0SakkRuHhECsDsZ8mRkisQ,IL Triangolo,4.5,11368,445,$$
15,4jtWfrGODTtbg5sar4cjPA,Cannelle Patisserie,4.5,11370,741,$$
16,cLxp5gIPWIhmvpmdPo7BsA,969 NYC Coffee,4.5,11372,245,$
17,GjzjfMaUJONRyJjNxCd54Q,The Lemon Ice King of Corona,4.5,11368,470,$
18,inftQdKaEEiqQ323AlomXg,Dek Sen,4.0,11373,247,$$
19,XUataECnaOfdo4a87NqEFg,Samudra Vegetarian Restaurant & Chaat House,4.0,11372,520,$$
0,Qw7tz-UkPrpXaVidWuab4Q,Philadelphia Museum of Art,4.5,19130,719,$
1,8pqdJjefYq-a9IBSJJmKwA,The Dandelion,4.0,19103,2267,$$
2,ZF0tt7hn6WK3-aNWgtLcFA,Eastern State Penitentiary Historic Site,4.5,19130,751,$$
3,mtvT7uRey3F395STFRM1Tg,Vernick Food & Drink,4.5,19103,925,$$
4,j-qtdD55OLfSqfsWuQTDJg,Parc,4.0,19103,2385,$$
5,6ewV-e7-39oqYUq3yZuIyw,Sabrina's Café,4.0,19104,736,$$
6,6_LnAQQ0-mml8YgpfRjGuA,Saad's Halal Restaurant,4.5,19139,596,$
7,MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,4.0,19104,712,$
8,ZKPrXH_GNW_AtZ31tP3NmA,White Dog Cafe,4.0,19104,1166,$$
9,kVTHnhgYUw-Pmr7wgDB4_g,Distrito,3.5,19104,1045,$
10,U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,4.5,19143,438,$$
11,E_h2yNoagLK-3ODYwMPErw,V Street,4.5,19103,732,$
12,eJaeTZlIdM3HWCq__Ve4Wg,Tria Cafe Rittenhouse,4.5,19103,847,$
13,30cpm1uq6xcQCmN6JTrB8w,Luke's Lobster Rittenhouse,4.5,19103,1058,$$
14,jxEMFqwDJXjCxmcm5t5jVQ,Cleavers,4.0,19103,1048,$$
15,EtKSTHV5Qx_Q7Aur9o4kQQ,Village Whiskey,4.0,19103,1502,$$
16,-cEFKAznWmI0cledNOIQ7w,Gran Caffe L'Aquila,4.5,19103,910,$
17,B-DiQpcSTJ7oMMnwzbAGTQ,Cucina Zapata,4.5,19104,249,$
18,hkirr3WzSTx2d9cdP_NKSQ,Mama's Vegetarian,4.5,19103,595,$$
19,Dv6RfXLYe1atjgz3Xf4GGw,HipCityVeg,4.0,19103,1034,$$
0,qBJE8meRrFsOGpykZ49Y1A,Radford Coffee Company,5.0,24141,56,$
1,IGkMeYns7VLgqihB54K2qw,Sharkey's Wing & Rib Joint,4.0,24141,81,$$
