,business_id,name,rating,zip_code,review_count,price
0,6I28wDuMBR5WLMqfKxaoeg,Pike Place Chowder,4.5,98101,7142,$$
1,NxwrJPJLzTs0k0DQ-QCo1A,Piroshky Piroshky,4.5,98101,6014,$
2,CKxp6p22ipCo94iLieXzbQ,Ellenos Real Greek Yogurt,5.0,98101,1769,$
3,VOPdG8llLPaga9iJxXcMuQ,The Pink Door,4.5,98101,4946,$$
4,L8RRAd-JZ0Bd4MER0yyX-g,Japonessa Sushi Cocina,4.0,98101,4545,$$
5,aX2ctpgS9uvFDfdzCXjecA,The Crumpet Shop,4.5,98101,2265,$
6,6ZKNFPLWRIVWshUkMNlgng,Starbucks Reserve Roastery Seattle,4.5,98101,2805,$$
7,FVzl8rDPiTWEtrNEuCu-Xg,Storyville Coffee Company,4.5,98101,1599,$$
8,mNdz7zdezTkiuk8S-cIKxg,Beecher's Handmade Cheese,4.5,98101,2771,$
9,09FLRYnePKcUwGDDPIOAkg,Biscuit Bitch,4.0,98101,3665,$
10,Eh-7d5coQltQfQWAtWnPyg,Le Panier French Bakery,4.5,98101,2291,$
11,oq5KCmPFKV28BnB4hjpo_g,Lola,4.0,98121,3871,$$
12,67QmiVYdCbG4PRmF61A5bw,Il Corvo Pasta,4.5,98104,1243,$$
13,-FOAQv22SXtSBs7nptI3UA,Serious Pie,4.0,98121,4081,$$
14,xqH038QcquJEMm5LIZHd5w,Elliott's Oyster House,4.0,98101,3395,$$$
15,Mh5o8RtQNNUxhoJe6BxVkg,Purple Café and Wine Bar,4.0,98101,2391,$$$
16,lxvncNXJKThTmLmARv72pA,Metropolitan Grill,4.0,98104,1696,$$$$
17,T7XmistL2pQrW3hY3oTpng,Salumi Artisan Cured Meats,4.5,98104,1351,$$
18,EWrDx-M8HJpR0wVJHrflNg,Umi Sake House,4.0,98121,3392,$$
19,Lw7NmZ3j-WEye97ywEmkXQ,Von's 1000 Spirits,4.5,98101,1478,$$
0,6I28wDuMBR5WLMqfKxaoeg,Pike Place Chowder,4.5,98101,7142,$$
1,NxwrJPJLzTs0k0DQ-QCo1A,Piroshky Piroshky,4.5,98101,6014,$
2,CKxp6p22ipCo94iLieXzbQ,Ellenos Real Greek Yogurt,5.0,98101,1769,$
3,VOPdG8llLPaga9iJxXcMuQ,The Pink Door,4.5,98101,4946,$$
4,T7XmistL2pQrW3hY3oTpng,Salumi Artisan Cured Meats,4.5,98104,1351,$$
5,L8RRAd-JZ0Bd4MER0yyX-g,Japonessa Sushi Cocina,4.0,98101,4545,$$
6,aX2ctpgS9uvFDfdzCXjecA,The Crumpet Shop,4.5,98101,2265,$
7,FVzl8rDPiTWEtrNEuCu-Xg,Storyville Coffee Company,4.5,98101,1599,$$
8,67QmiVYdCbG4PRmF61A5bw,Il Corvo Pasta,4.5,98104,1243,$$
9,mNdz7zdezTkiuk8S-cIKxg,Beecher's Handmade Cheese,4.5,98101,2771,$
10,Eh-7d5coQltQfQWAtWnPyg,Le Panier French Bakery,4.5,98101,2291,$
11,09FLRYnePKcUwGDDPIOAkg,Biscuit Bitch,4.0,98101,3665,$
12,xqH038QcquJEMm5LIZHd5w,Elliott's Oyster House,4.0,98101,3395,$$$
13,HxZlj0Jl1H0aPZGSjjLQPQ,goPoké,4.5,98104,685,$$
14,-FOAQv22SXtSBs7nptI3UA,Serious Pie,4.0,98121,4081,$$
15,lqxaHsByP4IDsWlrqXhCDQ,Tat's Delicatessen,4.5,98104,1126,$$
16,lxvncNXJKThTmLmARv72pA,Metropolitan Grill,4.0,98104,1696,$$$$
17,M5gjalaqrlkVm55RHqiaaA,Maneki,4.0,98104,1150,$$
18,UzeuW2PwabdLQjrS4E6_kg,Biscuit Bitch,4.5,98104,1079,$
19,Mh5o8RtQNNUxhoJe6BxVkg,Purple Café and Wine Bar,4.0,98101,2391,$$$
0,mKjnqu1lyuIyJQsvUH4Oyg,Rose Pho,4.5,98198,626,$$
1,kXq8fJVO94ApKakK-GlrJw,The Greek House,4.5,98166,467,$$
2,Sh1j_u__V53IhYSeau-kGA,Burien Fish House,4.5,98166,448,$$
3,5LK_kB_j2CrXDCsvXXgGzA,Shelly's Breakfast Lunch Dinner & Lounge,4.0,98148,282,$$
4,SBpuB2b5yWKtgR-IVLWKLA,Ohana Kitchen,4.5,98166,294,$$
5,XtFzdomVxMUL5Ae39i3DDA,Beecher's Handmade Cheese,4.0,98158,531,$$
6,rl43r90cPQJ6qCo-eEsXpA,Burien Press,4.5,98166,288,$
7,lG0faCA_37DXlmEwydb_bw,Countryside Cafe,4.0,98166,595,$$
8,5yE_49qRxO9DBrZDSG058Q,Australian Pie Company,4.5,98166,318,$
9,xdK8ke23vOjlgWHO8Hnj9w,Sushi Maki,4.0,98148,294,$$
10,ehuoDCQfVgKUafxwyjk9WQ,Delta Sky Club,4.5,98158,181,$$
11,s8w2JADpUXEzRYkmRLlkJw,Medzo Gelato Bar & Travel Cafe,5.0,98166,99,$
12,BTCBt7LyViMH5i4g0hrEAA,Bakery Nouveau,4.5,98166,224,$$
13,_0SRlFgs3vQnONE9SedaPw,Floret,4.0,98158,270,$$
14,CQTpGFDDc7_0eNlSN9uf3w,909 Coffee & Wine,4.5,98166,258,$$
15,0TePv4HKkxVirMSJffBpVw,Eat Time,4.5,98166,191,$$
16,4LGO2f_6VQ4c7Xt22hDzXA,Elliott Bay Brewhouse & Pub,4.0,98166,420,$$
17,wN_TSpQamnYXs7xEXJn4eQ,Snack Gyro,4.5,98166,144,$
18,pGv8-G_5AuUTDCDG5zC4zA,Marlaina's Mediterranean Kitchen,4.5,98166,175,$$
19,gUr0uRA98qQ5ARo4XAEtAg,The Bite Sandwich Company,4.5,98166,145,$
0,6I28wDuMBR5WLMqfKxaoeg,Pike Place Chowder,4.5,98101,7142,$$
1,NxwrJPJLzTs0k0DQ-QCo1A,Piroshky Piroshky,4.5,98101,6014,$
2,VOPdG8llLPaga9iJxXcMuQ,The Pink Door,4.5,98101,4946,$$
3,CKxp6p22ipCo94iLieXzbQ,Ellenos Real Greek Yogurt,5.0,98101,1769,$
4,6ZKNFPLWRIVWshUkMNlgng,Starbucks Reserve Roastery Seattle,4.5,98101,2805,$$
5,aX2ctpgS9uvFDfdzCXjecA,The Crumpet Shop,4.5,98101,2265,$
6,L8RRAd-JZ0Bd4MER0yyX-g,Japonessa Sushi Cocina,4.0,98101,4545,$$
7,FVzl8rDPiTWEtrNEuCu-Xg,Storyville Coffee Company,4.5,98101,1599,$$
8,oq5KCmPFKV28BnB4hjpo_g,Lola,4.0,98121,3871,$$
9,mNdz7zdezTkiuk8S-cIKxg,Beecher's Handmade Cheese,4.5,98101,2771,$
10,09FLRYnePKcUwGDDPIOAkg,Biscuit Bitch,4.0,98101,3665,$
11,-FOAQv22SXtSBs7nptI3UA,Serious Pie,4.0,98121,4081,$$
12,Eh-7d5coQltQfQWAtWnPyg,Le Panier French Bakery,4.5,98101,2291,$
13,EWrDx-M8HJpR0wVJHrflNg,Umi Sake House,4.0,98121,3392,$$
14,xqH038QcquJEMm5LIZHd5w,Elliott's Oyster House,4.0,98101,3395,$$$
15,Mh5o8RtQNNUxhoJe6BxVkg,Purple Café and Wine Bar,4.0,98101,2391,$$$
16,YSQiqH7RIWORk_Qp-A4SOg,Shiro's,4.5,98121,2104,$$$
17,67QmiVYdCbG4PRmF61A5bw,Il Corvo Pasta,4.5,98104,1243,$$
18,ps9ZlLoLYTfK87IjW9REfg,Radiator Whiskey,4.5,98101,1210,$$
19,GrFxdNfPvdlVrueRY7XERg,List,4.5,98121,1823,$$
0,6I28wDuMBR5WLMqfKxaoeg,Pike Place Chowder,4.5,98101,7142,$$
1,NxwrJPJLzTs0k0DQ-QCo1A,Piroshky Piroshky,4.5,98101,6014,$
2,VOPdG8llLPaga9iJxXcMuQ,The Pink Door,4.5,98101,4946,$$
3,CKxp6p22ipCo94iLieXzbQ,Ellenos Real Greek Yogurt,5.0,98101,1769,$
5,oq5KCmPFKV28BnB4hjpo_g,Lola,4.0,98121,3871,$$
