,business_id,name,rating,zip_code,review_count,price
0,-6jVwUuXC1-dyr2YRCEU6Q,Anis Hyderabad Restaurant,4.0,63141,197,$$
2,-W0tnXYJ4WuxLjzmbwlVAQ,Tavolo V,4.0,63112,204,$$
3,-bGw8ARHQucKWEHEkxpGFw,The Daily Bread Bakery & Cafe,4.0,63131,97,$
4,-hto0uJjh8KFQZGc9ZAcuQ,U-City Grill,4.0,63130,181,$
5,-kHHi8y4kaTI6WUVdJSdvQ,Fitz's,3.5,63130,619,$$
8,-mDAFyX5kZHXhxjELeMhiQ,Winslow's Home,4.0,63130,534,$$
11,-q4YqKsWJY6NtkQdnNeL1Q,The Barn,4.0,63126,276,$$
14,-yu4koRugjxrnsey25oIuw,OL' Henry Restaurant,4.0,63134,41,$$
16,07tT34LEBj1xVgLRk4L8qw,The Pasta House,3.5,63033,17,$$
17,08kBMcufQMg-Dc9IouWIYQ,Liu Shun Wok,4.5,63128,27,$
18,0AfjyySl4Rivh-QhWfrClA,58hundred,4.5,63139,116,$$
19,0KwD4kiiIPoTOrHXVxwTyA,Country Girl's Pie Shop,4.0,63115,19,$
20,0MhxvTys2ADYa3sOO91ldQ,Egg,4.5,63104,563,$$
22,0QYWhij_YZ7Lyk9F6213Sg,Pho Grand Restaurant,4.0,63118,607,$
24,0cddB9WRKcQhzAEXEav81w,Pint Size Bakery & Coffee,4.5,63139,211,$
27,0upS_zVQ48_9WuTjxmwRqQ,Big L Chop Suey,4.0,63121,15,$
28,107-8aCUGPEj9ckDKEkPKQ,Spanish Lake Park,4.0,63138,1,*
29,1EdfURQCj75UbcLPh9rdSw,Garvey's Grill,3.5,63129,57,$$
30,1HRAmY7rTMKaY9-rNrppzg,One 19 North Tapas and Wine Bar,4.0,63122,158,$$
31,1KhNDQSdDqzPQaZk8PIdGg,West End Grill & Pub,4.0,63108,181,$$
32,1Mc_Reqnxhs0eHQFAhXVUQ,Citygarden,4.5,63101,137,*
35,1XsoLhxLB7-iyxaLpoEmUg,Jefferson Barracks Park,4.5,63125,17,$
36,1YflE3DkiCZGgLnf3paLnA,Forest Park,5.0,63112,261,*
39,1dF6hKCLrdEPDOWcwrXgOA,T Js Pizza,2.5,63137,3,$
40,1elddy31XiqFPVrvvd9QiQ,Which Wich,4.0,63131,44,$
41,1lWASQ_QiT_RFPEeSvyF5w,McDonald's,2.0,63033,11,$
42,1o9IdLrFGMS2o5Y8uXKC0Q,Adam's Smokehouse,4.5,63139,314,$$
45,1ulD4HL2G8qbpEuuWFDSqQ,Himalayan Yeti,4.5,63139,214,$$
47,24_GowpZ79St53rpxsKqsQ,P'sghetti's Pasta & Sandwiches,4.0,63123,80,$
48,2BMk_drsikKWslJCXmQtjQ,Rooster,4.0,63101,1754,$$
53,2DWqlmcMV9CxzUDYhzY04Q,Drake's Place,4.5,63135,77,$$
56,2P-pvj_jo0SxNe6jih6sOA,J's Pitaria,5.0,63116,61,$
58,2aZNVfzU-3672SjRHnPoOA,Clementine's Naughty & Nice Creamery,4.5,63105,174,$$
59,2zscMai3s2qePfovwetPcg,MOD Pizza,4.5,63122,60,$$
60,31_JqV2ZinZ7Uo4DKiKFEQ,Northland Chop Suey Chinese Restaurant,5.0,63136,8,$
63,33l2XVp01d8kltTs_UMJ8A,Truffles,4.5,63124,130,$$$
64,37dCsVwCe8yWPkW7TXCLCA,Melo's Pizzeria,5.0,63104,103,$$
65,3AZjEgNM6CiOePDKKAQWgA,DD Mau Vietnamese Eatery,4.5,63043,171,$$
66,3M2zIKwVz2J63SlNiirgVA,San Jose Mexican Restaurant,3.5,63126,113,$$
67,3VYxaeo6BJNHbVIIfmWN_w,Vicia,4.0,63108,234,$$
68,3XXt0s_SDC9SyFTiIPNSgA,The Original Pancake House,4.0,63124,284,$$
70,3XirYkP9PJvVXIEDPNNXLA,Crown Candy Kitchen,4.5,63106,513,$
73,3f6HTECaJK4vQr4VSU1xsQ,Rich & Charlie's,3.5,63129,64,$$
74,3ovV2S7XEAOEk8hCdYKhOA,Hi-Pointe Drive-In,4.0,63117,557,$$
75,3qpubK1C8SsDcq8BeKOEbA,HopCat - St Louis,4.0,63130,148,$$
76,3zI7Ka2_ZsKh4UwbSFnXdw,Lulu's Local Eatery,4.5,63118,438,$
78,40ovn6SAc5c7v84bRzpB2Q,Texas Roadhouse,3.5,63122,97,$$
79,4EbwDR58_1Lm54Oru_Dfxw,Cafe Telegraph,4.0,63125,200,$$
