,business_id,name,rating,zip_code,review_count,price
0,--F3QN39ndTiL85W0-Dtxw,WC Harlan,4.5,21211,171,$$
2,-5gWvrcKOPmhlcZju3tpbw,Flour Bakery + Café,4.5,02210,1137,$$
3,-6tSx9IXwt1btreBtcyZ0g,Würstbar,4.5,07302,289,$$
4,-8HsKILlFcC8ieznte56eg,Lulu's Bakery,4.0,11366,347,$$$
5,-C2vxDphxWzYPLgNgdKJAQ,Cafe Vida - Culver City,4.0,90232,1303,$$
6,-DrR38H1Abk0wCyu9XOLug,Sweet Maple,4.0,94115,3579,$$
7,-FOAQv22SXtSBs7nptI3UA,Serious Pie,4.0,98121,4081,$
8,-HqkUZg3tu-ZAV1RhdzXHQ,Tacotlan,5.0,60639,66,$$$
9,-I4bxb04YkCSNCbFWto7Gw,Dali Restaurant & Tapas Bar,4.0,02143,1046,$$
11,-LJayGlySYnQ8z2VvZyFNw,Little Vietnam,4.5,60640,327,$
12,-O6AeLLCC2kSh0ecAW-ZCg,Mariscos La Playita,4.0,90262,122,$
13,-Tp77Ce5OCpP1-KXUYtX9A,Robust Coffee Lounge,4.0,60637,241,$$
14,-cEFKAznWmI0cledNOIQ7w,Gran Caffe L'Aquila,4.5,19103,910,$
15,-e5gMedWVYL8zYrMM4bRRA,Ferazzoli's Italian Kitchen,4.5,07070,207,$$
16,-f3GB9AGUqLFkXorluMFTQ,Beets and Carrots,4.5,11209,153,$$
17,-hu5SWEFeudsM74DHppaQg,The Bar @ Milk & Honey,4.0,20011,387,$$
18,-kVueEw_fyO1Q2Gkmj6Few,Taqueria Santa Fe,4.5,11377,337,$
19,-mIlmp5l4hKlp1tvHRdvTg,Sonny's Famous Steaks,4.0,19106,1490,$$
20,-rqqnZeGmwyfkqoRskSO1g,Koroni Souvlaki and Grill,5.0,11102,241,$$
21,-sdMTRmgExufOk6STZFi9w,Little Goat Diner,4.0,60607,4471,$
23,-tIDieZz3ARzGOPAaLHi8A,Kungfu Crab,4.0,07057,110,$$
24,-urNLXq1RYUDAy5XCWLaqQ,Fogo de Chão Brazilian Steakhouse,4.0,90211,3887,$$$$
25,-wlmZ-b35UJ-GY-59NDxyw,H Mart - Elkins Park,4.0,19027,139,$$
26,-yUfaRAjvgm_rmdqAsqxIg,Lem's BBQ House,3.5,60619,243,$$
27,0-IZlx0j0iklguaVpvonPQ,Burger & Beer Joint,2.5,00924,58,$$
28,00jHmlu0elBhzBsw7Y5pww,Jack & Nellie's,4.0,11375,659,$$
29,02GjIP_ReWd2GqVu9yFV_Q,Luna Pizzeria,4.5,77098,888,$$
30,02i1RoOkg1Vh6x1-FF-eyg,Rasika West End,4.0,20037,1302,$
31,02oBjokdUTknN3kIWjlvBg,Bay Leaf Restaurant,4.5,18101,70,$$
32,02sUerL13Wt4Ii2-kDzlow,Rosa's Pizza,4.0,11378,374,$
33,06feX4qEHFMcPZsiWtvYfw,Thinking Cup,4.5,02116,770,$$
34,07cgAXFckwWiEDVpv3DdkA,Guy Fieri's Baltimore Kitchen + Bar,2.5,21230,409,$$
35,094fHChJkrJqztSFCn3ezA,Taqueria Habanero,4.5,20010,787,$$
36,09FLRYnePKcUwGDDPIOAkg,Biscuit Bitch,4.0,98101,3666,$
38,0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,4.0,10013,6002,$$
39,0EOWrLcnWEO1pP7bZafofw,Wonder Bagels,4.0,07302,443,$
40,0ETtpZSd6f7q_-o-7gutPg,Bradbury's,4.5,53703,338,$$
42,0FonNwb6KPN-AwkC_yHQ4Q,Tamale Spaceship,4.0,60608,252,$$$
43,0IWkuFkLzL6lFKRGApZpHg,New York Bagels Deli & Catering,4.0,10704,83,$
44,0Jr2OP0B2MM4LvJY_K6cTQ,Aurora Ristorante,4.5,07011,272,$$
45,0L03onqNwxWLrbb_FCK79A,SriPraPhai Thai Restaurant,4.0,11377,2298,$$
47,0N8cIYLfmoQQJ8gDihmkBg,Yojie Japanese Fondue,4.0,90701,1285,$$
48,0OhHaleW2rPQdj6e3eSWWQ,AYCE Gogi,4.0,91405,1527,$$
49,0RuvlgTnKFbX3IK0ZOOocA,Green Eggs Café,4.0,19107,2429,$$
51,0SakkRuHhECsDsZ8mRkisQ,IL Triangolo,4.5,11368,445,$$
53,0WyRlH-fxOVLh1b3oEBEEQ,Urth Caffé- Downtown LA,4.0,90013,5151,$$
54,0eMo-MeawM-tmbwpzv3rDg,Carnitas Uruapan,4.5,60608,393,$$$
55,0fYNLK7VpBUW4mgFyPCrWQ,Over Easy Cafe,4.5,60625,1449,$$
56,0hfDRVaGSydijN5du1HCzg,Bar Siena,4.0,60607,1350,$
57,0luiNMkh4efgQmmYIRlAUQ,MOVIDA,4.0,53204,433,$$
58,0mRtZ39VQI5CfHEJ7zDwug,Duck Wong,4.0,11214,173,$$
59,0n-xuWtvGYOfEBF95IaSGw,Supermercado La Internacional,4.5,60609,102,$$
60,0pc352jFnUQFAw8DgmeSjw,5 Rabanitos Restaurante and Taqueria,4.0,60608,442,$$
61,0qgAi9NA512PuF0ug-yQwg,Portage Grounds Coffee & Tea,4.5,60641,221,$
62,0sM-AAk5rJ-4KpyCwg3x-Q,Bonefish Grill,4.0,18052,203,$$
63,0saWzOZuxrjvvReiVQL_Mw,Hummus House,4.5,18102,169,$$
64,0syWUHwfAz1jfuNY6KymPQ,Hula Grill Waikiki,4.0,96815,2601,$$
66,0upo44caHvgYeA34PSNFRQ,Bill's Hamburgers,4.5,91411,676,$
67,0ye0c8e9Jyj6zSWlQIkQog,Masala Cuisine,4.5,94621,429,$$
68,0zvo5YGRwC8FB7zwHi_Wig,Sushi You,4.0,11364,204,$$
69,15LVDu1_v97JEx-g97wnfA,Salvatore's Tomato Pies,4.5,53703,217,$$
70,16heVvLqYfLpl8mC1RN3Bg,Laojie Hotpot,4.5,11220,528,$$
72,170HjUekKCDaJx_m-604IA,Sharky's Wings & Raw Bar,3.5,07011,507,$$
73,19o6iblcJvz2hdPouYhXgg,Zum Stammtisch,4.0,11385,446,$$
74,1DfbZ0VsSCg9g1KILmnvzQ,Per Se,4.5,10019,1623,$$$$
75,1JaZHnhr71Cwmx-vbGf0-A,Vietnam Veterans Memorial,5.0,20050,313,$
76,1OZPOWZwJr-hpvMt6TD4ug,Milkflower,4.5,11106,613,$$
77,1Q3oaJahyGRogDWgpo7PIw,Five Leaves,4.0,11222,1585,$$
78,1SHr4WI1RCSEGfyjpDfVsA,Macado's,3.0,24141,64,$$
79,1Y3zvfXJCmYCMdws7Hdg8Q,Domingos Bakery & Restaurant,4.5,07032,80,$$
80,1ZKbUeFAs0ltSnAYq4ELKw,Trattoria L'incontro,4.5,11105,903,$$$
81,1_bIwtYU3RYuPooHpAIQZg,Manoa Poke Shop,4.5,02143,310,$$
82,1ajkKqDVs4oyhCSjj7-wqQ,Dave's Fresh Pasta,4.5,02144,750,$$
83,1b7VzPKVn5D9uSaV4I__lg,Enoteca Umberto,5.0,02903,336,$$$$
85,1fYBZCQh_fI8XUOpZ15Vag,Georgian Deli and Bakery,5.0,11214,45,$$
86,1hJYOI26FjCQ-Ce6iKAvug,Cafecito,4.5,60606,1951,$
87,1hMD7RQogPDWpE-p3LKjXA,Loló,4.0,94110,2131,$
88,1hsW2pGSSDkq65p03e_ACQ,Golden Glow Cookie Company,4.5,10469,31,$
89,1qwxzGRcU1y3tJrsoYQ4Rw,Picco Pizza & Ice Cream,4.0,02116,1155,$$
93,1uFRbr6B-BiNGtT90sdk0w,Community Tavern,4.5,60641,407,$$
94,1wSxClt75nOBS31--dlWYg,Bob's Pizza,5.0,60608,109,$$
95,2-su3xdxOvyF0_2GZN4FLw,Short Stack Eatery,4.0,53703,462,$
96,20LSOx_4K2wghTsUx4gSsg,Oceanic Boil,4.5,11372,514,$$
97,22CRLIEfJWIO-8RjEiecAg,Akino,4.5,11373,573,$$
99,237MSviehmCzD_wwKg4-zA,Bosscat Kitchen & Libations,4.5,77027,1613,$$
100,23jnzyg-vO6-Kwjenz7N6g,Piezzetta,4.0,21201,54,$$
101,24p-MWh8_jZWLZnR9X2NgQ,Sabrosura Restaurant,3.5,10462,247,$$
102,25UVMrpxCoo5dN7K8mM0Cw,Villabate Alba,4.0,11204,458,$$$$
104,2A18f5TRpM9fBL29byLiAA,Porto's Bakery & Cafe,4.5,91203,8592,$
105,2CDI713ATuxHfnB5b-sBdw,Vedge,4.5,19107,1344,$$$
107,2F5L_0MZSPp5egi_yY0-yA,Haley House Bakery Café,4.5,02119,219,$$
