,business_id,name,rating,zip_code,review_count,price
0,-FOAQv22SXtSBs7nptI3UA,Serious Pie,4.0,98121,4081,$$
6,-YlkKYlHYKNcrBs21V-WfQ,Chinook's,4.0,98119,829,$$
7,-ofDNmj8r_F875FiZr9G8w,Witness,4.5,98102,769,$$
9,-pa-22jT0ssGBiBaGQWiqA,The Harvest Vine,4.5,98112,606,$$$
11,-qeVTbSB0Gv59dUiNUTVNA,Le's Pho Tai,4.0,98133,255,$$
13,-wOeBFbqBmUpwmClAYC6Ig,Delancey,4.0,98117,532,$$
14,08M3HVlCtr3xl6hmKOPl1g,Un Bien,4.5,98117,972,$$
17,09FLRYnePKcUwGDDPIOAkg,Biscuit Bitch,4.0,98101,3665,$
23,0HGzdQ2HjA95IFQPQXb1vg,Stoneburner,4.0,98107,629,$$
25,0SNGHTGs63m6cidnGLn_ew,Chontong Thai Cuisine,4.0,98188,184,$$
26,0TePv4HKkxVirMSJffBpVw,Eat Time,4.5,98166,191,$$
29,0ZhdlPCsEGFLOiJxyNuoKw,Café Besalu,4.5,98107,844,$
32,0cqa2F_cfIjxAC3nqw__1w,Serious Pie & Biscuit,4.0,98109,1697,$$
33,0jZIOA_9H3YOsbiyoyRWrA,Seattle Lotus Vegetarian Restaurant,4.5,98146,112,$$
34,0lpJjdUwtI4uPrED-woG5g,Homefront Smoothies and Icecream,4.5,98198,72,$
35,0u3wpP_C69Tjmhe8nXnPzw,Sound & Fog,5.0,98116,137,$
37,1pq3kaUmxxRKDxI6GDtQcg,Frankie & Jo's Capitol Hill,4.5,98122,518,$$
38,26uHAjxvYUjO8I0WPfw0bQ,Mora Iced Creamery,4.5,98110,663,$
39,2FS5eBVcFJ_W461ylUs38Q,Palisade,4.0,98199,1398,$$$
41,2lT0X0qPpikWgOFbCXsiyw,West 5,4.0,98116,451,$$
42,32VKRJRFgVTI9w2AhY_grA,Moctezuma's Mexican Restaurant & Tequila Bar,4.0,98188,1331,$$
44,3jYycHbe2BHzTzh8KZK_tg,Pestle Rock,4.5,98107,734,$$
47,4IU-zvKxxScUhMg3hVo_FA,Hot Cakes Molten Chocolate Cakery,4.0,98107,1260,$$
50,4LGO2f_6VQ4c7Xt22hDzXA,Elliott Bay Brewhouse & Pub,4.0,98166,420,$$
52,4_Nn51aZL-RUCrvBBYIZcQ,A la Mode Pies,4.5,98103,441,$$
53,4eS9JFF7rmvdUESOHp7T1w,Wanna Teriyaki & Burger,4.5,98106,139,$
54,4iK0vm6XUp_aMZAJvywRvg,Salt & Straw,4.5,98107,264,$$
56,4vcLCqND-3g7wNn2fIwDAg,Emmy's Vege House,4.0,98110,109,$
57,5JRxGetpcPIqsfVUTmyUSg,Poke To The Max- Seattle,4.0,98118,273,$$
58,5LK_kB_j2CrXDCsvXXgGzA,Shelly's Breakfast Lunch Dinner & Lounge,4.0,98148,282,$$
59,5aMMUf2xYzrMAZqEsf303g,Cemitas Poblanas,4.0,98168,50,$
60,5skWjUnGeK0Go-LoIOsE3g,Elliott Bay Public House & Brewery,4.0,98125,524,$$
62,5yE_49qRxO9DBrZDSG058Q,Australian Pie Company,4.5,98166,318,$
64,63Gy5_bq5ctDaECzvXj-lA,Indo Cafe,4.0,98133,255,$$
66,67QmiVYdCbG4PRmF61A5bw,Il Corvo Pasta,4.5,98104,1243,$$
71,6AY7UJnznddGbrccPDvuNw,Some Random Bar,4.5,98121,919,$$
72,6I28wDuMBR5WLMqfKxaoeg,Pike Place Chowder,4.5,98101,7142,$$
80,6LCyeuEUxYS2WAERI5uTpA,Noble Barton,4.5,98106,297,$$
82,6OVriioGG7w7Nwq5Q25WtA,Portage Bay Cafe - Roosevelt,4.0,98105,2290,$$
85,6ZKNFPLWRIVWshUkMNlgng,Starbucks Reserve Roastery Seattle,4.5,98101,2805,$$
93,6pVGmsuyl8hp2-C7okaAnQ,New Tokyo Teriyaki,4.5,98198,90,$
94,7DwqCE8mHqlDw_oZ2VfdBg,Molly Moon's Homemade Ice Cream,4.0,98103,1239,$$
95,7F473Qfy0eRD6_5lgfWTSA,Taste of India,4.5,98105,1505,$$
98,7FUpp4pe3EfLlb0ij9QQ_A,Resistencia Coffee,5.0,98108,30,$
99,7KNvV-UkxOLLWnR1Oj5HMQ,Mizuki Buffet,3.5,98188,764,$$
100,7MtFRSvnRB4bg2qhzMfR9w,Ridgecrest Public House,4.5,98155,62,$$
101,7Oj8IKp1pibP4huWecsQ6A,Quinn's,4.0,98122,1300,$$
102,7a0RMXo2h7puzsB7btFfPA,Easy Street Records & Cafe,4.0,98116,560,$
105,7h9cqRLdkOSu5brLTlL7yQ,Indian Curry Palace,3.5,98188,415,$$
106,7slrNDFQa94jjvfLaE35Lg,Via Rosa 11,4.5,98110,182,$$
107,82eC8oiAyDH656f9Ke6eqQ,Pizzeria Pulcinella,4.5,98178,467,$$
108,912WWoZSdKtmA-w86f-vfg,Dutch Bros Coffee,4.5,98057,189,$
109,9OXEAAPONxcA2PQO75fnJQ,The Walrus and the Carpenter,4.0,98107,1583,$$
112,9YeSEzr8HZMCuQlAyr8FPw,Thai Tom,3.5,98105,2149,$
