,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender
0,0,-6jVwUuXC1-dyr2YRCEU6Q,3xNxd1x6ew1QmGDLHxDFdA,5,Maggie Z.,maggie,Female
1,1,-6jVwUuXC1-dyr2YRCEU6Q,CGGd6QCgqoCF67U5GnRaCw,5,Shraddz S.,shraddz,
2,2,-6jVwUuXC1-dyr2YRCEU6Q,Vi43zdZWfiZK6jPlGTWTGg,1,Hima R.,hima,Female
3,3,-W0tnXYJ4WuxLjzmbwlVAQ,YWzudmGlyDK5T10tVUk8Kw,5,Colleen S.,colleen,Female
4,4,-W0tnXYJ4WuxLjzmbwlVAQ,GBkWTtokcnP-PMlMEXDLbQ,2,Alyssa G.,alyssa,Female
5,5,-W0tnXYJ4WuxLjzmbwlVAQ,0rbjx6XBf2mW1yEd5h95pA,1,Sharon Y.,sharon,Female
6,6,-bGw8ARHQucKWEHEkxpGFw,yaANt1ghaK6kyV9BbV2G3w,5,Kaitlyn M.,kaitlyn,Female
7,7,-bGw8ARHQucKWEHEkxpGFw,QQXK5_UBtM3mV4O5BNbYqw,4,Dave F.,dave,Male
8,8,-bGw8ARHQucKWEHEkxpGFw,VTU5jXvimrGngT-Man5ZSA,3,Maggie H.,maggie,Female
9,9,-hto0uJjh8KFQZGc9ZAcuQ,mYjfqARuUMocnIBb4PZi_A,5,Faye T.,faye,Female
10,10,-hto0uJjh8KFQZGc9ZAcuQ,TcARsdQZEtaRJpBDmShVPQ,1,Morae K.,morae,Female
11,11,-hto0uJjh8KFQZGc9ZAcuQ,oRmNn-G5pw5CDjIi-5s__Q,1,John K.,john,Male
12,12,-kHHi8y4kaTI6WUVdJSdvQ,zfHH4fQ1slhdGeT-mfQbMA,4,Ian C.,ian,Male
13,13,-kHHi8y4kaTI6WUVdJSdvQ,Jtk0YcnMPyL9Wr9KkJClTw,4,Dianna S.,dianna,Female
14,14,-kHHi8y4kaTI6WUVdJSdvQ,0g1um0zD0CpygXDFELzXWg,5,Hal M.,hal,Both
15,15,-mDAFyX5kZHXhxjELeMhiQ,gUlMGBHwY_h5mCpyYuhLhw,5,Adam P.,adam,Male
16,16,-mDAFyX5kZHXhxjELeMhiQ,twNtDOz7a37-o-u8Ulk3XA,5,Timothy B.,timothy,Male
17,17,-mDAFyX5kZHXhxjELeMhiQ,K-Psn7vm1m4K21lt-9_ZNg,5,Grant H.,grant,Male
18,18,-q4YqKsWJY6NtkQdnNeL1Q,y4tlYeTK1-bEn-Oysq2DvA,4,Tony V.,tony,Male
19,19,-q4YqKsWJY6NtkQdnNeL1Q,oub2iO5d0KcpBnGKKcC2lg,4,Edward A.,edward,Male
20,20,-q4YqKsWJY6NtkQdnNeL1Q,zJSCkbx1r0ox3qt9Tu5wXQ,1,paula p.,paula,Female
21,21,-yu4koRugjxrnsey25oIuw,01NqKh3pEOvHDxSCEtV0nw,4,Cassandra G.,cassandra,Female
22,22,-yu4koRugjxrnsey25oIuw,3Bg0ObjJPxMtM59AwgpWWw,5,Deborah C.,deborah,Female
23,23,-yu4koRugjxrnsey25oIuw,RFoT8EwFZtXprqG3IfKt0g,4,Heather L.,heather,Female
24,24,07tT34LEBj1xVgLRk4L8qw,Y35_HUXrFE4aAdZw0us5tA,5,Carol E.,carol,Female
25,25,07tT34LEBj1xVgLRk4L8qw,N0hKy8pwxQOsnZZFo4zgxA,3,Jennifer C.,jennifer,Female
26,26,07tT34LEBj1xVgLRk4L8qw,jOjZ1OWRHJWePbWOqNsSkQ,1,Kendrea H.,kendrea,Female
27,27,08kBMcufQMg-Dc9IouWIYQ,ztha5CgWybqy60jxcZIGJA,3,Sara L.,sara,Female
28,28,08kBMcufQMg-Dc9IouWIYQ,Z53DkLNxPqPV3NUe7zZSeg,1,Cory B.,cory,Male
29,29,08kBMcufQMg-Dc9IouWIYQ,1ZCSCgMZE6Ep2iq8u0yatg,4,Mike M.,mike,Male
30,30,0AfjyySl4Rivh-QhWfrClA,mioy1QLgL0ry61jDtUyqJQ,5,Stephanie B.,stephanie,Female
31,31,0AfjyySl4Rivh-QhWfrClA,swxvr9cbMHPUlH6f_5Sj3w,4,Steven B.,steven,Male
32,32,0AfjyySl4Rivh-QhWfrClA,61xqtxyzILW9PWp2uwUTbQ,4,Nicole L.,nicole,Female
33,33,0KwD4kiiIPoTOrHXVxwTyA,ZA_qVLS3zsHOPpUVAKJXmQ,5,Maggie M.,maggie,Female
34,34,0KwD4kiiIPoTOrHXVxwTyA,WV3QqHiPG1knTHqZbQq4JQ,4,Gloria R.,gloria,Female
35,35,0KwD4kiiIPoTOrHXVxwTyA,3mxcnA0cOtQ0uuH8WXLILQ,1,Cheryl M.,cheryl,Female
36,36,0MhxvTys2ADYa3sOO91ldQ,thOMsGuRwXtItKm3Pcr7iw,5,Ian S.,ian,Male
37,37,0MhxvTys2ADYa3sOO91ldQ,7YZdEcrGSHXzWrnVpqSZZA,4,Emily T.,emily,Female
38,38,0MhxvTys2ADYa3sOO91ldQ,AhoVT9lYWlq9bO1F-_56xg,5,Scott S.,scott,Male
39,39,0QYWhij_YZ7Lyk9F6213Sg,jv-mJfyixxKWcVA5AsQJpA,5,Frank W.,frank,Male
40,40,0QYWhij_YZ7Lyk9F6213Sg,eIRNd9EEvw_PrSAAQGtjfA,5,Zandy C.,zandy,
41,41,0QYWhij_YZ7Lyk9F6213Sg,yfIU4iSo8nqbPPVre7RHzQ,5,Greg D.,greg,Male
42,42,0cddB9WRKcQhzAEXEav81w,ndrTIieI2nYcSNkCYmpJDA,5,Kimberly W.,kimberly,Female
43,43,0cddB9WRKcQhzAEXEav81w,ZGlITn8XfrgA9duhNDYyPg,1,Jem A.,jem,Both
44,44,0cddB9WRKcQhzAEXEav81w,HcCQbjvJL2PbpRyd5JxjfQ,5,Mandie B.,mandie,Female
45,45,0upS_zVQ48_9WuTjxmwRqQ,G2c5XAAs9qCvMw2oinFL6g,5,Jenna N.,jenna,Female
46,46,0upS_zVQ48_9WuTjxmwRqQ,T6fyNET1yqfcaJOVFiHMEg,4,Sally K.,sally,Female
47,47,0upS_zVQ48_9WuTjxmwRqQ,7A_wXRPpj3o05W2naEO95Q,5,Big Mama's M.,big,Male
48,48,1EdfURQCj75UbcLPh9rdSw,_o1Xdn8tPVbS8CH5RTpdGQ,4,Ed C.,ed,Male
49,49,1EdfURQCj75UbcLPh9rdSw,T7PLRzSkBTRB8vvdf54-EA,1,Hollie K.,hollie,Female
50,50,1EdfURQCj75UbcLPh9rdSw,iXYKGTqWT0KCoHJjh2W3ww,5,Marilyn H.,marilyn,Female
51,51,1HRAmY7rTMKaY9-rNrppzg,yGkjYpqm4QpT_LhHpTpWRQ,5,Derek D.,derek,Male
52,52,1HRAmY7rTMKaY9-rNrppzg,PesKClOWnsdi4PHnKo9UAQ,1,Erin M.,erin,Female
53,53,1HRAmY7rTMKaY9-rNrppzg,cxNGrh8F13fW3IOJL4FHEg,4,Mark S.,mark,Male
54,54,1KhNDQSdDqzPQaZk8PIdGg,JT5kppO_fW_Qg2W-Zpns0Q,5,Soham D.,soham,Female
55,55,1KhNDQSdDqzPQaZk8PIdGg,he8pA6RPYKSvFf_UPTOhqQ,3,Joan G.,joan,Female
56,56,1KhNDQSdDqzPQaZk8PIdGg,jtA_fMasiust9CU9ww1HQA,5,Lori E.,lori,Female
57,57,1Mc_Reqnxhs0eHQFAhXVUQ,X4y4tN9fXDIO6T0PZxNtqA,5,Danielle W.,danielle,Female
58,58,1Mc_Reqnxhs0eHQFAhXVUQ,B2vtv4rpEdfSTlxbPfhh2g,5,Brittany S.,brittany,Female
59,59,1Mc_Reqnxhs0eHQFAhXVUQ,3CavzAk67fE0QaLLddWHBg,4,Dave D.,dave,Male
60,60,1XsoLhxLB7-iyxaLpoEmUg,47hK7yBXICBb4U_G4mcQQQ,5,Nyles S.,nyles,Male
61,61,1XsoLhxLB7-iyxaLpoEmUg,OQx4yQCZTsOQPTaebvPZKw,5,Amber D.,amber,Female
62,62,1XsoLhxLB7-iyxaLpoEmUg,1Ec4aeV-w2FNQTtbQzHkFw,5,Kelly P.,kelly,Female
63,63,1YflE3DkiCZGgLnf3paLnA,U5wBh844bsumKLTmV_5maw,5,Mary Kate A.,mary,Female
64,64,1YflE3DkiCZGgLnf3paLnA,--FWSqAYJiBBGSaU2uoLgQ,5,Nancy P.,nancy,Female
65,65,1YflE3DkiCZGgLnf3paLnA,TUBLU49kB15rvlxxYk7Pjg,5,Staci W.,staci,Female
66,66,1dF6hKCLrdEPDOWcwrXgOA,-7IwtqRQdrvceM05Ov88uw,1,Mike C.,mike,Male
67,67,1dF6hKCLrdEPDOWcwrXgOA,OjLvSymGF0RmPJxBNRc_Pw,5,Bill R.,bill,Male
68,68,1dF6hKCLrdEPDOWcwrXgOA,hdp4tTwJN7Ln3K9v7tPP9w,1,Wendy C.,wendy,Female
69,69,1elddy31XiqFPVrvvd9QiQ,jdRxQu--Py2dkpf9eTDJdw,4,Rag R.,rag,Male
70,70,1elddy31XiqFPVrvvd9QiQ,ArdtmDbkrDA0WuKUeAh85w,1,Brittney P.,brittney,Both
71,71,1elddy31XiqFPVrvvd9QiQ,a92rR5coT3flDkZjjgJfGg,1,Audrey P.,audrey,Female
72,72,1lWASQ_QiT_RFPEeSvyF5w,MVZPAyHPZPl_j6iJQyW2nw,3,Lloyd C.,lloyd,Male
73,73,1lWASQ_QiT_RFPEeSvyF5w,l2j4QdaHbH8FERpT2OmojA,1,Tasha P.,tasha,Female
74,74,1lWASQ_QiT_RFPEeSvyF5w,tgCMQfRuXAv15h3rzHVQRQ,1,Kenna M.,kenna,Both
75,75,1o9IdLrFGMS2o5Y8uXKC0Q,Vu2x7CkBRdfUQjC_BDJmvg,5,Jemal D.,jemal,Male
76,76,1o9IdLrFGMS2o5Y8uXKC0Q,O_bQf-Qim9Dk9K6zCYfSoA,4,Aaron D.,aaron,Male
77,77,1o9IdLrFGMS2o5Y8uXKC0Q,HxbFq0_fbNi62sdgFfNduw,5,Craig M.,craig,Male
78,78,1ulD4HL2G8qbpEuuWFDSqQ,IAwEwnegmFmIib_Cv36vAw,5,Maria H.,maria,Female
79,79,1ulD4HL2G8qbpEuuWFDSqQ,E6s0cZzpX-gLduuzNE8qAA,2,Melissa K.,melissa,Female
80,80,1ulD4HL2G8qbpEuuWFDSqQ,cWLm9g6NyowtM3VvCOGZag,1,Sue D.,sue,Female
81,81,24_GowpZ79St53rpxsKqsQ,ptNeR1NIZ0q9-1BEd1USww,5,Chris D.,chris,Male
82,82,24_GowpZ79St53rpxsKqsQ,1HyKkSHzL2RWqNrKDQy1uw,5,Mary Margaret M.,mary,Female
83,83,24_GowpZ79St53rpxsKqsQ,DQv83U3hFw_IVIOUU9DArA,3,David B.,david,Male
84,84,2BMk_drsikKWslJCXmQtjQ,yjWuxHY4MQDDKUxHa7kJvA,4,Jamie B.,jamie,Male
85,85,2BMk_drsikKWslJCXmQtjQ,u8w-JcWPKRCpEo_5n9xDpg,2,Trevor P.,trevor,Male
86,86,2BMk_drsikKWslJCXmQtjQ,BQsywEAiZWSQuRXUQNGLFw,4,michael d.,michael,Male
87,87,2DWqlmcMV9CxzUDYhzY04Q,_laHh0_hl2jm9oAiBLX1aA,5,Lisa R.,lisa,Female
88,88,2DWqlmcMV9CxzUDYhzY04Q,K9_zCgDewCq2zKnWL32NtQ,4,Sara L.,sara,Female
89,89,2DWqlmcMV9CxzUDYhzY04Q,CvWW3Nhphd8S-yy7QmX0Gg,4,Kay Dee H.,kay,Female
90,90,2P-pvj_jo0SxNe6jih6sOA,LfDVJv2Kwi0mXpq3PjsWTQ,5,Doug M.,doug,Male
91,91,2P-pvj_jo0SxNe6jih6sOA,jX4kAITfOxIBjZk58uP67A,5,Zach H.,zach,Male
92,92,2P-pvj_jo0SxNe6jih6sOA,tCo5u-8NIYCDMLKL9tbz4Q,5,Sandra K.,sandra,Female
93,93,2aZNVfzU-3672SjRHnPoOA,u7NrnJPyAR8Z63sJ5iuegg,5,Vivienne C.,vivienne,Female
94,94,2aZNVfzU-3672SjRHnPoOA,QpmwxBqjh3Tcis3GOR4HqA,5,Cheryl T.,cheryl,Female
95,95,2aZNVfzU-3672SjRHnPoOA,P9doCXFsu-BR-O3MCVCi8Q,4,Faye T.,faye,Female
96,96,2zscMai3s2qePfovwetPcg,yX3qiJ77r7hQtfevhJCZjA,5,Alex R.,alex,Both
97,97,2zscMai3s2qePfovwetPcg,LP4TlsrLBhFU-u4u4KEcwg,4,Dave D.,dave,Male
98,98,2zscMai3s2qePfovwetPcg,wj8wJzGw6jPBaqloASxq1w,4,T. S.,t.,
99,99,31_JqV2ZinZ7Uo4DKiKFEQ,sU2KMylA3QVMoW6Ct6rkDQ,4,Nathan T.,nathan,Male
100,100,31_JqV2ZinZ7Uo4DKiKFEQ,Sn1H_JdEl66J_nri_vHcuw,5,Andrew M.,andrew,Male
101,101,31_JqV2ZinZ7Uo4DKiKFEQ,lsA_cKFSO1e1ePQs55OnqQ,4,Valerie K.,valerie,Female
102,102,33l2XVp01d8kltTs_UMJ8A,R5JgicBCFr1PIuRf_b5qqg,5,Amber M.,amber,Female
103,103,33l2XVp01d8kltTs_UMJ8A,bqpua-E7ka04U4iTFknXBg,4,Lizzy L.,lizzy,Female
104,104,33l2XVp01d8kltTs_UMJ8A,4F0j3_zIBBaLOqwT5MVzUw,4,Abigail L.,abigail,Female
105,105,37dCsVwCe8yWPkW7TXCLCA,w_VSvmGwHGk1fF4SAjOq7g,5,Dan J.,dan,Male
106,106,37dCsVwCe8yWPkW7TXCLCA,Unn08ErU_E4ziL2NpLmKWg,4,Zack G.,zack,Male
107,107,37dCsVwCe8yWPkW7TXCLCA,FNrEsXAtsJVAANSy0-5O2g,5,Micah G.,micah,Male
108,108,3AZjEgNM6CiOePDKKAQWgA,diITXEDX93lRG5yB-aYMRw,5,Christina C.,christina,Female
109,109,3AZjEgNM6CiOePDKKAQWgA,eK0aZ4TLMaiHzw5T34y2SA,5,Allen W.,allen,Male
110,110,3AZjEgNM6CiOePDKKAQWgA,_kuQz3sm-293ZFrbjDqarA,5,Chris K.,chris,Male
111,111,3M2zIKwVz2J63SlNiirgVA,WtVnortdVgBcaRNbTsU3nw,5,Cynthia K.,cynthia,Female
112,112,3M2zIKwVz2J63SlNiirgVA,RaMd63P8woE7dRkDy4hTqQ,4,Julie L.,julie,Female
113,113,3M2zIKwVz2J63SlNiirgVA,B1L8jvcAU3f3WP0QThn5mQ,4,Devon P.,devon,Both
114,114,3VYxaeo6BJNHbVIIfmWN_w,D98kb6fYw94EpGSwEV70Rg,5,Katherine G.,katherine,Female
115,115,3VYxaeo6BJNHbVIIfmWN_w,vAIajmFI6JO3cluR9BjCYg,2,Carol J.,carol,Female
116,116,3VYxaeo6BJNHbVIIfmWN_w,e9mV2EtbH6kr5w5KrNNgXA,4,Maggie H.,maggie,Female
117,117,3XXt0s_SDC9SyFTiIPNSgA,lMvjTTqNOad7rhgKBeJM6g,5,Mohammed B.,mohammed,Male
118,118,3XXt0s_SDC9SyFTiIPNSgA,BSvY6DPZBbWyDS6MXuM21g,2,Marilyn A.,marilyn,Female
119,119,3XXt0s_SDC9SyFTiIPNSgA,kzHAPgl-e05OGCpIcEHHqQ,3,Marlo S.,marlo,Both
120,120,3XirYkP9PJvVXIEDPNNXLA,wRRGaIuyLjUbv_pHbZwcsg,5,Sara L.,sara,Female
121,121,3XirYkP9PJvVXIEDPNNXLA,HdGBSguVXQUNK3lXrrGh-g,3,Danette A.,danette,Female
122,122,3XirYkP9PJvVXIEDPNNXLA,b-8Md5BraJvIoWxZMRgzWA,3,JT T.,jt,Both
123,123,3f6HTECaJK4vQr4VSU1xsQ,ez0Nv6RnKH7b6mpu3zGMTw,4,Brett F.,brett,Male
124,124,3f6HTECaJK4vQr4VSU1xsQ,HpwAv0_Wi0fvWFKg0BJIVg,5,John H.,john,Male
125,125,3f6HTECaJK4vQr4VSU1xsQ,1u1HKOgBw-nQq2yoT_-KyQ,3,Jennifer M.,jennifer,Female
126,126,3ovV2S7XEAOEk8hCdYKhOA,IQ5j-XWu8dkzTORzQQxnhg,5,Anthony A.,anthony,Male
