,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender
0,0,-FOAQv22SXtSBs7nptI3UA,rMNUJ0f-V1oN6O4Jz2qP9Q,5,Johanna M.,johanna,Female
1,1,-FOAQv22SXtSBs7nptI3UA,IthS8Rb-GYIZ9OhgWuJeWQ,3,Julian S.,julian,Male
2,2,-FOAQv22SXtSBs7nptI3UA,35-4Cw_-vm7HwoQANbzfWg,4,Sharon T.,sharon,Female
3,0,-YlkKYlHYKNcrBs21V-WfQ,cetLa1hxD2Q2jhsbGGKn1g,5,Artemis L.,artemis,Female
4,1,-YlkKYlHYKNcrBs21V-WfQ,9FNNxuN0Y5eGTWVQLUOUvA,4,Michael G.,michael,Male
6,0,-ofDNmj8r_F875FiZr9G8w,GpbGk781tkhDXpKpnBO77Q,5,Travis L.,travis,Male
7,1,-ofDNmj8r_F875FiZr9G8w,W6TPZlqZtqDRL7kfJxDXdA,4,Sara C.,sara,Female
10,1,-pa-22jT0ssGBiBaGQWiqA,lZKHZd_LCi7YUjKp5GpnWg,2,Tommy L.,tommy,Male
11,2,-pa-22jT0ssGBiBaGQWiqA,-c4IcnsbnuNtLLWlEAe_rg,3,Sharon X.,sharon,Female
12,0,-qeVTbSB0Gv59dUiNUTVNA,7lRpCCrSGZFL_lQN5U-RLg,5,Ellen R.,ellen,Female
14,2,-qeVTbSB0Gv59dUiNUTVNA,k7YT_ex3rSN57yKQlQG3hw,3,Teresita C.,teresita,Female
15,0,-wOeBFbqBmUpwmClAYC6Ig,EEifBNUxRDBaGzuFCHJsxw,5,Christy N.,christy,Female
16,1,-wOeBFbqBmUpwmClAYC6Ig,q4T70GCp7S7DwSbzU13otA,2,Lee G.,lee,Male
17,2,-wOeBFbqBmUpwmClAYC6Ig,pOA_VDHh2KTp1mJgLipsFw,1,Emily I.,emily,Female
19,1,08M3HVlCtr3xl6hmKOPl1g,b9oD5VWCgCC-WpWRZC-Oqw,5,Michael P.,michael,Male
20,2,08M3HVlCtr3xl6hmKOPl1g,JsT_9gzPwYuYZ2c5HjJlKw,5,Kristin B.,kristin,Female
21,0,09FLRYnePKcUwGDDPIOAkg,jwShOe7oZVLJysuvU64c1g,5,Elaine S.,elaine,Female
22,1,09FLRYnePKcUwGDDPIOAkg,MKfxivx7C2OYsSCrN7FrlA,4,Sarah B.,sarah,Female
