,index,business_id,review_id,rating,name,short name
0,0,-6jVwUuXC1-dyr2YRCEU6Q,3xNxd1x6ew1QmGDLHxDFdA,5,Maggie Z.,maggie
1,1,-6jVwUuXC1-dyr2YRCEU6Q,CGGd6QCgqoCF67U5GnRaCw,5,Shraddz S.,shraddz
2,2,-6jVwUuXC1-dyr2YRCEU6Q,Vi43zdZWfiZK6jPlGTWTGg,1,Hima R.,hima
3,0,-W0tnXYJ4WuxLjzmbwlVAQ,YWzudmGlyDK5T10tVUk8Kw,5,Colleen S.,colleen
4,1,-W0tnXYJ4WuxLjzmbwlVAQ,GBkWTtokcnP-PMlMEXDLbQ,2,Alyssa G.,alyssa
5,2,-W0tnXYJ4WuxLjzmbwlVAQ,0rbjx6XBf2mW1yEd5h95pA,1,Sharon Y.,sharon
6,0,-bGw8ARHQucKWEHEkxpGFw,yaANt1ghaK6kyV9BbV2G3w,5,Kaitlyn M.,kaitlyn
7,1,-bGw8ARHQucKWEHEkxpGFw,QQXK5_UBtM3mV4O5BNbYqw,4,Dave F.,dave
8,2,-bGw8ARHQucKWEHEkxpGFw,VTU5jXvimrGngT-Man5ZSA,3,Maggie H.,maggie
9,0,-hto0uJjh8KFQZGc9ZAcuQ,mYjfqARuUMocnIBb4PZi_A,5,Faye T.,faye
10,1,-hto0uJjh8KFQZGc9ZAcuQ,TcARsdQZEtaRJpBDmShVPQ,1,Morae K.,morae
11,2,-hto0uJjh8KFQZGc9ZAcuQ,oRmNn-G5pw5CDjIi-5s__Q,1,John K.,john
12,0,-kHHi8y4kaTI6WUVdJSdvQ,zfHH4fQ1slhdGeT-mfQbMA,4,Ian C.,ian
13,1,-kHHi8y4kaTI6WUVdJSdvQ,Jtk0YcnMPyL9Wr9KkJClTw,4,Dianna S.,dianna
14,2,-kHHi8y4kaTI6WUVdJSdvQ,0g1um0zD0CpygXDFELzXWg,5,Hal M.,hal
15,0,-mDAFyX5kZHXhxjELeMhiQ,gUlMGBHwY_h5mCpyYuhLhw,5,Adam P.,adam
16,1,-mDAFyX5kZHXhxjELeMhiQ,twNtDOz7a37-o-u8Ulk3XA,5,Timothy B.,timothy
17,2,-mDAFyX5kZHXhxjELeMhiQ,K-Psn7vm1m4K21lt-9_ZNg,5,Grant H.,grant
18,0,-q4YqKsWJY6NtkQdnNeL1Q,y4tlYeTK1-bEn-Oysq2DvA,4,Tony V.,tony
19,1,-q4YqKsWJY6NtkQdnNeL1Q,oub2iO5d0KcpBnGKKcC2lg,4,Edward A.,edward
