,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender
0,0,-8HsKILlFcC8ieznte56eg,EYnuAcdV2-XBzGmNwl0PRg,5,Jen B.,jen,Female
1,1,-8HsKILlFcC8ieznte56eg,wNWHeIHL5pCMaAk42kiZNA,5,Mickel E.,mickel,Male
2,2,-8HsKILlFcC8ieznte56eg,6rlfZe4waTotfKSa5nlRHA,3,Kathryn K.,kathryn,Female
4,1,-9NO2IDCJMyNGZMAQ1-VQw,5FGbIIe7K9uSmJQp5XfXMg,4,Kat B.,kat,Female
5,2,-9NO2IDCJMyNGZMAQ1-VQw,NoGmKRYEwOl_LqVXkMVA0Q,4,Kelly H.,kelly,Female
6,0,-BmS1FH3DSK6fSifIt8GgQ,x8Y85SpBcStYEyvsGzBbfQ,5,Gabriella A.,gabriella,Female
7,1,-BmS1FH3DSK6fSifIt8GgQ,ceqSxgvomChZ89kvJmUYDg,5,Peter P.,peter,Male
8,2,-BmS1FH3DSK6fSifIt8GgQ,ITfxB5vw2VAqo685V0sY9A,5,Chris N.,chris,Male
9,0,-NglVrPdjl3dG-z8ZBzJyQ,y0WGAhbtTp68xls-s70LJQ,5,Conor D.,conor,Male
12,0,-OixbLnFLCzQclxCSbUQ8w,odgcUU1zrK_TyQR4ZpLtwQ,5,Angelica O.,angelica,Female
13,1,-OixbLnFLCzQclxCSbUQ8w,1Xu5zI48E6lXYxIXDl2SFA,5,Jessica C.,jessica,Female
14,2,-OixbLnFLCzQclxCSbUQ8w,Kz3Ons1BqTzrG5-rZrsCcg,5,Jacky C.,jacky,Female
15,0,-OplSkpDk33uikS5fO-JQw,BvhSWmuNWGi8t4X5i4QcPA,5,Rob P.,rob,Male
17,2,-OplSkpDk33uikS5fO-JQw,HEQk04siMM5aOEZamGISkw,5,Erick D.,erick,Male
18,0,-P7qAIG1wr_gXW3nzIq5TA,Bcle5w3F9IPI-6FoowFx7g,5,Molly M.,molly,Female
19,1,-P7qAIG1wr_gXW3nzIq5TA,NRiTtHX-K8qDsjDGphVBUw,4,Allie L.,allie,Female
20,2,-P7qAIG1wr_gXW3nzIq5TA,uB5ToOkiETFoWezJNDf3qg,4,Jane K.,jane,Female
21,0,-RjWOm2CnGmzwmv4ZMfI3Q,Oo9mOkn4bDumhAXfEOIcPQ,5,Sean H.,sean,Male
22,1,-RjWOm2CnGmzwmv4ZMfI3Q,m6zIawoQBOXoIDv3NIei4A,2,Christina C.,christina,Female
24,0,-TDMW5TWfFlnnRgQZ71yeg,9S2-BhoRWNo-SOr577-XAw,5,Richard M.,richard,Male
25,1,-TDMW5TWfFlnnRgQZ71yeg,nUdGlxJ1NG-1VRnoSFOjtQ,4,Sheila O.,sheila,Female
26,2,-TDMW5TWfFlnnRgQZ71yeg,71s5mL2ywf6_Q3--e8GU2w,4,Mark S.,mark,Male
27,0,-WEs8Trhq6nZPMyTzrAn9Q,aJ1oY7NTKYLcH-8wJao4TQ,5,Grace B.,grace,Female
28,1,-WEs8Trhq6nZPMyTzrAn9Q,AB2N1vx_yxqePosMJf_lHA,1,Nancy D.,nancy,Female
29,2,-WEs8Trhq6nZPMyTzrAn9Q,lfQ8KcvPhAc6Ers5ibLEGg,5,Terry M.,terry,Male
30,0,-YazuZbXAM_NOny8LpLQpQ,kRYvGFsA_DOAemP0LwWSFQ,5,Lola T.,lola,Female
31,1,-YazuZbXAM_NOny8LpLQpQ,1xLYFkinS8K9mB_uc7YAOQ,3,An H.,an,Male
32,2,-YazuZbXAM_NOny8LpLQpQ,sF7bBusCpBxWdNGZhbacnw,3,Nora D.,nora,Female
33,0,-f3GB9AGUqLFkXorluMFTQ,iKwyZR3l93jLHrTHeGDVHQ,5,Felisa F.,felisa,Female
34,1,-f3GB9AGUqLFkXorluMFTQ,h0-RtCB_4UalGXLkd6Z9_w,4,Susan M.,susan,Female
35,2,-f3GB9AGUqLFkXorluMFTQ,MoxLWdyG5ieHLC1a3vzBKA,5,Elena A.,elena,Female
36,0,-ic13XJ9ekpEfshQFPKL4A,EHt9-PpEfYhdVW0b2PGgkQ,5,Tatiana C.,tatiana,Female
38,2,-ic13XJ9ekpEfshQFPKL4A,sTydWvNrFfNNQICY6L77IQ,1,David S.,david,Male
39,0,-jdadX3fGXA2TDapnufYFA,mLGFk66ngcTEDq-b89gmqg,5,Peter D.,peter,Male
40,1,-jdadX3fGXA2TDapnufYFA,CAr7MSB-vTD_LdJdFaXkAQ,1,Justin S.,justin,Male
42,0,-kVueEw_fyO1Q2Gkmj6Few,DSQj_X9t-4QaEVp_gNRqPw,5,Monte G.,monte,Male
43,1,-kVueEw_fyO1Q2Gkmj6Few,CSHckguOnBNBKMjWa8cUHQ,4,Jesse F.,jesse,Male
44,2,-kVueEw_fyO1Q2Gkmj6Few,0pspp_Atc6p9cjmsoMNrWw,4,Christos A.,christos,Male
45,0,-rqqnZeGmwyfkqoRskSO1g,xeejTBpq1AlI7Xdi1-QK5g,5,Thea G.,thea,Female
46,1,-rqqnZeGmwyfkqoRskSO1g,Zofa03Zn-7rG8Rs2PnKxJA,5,Mackenzie D.,mackenzie,Male
47,2,-rqqnZeGmwyfkqoRskSO1g,zbXWRMvdDpmDfRD1JYjVbw,5,Evan R.,evan,Male
48,0,-sqlUrNVD1xN5jlCtRAGdA,cYyovWmsSk5vS1X_5s8KOg,5,Irene N.,irene,Female
49,1,-sqlUrNVD1xN5jlCtRAGdA,S_wGhoYGVUMHXStll5eLGg,5,Rachel L.,rachel,Female
50,2,-sqlUrNVD1xN5jlCtRAGdA,WJmo6mFIVAgOzhQPzujb7g,4,John P.,john,Male
51,0,-wGvjd9NmPqrT0tm_pq1QQ,ZdliuWAqp5i4CSFrcQ-szA,5,Dinh D.,dinh,Male
