,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender,name,rating,zip_code,review_count,price,price_num
0,0,-6jVwUuXC1-dyr2YRCEU6Q,3xNxd1x6ew1QmGDLHxDFdA,5,Maggie Z.,maggie,Female,Anis Hyderabad Restaurant,4.0,63141,197,$$,2
2,2,-6jVwUuXC1-dyr2YRCEU6Q,Vi43zdZWfiZK6jPlGTWTGg,1,Hima R.,hima,Female,Anis Hyderabad Restaurant,4.0,63141,197,$$,2
4,0,-W0tnXYJ4WuxLjzmbwlVAQ,YWzudmGlyDK5T10tVUk8Kw,5,Colleen S.,colleen,Female,Tavolo V,4.0,63112,204,$$,2
5,1,-W0tnXYJ4WuxLjzmbwlVAQ,GBkWTtokcnP-PMlMEXDLbQ,2,Alyssa G.,alyssa,Female,Tavolo V,4.0,63112,204,$$,2
6,2,-W0tnXYJ4WuxLjzmbwlVAQ,0rbjx6XBf2mW1yEd5h95pA,1,Sharon Y.,sharon,Female,Tavolo V,4.0,63112,204,$$,2
7,0,-bGw8ARHQucKWEHEkxpGFw,yaANt1ghaK6kyV9BbV2G3w,5,Kaitlyn M.,kaitlyn,Female,The Daily Bread Bakery & Cafe,4.0,63131,97,$,1
8,1,-bGw8ARHQucKWEHEkxpGFw,QQXK5_UBtM3mV4O5BNbYqw,4,Dave F.,dave,Male,The Daily Bread Bakery & Cafe,4.0,63131,97,$,1
9,2,-bGw8ARHQucKWEHEkxpGFw,VTU5jXvimrGngT-Man5ZSA,3,Maggie H.,maggie,Female,The Daily Bread Bakery & Cafe,4.0,63131,97,$,1
10,0,-hto0uJjh8KFQZGc9ZAcuQ,mYjfqARuUMocnIBb4PZi_A,5,Faye T.,faye,Female,U-City Grill,4.0,63130,181,$,1
11,1,-hto0uJjh8KFQZGc9ZAcuQ,TcARsdQZEtaRJpBDmShVPQ,1,Morae K.,morae,Female,U-City Grill,4.0,63130,181,$,1
12,2,-hto0uJjh8KFQZGc9ZAcuQ,oRmNn-G5pw5CDjIi-5s__Q,1,John K.,john,Male,U-City Grill,4.0,63130,181,$,1
13,0,-kHHi8y4kaTI6WUVdJSdvQ,zfHH4fQ1slhdGeT-mfQbMA,4,Ian C.,ian,Male,Fitz's,3.5,63130,619,$$,2
16,1,-kHHi8y4kaTI6WUVdJSdvQ,Jtk0YcnMPyL9Wr9KkJClTw,4,Dianna S.,dianna,Female,Fitz's,3.5,63130,619,$$,2
19,0,-q4YqKsWJY6NtkQdnNeL1Q,y4tlYeTK1-bEn-Oysq2DvA,4,Tony V.,tony,Male,The Barn,4.0,63126,277,$$,2
22,1,-q4YqKsWJY6NtkQdnNeL1Q,oub2iO5d0KcpBnGKKcC2lg,4,Edward A.,edward,Male,The Barn,4.0,63126,277,$$,2
25,2,-q4YqKsWJY6NtkQdnNeL1Q,zJSCkbx1r0ox3qt9Tu5wXQ,1,paula p.,paula,Female,The Barn,4.0,63126,277,$$,2
28,0,-yu4koRugjxrnsey25oIuw,01NqKh3pEOvHDxSCEtV0nw,4,Cassandra G.,cassandra,Female,OL' Henry Restaurant,4.0,63134,41,$$,2
30,1,-yu4koRugjxrnsey25oIuw,3Bg0ObjJPxMtM59AwgpWWw,5,Deborah C.,deborah,Female,OL' Henry Restaurant,4.0,63134,41,$$,2
32,2,-yu4koRugjxrnsey25oIuw,RFoT8EwFZtXprqG3IfKt0g,4,Heather L.,heather,Female,OL' Henry Restaurant,4.0,63134,41,$$,2
34,0,07tT34LEBj1xVgLRk4L8qw,Y35_HUXrFE4aAdZw0us5tA,5,Carol E.,carol,Female,The Pasta House,3.5,63033,17,$$,2
35,1,07tT34LEBj1xVgLRk4L8qw,N0hKy8pwxQOsnZZFo4zgxA,3,Jennifer C.,jennifer,Female,The Pasta House,3.5,63033,17,$$,2
36,2,07tT34LEBj1xVgLRk4L8qw,jOjZ1OWRHJWePbWOqNsSkQ,1,Kendrea H.,kendrea,Female,The Pasta House,3.5,63033,17,$$,2
37,0,08kBMcufQMg-Dc9IouWIYQ,ztha5CgWybqy60jxcZIGJA,3,Sara L.,sara,Female,Liu Shun Wok,4.5,63128,27,$,1
38,1,08kBMcufQMg-Dc9IouWIYQ,Z53DkLNxPqPV3NUe7zZSeg,1,Cory B.,cory,Male,Liu Shun Wok,4.5,63128,27,$,1
39,2,08kBMcufQMg-Dc9IouWIYQ,1ZCSCgMZE6Ep2iq8u0yatg,4,Mike M.,mike,Male,Liu Shun Wok,4.5,63128,27,$,1
40,0,0AfjyySl4Rivh-QhWfrClA,mioy1QLgL0ry61jDtUyqJQ,5,Stephanie B.,stephanie,Female,58hundred,4.5,63139,116,$$,2
41,1,0AfjyySl4Rivh-QhWfrClA,swxvr9cbMHPUlH6f_5Sj3w,4,Steven B.,steven,Male,58hundred,4.5,63139,116,$$,2
42,2,0AfjyySl4Rivh-QhWfrClA,61xqtxyzILW9PWp2uwUTbQ,4,Nicole L.,nicole,Female,58hundred,4.5,63139,116,$$,2
43,0,0KwD4kiiIPoTOrHXVxwTyA,ZA_qVLS3zsHOPpUVAKJXmQ,5,Maggie M.,maggie,Female,Country Girl's Pie Shop,4.0,63115,19,$,1
44,1,0KwD4kiiIPoTOrHXVxwTyA,WV3QqHiPG1knTHqZbQq4JQ,4,Gloria R.,gloria,Female,Country Girl's Pie Shop,4.0,63115,19,$,1
45,2,0KwD4kiiIPoTOrHXVxwTyA,3mxcnA0cOtQ0uuH8WXLILQ,1,Cheryl M.,cheryl,Female,Country Girl's Pie Shop,4.0,63115,19,$,1
46,0,0MhxvTys2ADYa3sOO91ldQ,thOMsGuRwXtItKm3Pcr7iw,5,Ian S.,ian,Male,Egg,4.5,63104,563,$$,2
48,1,0MhxvTys2ADYa3sOO91ldQ,7YZdEcrGSHXzWrnVpqSZZA,4,Emily T.,emily,Female,Egg,4.5,63104,563,$$,2
50,2,0MhxvTys2ADYa3sOO91ldQ,AhoVT9lYWlq9bO1F-_56xg,5,Scott S.,scott,Male,Egg,4.5,63104,563,$$,2
52,0,0QYWhij_YZ7Lyk9F6213Sg,jv-mJfyixxKWcVA5AsQJpA,5,Frank W.,frank,Male,Pho Grand Restaurant,4.0,63118,607,$,1
54,2,0QYWhij_YZ7Lyk9F6213Sg,yfIU4iSo8nqbPPVre7RHzQ,5,Greg D.,greg,Male,Pho Grand Restaurant,4.0,63118,607,$,1
56,0,0cddB9WRKcQhzAEXEav81w,ndrTIieI2nYcSNkCYmpJDA,5,Kimberly W.,kimberly,Female,Pint Size Bakery & Coffee,4.5,63139,211,$,1
59,2,0cddB9WRKcQhzAEXEav81w,HcCQbjvJL2PbpRyd5JxjfQ,5,Mandie B.,mandie,Female,Pint Size Bakery & Coffee,4.5,63139,211,$,1
62,0,0upS_zVQ48_9WuTjxmwRqQ,G2c5XAAs9qCvMw2oinFL6g,5,Jenna N.,jenna,Female,Big L Chop Suey,4.0,63121,15,$,1
63,1,0upS_zVQ48_9WuTjxmwRqQ,7A_wXRPpj3o05W2naEO95Q,5,Big Mama's M.,big,Male,Big L Chop Suey,4.0,63121,15,$,1
64,2,0upS_zVQ48_9WuTjxmwRqQ,T6fyNET1yqfcaJOVFiHMEg,4,Sally K.,sally,Female,Big L Chop Suey,4.0,63121,15,$,1
65,0,1EdfURQCj75UbcLPh9rdSw,_o1Xdn8tPVbS8CH5RTpdGQ,4,Ed C.,ed,Male,Garvey's Grill,3.5,63129,57,$$,2
66,1,1EdfURQCj75UbcLPh9rdSw,T7PLRzSkBTRB8vvdf54-EA,1,Hollie K.,hollie,Female,Garvey's Grill,3.5,63129,57,$$,2
67,2,1EdfURQCj75UbcLPh9rdSw,iXYKGTqWT0KCoHJjh2W3ww,5,Marilyn H.,marilyn,Female,Garvey's Grill,3.5,63129,57,$$,2
68,0,1HRAmY7rTMKaY9-rNrppzg,yGkjYpqm4QpT_LhHpTpWRQ,5,Derek D.,derek,Male,One 19 North Tapas and Wine Bar,4.0,63122,158,$$,2
69,1,1HRAmY7rTMKaY9-rNrppzg,PesKClOWnsdi4PHnKo9UAQ,1,Erin M.,erin,Female,One 19 North Tapas and Wine Bar,4.0,63122,158,$$,2
70,2,1HRAmY7rTMKaY9-rNrppzg,cxNGrh8F13fW3IOJL4FHEg,4,Mark S.,mark,Male,One 19 North Tapas and Wine Bar,4.0,63122,158,$$,2
71,0,1KhNDQSdDqzPQaZk8PIdGg,JT5kppO_fW_Qg2W-Zpns0Q,5,Soham D.,soham,Female,West End Grill & Pub,4.0,63108,181,$$,2
72,1,1KhNDQSdDqzPQaZk8PIdGg,he8pA6RPYKSvFf_UPTOhqQ,3,Joan G.,joan,Female,West End Grill & Pub,4.0,63108,181,$$,2
73,2,1KhNDQSdDqzPQaZk8PIdGg,jtA_fMasiust9CU9ww1HQA,5,Lori E.,lori,Female,West End Grill & Pub,4.0,63108,181,$$,2
74,0,1XsoLhxLB7-iyxaLpoEmUg,47hK7yBXICBb4U_G4mcQQQ,5,Nyles S.,nyles,Male,Jefferson Barracks Park,4.5,63125,17,$,1
75,1,1XsoLhxLB7-iyxaLpoEmUg,OQx4yQCZTsOQPTaebvPZKw,5,Amber D.,amber,Female,Jefferson Barracks Park,4.5,63125,17,$,1
76,2,1XsoLhxLB7-iyxaLpoEmUg,1Ec4aeV-w2FNQTtbQzHkFw,5,Kelly P.,kelly,Female,Jefferson Barracks Park,4.5,63125,17,$,1
77,0,1dF6hKCLrdEPDOWcwrXgOA,-7IwtqRQdrvceM05Ov88uw,1,Mike C.,mike,Male,T Js Pizza,2.5,63137,3,$,1
78,1,1dF6hKCLrdEPDOWcwrXgOA,OjLvSymGF0RmPJxBNRc_Pw,5,Bill R.,bill,Male,T Js Pizza,2.5,63137,3,$,1
79,2,1dF6hKCLrdEPDOWcwrXgOA,hdp4tTwJN7Ln3K9v7tPP9w,1,Wendy C.,wendy,Female,T Js Pizza,2.5,63137,3,$,1
80,0,1elddy31XiqFPVrvvd9QiQ,jdRxQu--Py2dkpf9eTDJdw,4,Rag R.,rag,Male,Which Wich,4.0,63131,44,$,1
81,2,1elddy31XiqFPVrvvd9QiQ,a92rR5coT3flDkZjjgJfGg,1,Audrey P.,audrey,Female,Which Wich,4.0,63131,44,$,1
82,0,1lWASQ_QiT_RFPEeSvyF5w,MVZPAyHPZPl_j6iJQyW2nw,3,Lloyd C.,lloyd,Male,McDonald's,2.0,63033,11,$,1
83,1,1lWASQ_QiT_RFPEeSvyF5w,l2j4QdaHbH8FERpT2OmojA,1,Tasha P.,tasha,Female,McDonald's,2.0,63033,11,$,1
84,0,1o9IdLrFGMS2o5Y8uXKC0Q,Vu2x7CkBRdfUQjC_BDJmvg,5,Jemal D.,jemal,Male,Adam's Smokehouse,4.5,63139,314,$$,2
87,1,1o9IdLrFGMS2o5Y8uXKC0Q,O_bQf-Qim9Dk9K6zCYfSoA,4,Aaron D.,aaron,Male,Adam's Smokehouse,4.5,63139,314,$$,2
90,2,1o9IdLrFGMS2o5Y8uXKC0Q,HxbFq0_fbNi62sdgFfNduw,5,Craig M.,craig,Male,Adam's Smokehouse,4.5,63139,314,$$,2
93,0,1ulD4HL2G8qbpEuuWFDSqQ,IAwEwnegmFmIib_Cv36vAw,5,Maria H.,maria,Female,Himalayan Yeti,4.5,63139,214,$$,2
