,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender,name,rating,zip_code,review_count,price
0,0,-6jVwUuXC1-dyr2YRCEU6Q,3xNxd1x6ew1QmGDLHxDFdA,5,Maggie Z.,maggie,Female,Anis Hyderabad Restaurant,4.0,63141,197,$$
2,1,-6jVwUuXC1-dyr2YRCEU6Q,CGGd6QCgqoCF67U5GnRaCw,5,Shraddz S.,shraddz,,Anis Hyderabad Restaurant,4.0,63141,197,$$
4,2,-6jVwUuXC1-dyr2YRCEU6Q,Vi43zdZWfiZK6jPlGTWTGg,1,Hima R.,hima,Female,Anis Hyderabad Restaurant,4.0,63141,197,$$
6,0,-W0tnXYJ4WuxLjzmbwlVAQ,YWzudmGlyDK5T10tVUk8Kw,5,Colleen S.,colleen,Female,Tavolo V,4.0,63112,204,$$
7,1,-W0tnXYJ4WuxLjzmbwlVAQ,GBkWTtokcnP-PMlMEXDLbQ,2,Alyssa G.,alyssa,Female,Tavolo V,4.0,63112,204,$$
8,2,-W0tnXYJ4WuxLjzmbwlVAQ,0rbjx6XBf2mW1yEd5h95pA,1,Sharon Y.,sharon,Female,Tavolo V,4.0,63112,204,$$
9,0,-bGw8ARHQucKWEHEkxpGFw,yaANt1ghaK6kyV9BbV2G3w,5,Kaitlyn M.,kaitlyn,Female,The Daily Bread Bakery & Cafe,4.0,63131,97,$
10,1,-bGw8ARHQucKWEHEkxpGFw,QQXK5_UBtM3mV4O5BNbYqw,4,Dave F.,dave,Male,The Daily Bread Bakery & Cafe,4.0,63131,97,$
11,2,-bGw8ARHQucKWEHEkxpGFw,VTU5jXvimrGngT-Man5ZSA,3,Maggie H.,maggie,Female,The Daily Bread Bakery & Cafe,4.0,63131,97,$
12,0,-hto0uJjh8KFQZGc9ZAcuQ,mYjfqARuUMocnIBb4PZi_A,5,Faye T.,faye,Female,U-City Grill,4.0,63130,181,$
13,1,-hto0uJjh8KFQZGc9ZAcuQ,TcARsdQZEtaRJpBDmShVPQ,1,Morae K.,morae,Female,U-City Grill,4.0,63130,181,$
