nameprimary,gender,first_name,count
AA,Not Known,aa,1
AABHA,Female,aabha,1
AABIDA,Female,aabida,1
AAD,Male,aad,1
AADARSH,Male,aadarsh,1
AADEL,Female,aadel,1
AADEYEMI,Not Known,aadeyemi,1
AADIL,Male,aadil,1
AADT,Not Known,aadt,1
AADU,Not Known,aadu,1
AAFRAM,Not Known,aafram,1
AAFTAB,Male,aaftab,1
AAGE,Male,aage,1
AAHREN,Not Known,aahren,1
AAI,Male,aai,1
AAISHAH,Female,aaishah,1
AAJ,Not Known,aaj,1
AAKARSHAN,Not Known,aakarshan,1
AAKASH,Male,aakash,1
AALDERT,Male,aaldert,1
AALIA,Female,aalia,1
AALIYA,Female,aaliya,1
AALOK,Male,aalok,1
AAMER,Male,aamer,1
AAMINA,Female,aamina,1
AAMIR,Male,aamir,1
AANA,Female,aana,1
AANAND,Male,aanand,1
AAPO,Not Known,aapo,1
AARASH,Female,aarash,1
AARATHI,Female,aarathi,1
AARATI,Female,aarati,1
AARE,Male,aare,1
AAREN,Male,aaren,1
AARICKA,Female,aaricka,1
AARIJ,Not Known,aarij,1
AARIKA,Female,aarika,1
AARIN,Male,aarin,1
AARN,Male,aarn,1
AARNARIAN,Not Known,aarnarian,1
AARO,Not Known,aaro,1
AARON,Male,aaron,1
AARONMICHAEL,Not Known,aaronmichael,1
AART,Male,aart,1
AARTA,Not Known,aarta,1
AARTHI,Female,aarthi,1
AARTI,Female,aarti,1
AARTIE,Female,aartie,1
AARUNI,Female,aaruni,1
AARUSHI,Not Known,aarushi,1
AARYN,Female,aaryn,1
AARóN,Not Known,aarón,1
AAS,Not Known,aas,1
AASE,Female,aase,1
AASHA,Female,aasha,1
AASHEESH,Male,aasheesh,1
AASHISH,Male,aashish,1
AASHIT,Not Known,aashit,1
AASIA,Female,aasia,1
AASIMA,Female,aasima,1
AASMA,Female,aasma,1
AAYESHA,Female,aayesha,1
AB,Both,ab,1
ABA,Both,aba,1
ABABIYA,Not Known,ababiya,1
ABAD,Male,abad,1
ABADI,Not Known,abadi,1
ABAGAIL,Female,abagail,1
ABAI,Male,abai,1
ABAIGEAL,Female,abaigeal,1
ABAM,Male,abam,1
ABANTI,Not Known,abanti,1
ABAPM,Not Known,abapm,1
ABAS,Male,abas,1
ABASI,Male,abasi,1
ABASS,Not Known,abass,1
ABATE,Female,abate,1
ABAY,Not Known,abay,1
ABAYOMI,Both,abayomi,1
ABBA,Male,abba,1
ABBAS,Male,abbas,1
ABBASALI,Male,abbasali,1
ABBAY,Not Known,abbay,1
ABBE,Female,abbe,1
ABBEGAEL,Not Known,abbegael,1
ABBEY,Both,abbey,1
ABBEYGAIL,Female,abbeygail,1
ABBI,Female,abbi,1
ABBIE,Female,abbie,1
ABBIGAIL,Female,abbigail,1
ABBIGALE,Female,abbigale,1
ABBOT,Both,abbot,1
ABBOTT,Male,abbott,1
ABBY,Female,abby,1
ABBYE,Female,abbye,1
ABBYGAYLE,Not Known,abbygayle,1
ABD,Male,abd,1
ABDA,Female,abda,1
ABDALLA,Male,abdalla,1
ABDALLAH,Male,abdallah,1
ABDE,Male,abde,1
ABDEEN,Male,abdeen,1
ABDEL,Male,abdel,1
ABDELAH,Male,abdelah,1
ABDELALI,Male,abdelali,1
ABDELAZIZ,Male,abdelaziz,1
ABDELFATTAH,Not Known,abdelfattah,1
ABDELFETTAH,Not Known,abdelfettah,1
ABDELHADI,Male,abdelhadi,1
ABDELHADY,Male,abdelhady,1
ABDELHAMID,Male,abdelhamid,1
ABDELHANINE,Not Known,abdelhanine,1
ABDELILAH,Male,abdelilah,1
ABDELLAH,Male,abdellah,1
ABDELLATIF,Male,abdellatif,1
ABDELRAHMAN,Male,abdelrahman,1
ABDELRAUF,Female,abdelrauf,1
ABDELRHMAN,Not Known,abdelrhman,1
ABDERAMANE,Not Known,abderamane,1
ABDESSATTAR,Not Known,abdessattar,1
ABDESSLEM,Female,abdesslem,1
ABDETTAZIZ,Not Known,abdettaziz,1
ABDI,Male,abdi,1
ABDIAS,Male,abdias,1
ABDIEL,Male,abdiel,1
ABDIKADIR,Female,abdikadir,1
ABDINASIR,Male,abdinasir,1
ABDO,Male,abdo,1
ABDOLLAH,Male,abdollah,1
ABDOLREZA,Male,abdolreza,1
ABDON,Male,abdon,1
ABDOOL,Male,abdool,1
ABDOUL,Male,abdoul,1
ABDOULAYE,Male,abdoulaye,1
ABDU,Male,abdu,1
ABDUAL,Male,abdual,1
ABDUDAYEM,Not Known,abdudayem,1
ABDUL,Male,abdul,1
ABDULAI,Not Known,abdulai,1
ABDULALI,Not Known,abdulali,1
ABDULATIF,Male,abdulatif,1
ABDULAZEEZ,Male,abdulazeez,1
ABDULAZIZ,Male,abdulaziz,1
ABDULBASIT,Not Known,abdulbasit,1
ABDULFATTAH,Male,abdulfattah,1
ABDULGAFFAR,Not Known,abdulgaffar,1
ABDULGHAFAR,Female,abdulghafar,1
ABDULHAKIM,Male,abdulhakim,1
ABDULHAQ,Not Known,abdulhaq,1
ABDULHAY,Male,abdulhay,1
ABDULKADER,Not Known,abdulkader,1
ABDULKHABEER,Not Known,abdulkhabeer,1
ABDULL,Not Known,abdull,1
ABDULLA,Both,abdulla,1
ABDULLAH,Male,abdullah,1
ABDULLAHI,Male,abdullahi,1
ABDULLAM,Not Known,abdullam,1
ABDULLATIF,Male,abdullatif,1
ABDULLUH,Female,abdulluh,1
ABDULMOHSEN,Not Known,abdulmohsen,1
ABDULMONEIM,Not Known,abdulmoneim,1
ABDULNASIR,Not Known,abdulnasir,1
ABDULRAHIM,Not Known,abdulrahim,1
ABDULRAHMAN,Male,abdulrahman,1
ABDULRASHEED,Male,abdulrasheed,1
ABDULSAMIA,Not Known,abdulsamia,1
ABDULWAHAB,Not Known,abdulwahab,1
ABDUR,Male,abdur,1
ABDURAHMAN,Male,abdurahman,1
ABDUS,Male,abdus,1
ABDUSS,Not Known,abduss,1
ABDY,Female,abdy,1
ABE,Male,abe,1
ABED,Male,abed,1
ABEER,Female,abeer,1
ABEEZAR,Not Known,abeezar,1
ABEGAIL,Female,abegail,1
ABEL,Male,abel,1
ABELAINE,Not Known,abelaine,1
ABELARDO,Male,abelardo,1
ABELE,Male,abele,1
ABELINA,Female,abelina,1
ABELINO,Male,abelino,1
ABENA,Female,abena,1
ABENAA,Female,abenaa,1
ABENG,Not Known,abeng,1
ABERA,Female,abera,1
ABERDEEN,Female,aberdeen,1
ABERLE,Not Known,aberle,1
ABERLEEN,Not Known,aberleen,1
ABERSON,Not Known,aberson,1
ABESH,Not Known,abesh,1
ABG,Not Known,abg,1
ABGAIL,Female,abgail,1
ABHA,Female,abha,1
ABHAI,Male,abhai,1
ABHAS,Female,abhas,1
ABHAY,Male,abhay,1
ABHEY,Female,abhey,1
ABHIJAI,Not Known,abhijai,1
ABHIJAT,Female,abhijat,1
ABHIJIT,Male,abhijit,1
ABHIK,Male,abhik,1
ABHILASH,Male,abhilash,1
ABHILEKH,Not Known,abhilekh,1
ABHIMANYU,Male,abhimanyu,1
ABHINAV,Male,abhinav,1
ABHINIT,Not Known,abhinit,1
ABHISHE,Not Known,abhishe,1
ABHISHEK,Male,abhishek,1
ABHISHK,Not Known,abhishk,1
ABHISHéK,Not Known,abhishék,1
ABHIXIT,Not Known,abhixit,1
ABI,Female,abi,1
ABIANE,Not Known,abiane,1
ABID,Male,abid,1
ABIDA,Female,abida,1
ABIDEMI,Both,abidemi,1
ABIDIN,Female,abidin,1
ABIEL,Female,abiel,1
ABIGAIL,Female,abigail,1
ABIGAILMARY,Not Known,abigailmary,1
ABIGAL,Female,abigal,1
ABIGALE,Female,abigale,1
ABIGAYLE,Female,abigayle,1
ABILIO,Male,abilio,1
ABIM,Female,abim,1
ABIMAEL,Male,abimael,1
ABIMAN,Not Known,abiman,1
ABIMBIOLA,Not Known,abimbiola,1
ABIMBOLA,Female,abimbola,1
ABIODUN,Both,abiodun,1
ABIOLA,Both,abiola,1
ABIONA,Female,abiona,1
ABIOYE,Female,abioye,1
ABIR,Both,abir,1
ABIRACHED,Not Known,abirached,1
ABIRAM,Not Known,abiram,1
ABISHAG,Not Known,abishag,1
ABISHAI,Male,abishai,1
ABISOLA,Female,abisola,1
ABISOYE,Not Known,abisoye,1
ABIYE,Not Known,abiye,1
ABIYU,Female,abiyu,1
ABIZER,Not Known,abizer,1
ABJA,Female,abja,1
ABLA,Female,abla,1
ABLE,Male,able,1
ABNER,Male,abner,1
ABNEY,Female,abney,1
ABOG,Not Known,abog,1
ABOLGHASSEM,Not Known,abolghassem,1
ABOSEDE,Female,abosede,1
ABOUBACAR,Male,aboubacar,1
ABOUCHITA,Not Known,abouchita,1
ABR,Not Known,abr,1
ABRA,Female,abra,1
ABRAAM,Male,abraam,1
ABRAB,Not Known,abrab,1
ABRADAT,Not Known,abradat,1
ABRAHAM,Male,abraham,1
ABRAHAO,Male,abrahao,1
ABRAHIM,Male,abrahim,1
ABRAHM,Male,abrahm,1
ABRAM,Male,abram,1
ABRAMKINA,Not Known,abramkina,1
ABRAN,Male,abran,1
ABRAR,Male,abrar,1
ABRIELLE,Female,abrielle,1
ABRIL,Female,abril,1
ABSALOM,Male,absalom,1
ABU,Male,abu,1
ABUBAKAR,Male,abubakar,1
ABUBAKARR,Male,abubakarr,1
ABUBAKER,Male,abubaker,1
ABUL,Male,abul,1
ABURA,Not Known,abura,1
ABUZAR,Not Known,abuzar,1
ABUZER,Male,abuzer,1
ABV,Not Known,abv,1
ABW,Not Known,abw,1
ABY,Both,aby,1
ABYLKHAIR,Not Known,abylkhair,1
AC,Both,ac,1
ACACIA,Female,acacia,1
ACACIO,Male,acacio,1
ACACM,Not Known,acacm,1
ACCURSIO,Male,accursio,1
ACDEEL,Not Known,acdeel,1
ACE,Male,ace,1
ACG,Not Known,acg,1
ACHAL,Male,achal,1
ACHALA,Female,achala,1
ACHAN,Female,achan,1
ACHARA,Female,achara,1
ACHCHAREEYA,Not Known,achchareeya,1
ACHESON,Male,acheson,1
ACHIA,Female,achia,1
ACHIENG,Female,achieng,1
ACHIEZER,Not Known,achiezer,1
ACHIKE,Male,achike,1
ACHILLE,Male,achille,1
ACHILLEAS,Male,achilleas,1
ACHILLES,Male,achilles,1
ACHIM,Male,achim,1
ACHIMR,Not Known,achimr,1
ACHIMRUDIGER,Not Known,achimrudiger,1
ACHIMRüDIGER,Not Known,achimrüdiger,1
ACHINI,Female,achini,1
ACHINT,Male,achint,1
ACHIRAYA,Not Known,achiraya,1
ACHLA,Female,achla,1
ACHMAD,Male,achmad,1
ACHMAT,Male,achmat,1
ACHMED,Male,achmed,1
ACHOUR,Male,achour,1
ACHRAF,Male,achraf,1
ACHU,Female,achu,1
ACHUTHAN,Male,achuthan,1
ACHYUT,Male,achyut,1
ACIE,Male,acie,1
ACIEL,Not Known,aciel,1
ACIMA,Not Known,acima,1
ACJ,Not Known,acj,1
ACK,Male,ack,1
ACKERMAN,Male,ackerman,1
ACKERMANN,Not Known,ackermann,1
ACKNEIL,Not Known,ackneil,1
ACL,Not Known,acl,1
ACM,Not Known,acm,1
ACMA,Not Known,acma,1
ACOSTAGRUBB,Not Known,acostagrubb,1
ACR,Female,acr,1
ACS,Not Known,acs,1
ACTON,Male,acton,1
ACW,Not Known,acw,1
ACáCIO,Not Known,acácio,1
AD,Male,ad,1
ADA,Female,ada,1
ADABELLE,Female,adabelle,1
ADAI,Female,adai,1
ADAIR,Male,adair,1
ADAIRIUS,Not Known,adairius,1
ADALBA,Not Known,adalba,1
ADALBERT,Male,adalbert,1
ADALBERTO,Male,adalberto,1
ADALGISA,Female,adalgisa,1
ADALILA,Female,adalila,1
ADALINE,Female,adaline,1
ADALJISA,Female,adaljisa,1
ADALSINDA,Female,adalsinda,1
ADAM,Male,adam,1
ADAMA,Female,adama,1
ADAMANTIA,Female,adamantia,1
ADAMARIE,Female,adamarie,1
ADAMIRA,Female,adamira,1
ADAMO,Male,adamo,1
ADAMONT,Not Known,adamont,1
ADAMOS,Male,adamos,1
ADAMS,Both,adams,1
ADAMSON,Male,adamson,1
ADAMU,Male,adamu,1
ADAN,Both,adan,1
ADANARI,Not Known,adanari,1
ADANECH,Female,adanech,1
ADANI,Male,adani,1
ADANTE,Male,adante,1
ADAOBI,Female,adaobi,1
ADAR,Female,adar,1
ADARSH,Both,adarsh,1
ADATIA,Not Known,adatia,1
ADAUTO,Male,adauto,1
ADAV,Not Known,adav,1
ADAWM,Not Known,adawm,1
ADBEL,Not Known,adbel,1
ADD,Not Known,add,1
ADDA,Female,adda,1
ADDI,Female,addi,1
ADDIA,Female,addia,1
ADDICK,Not Known,addick,1
ADDIE,Female,addie,1
ADDILYN,Female,addilyn,1
ADDIS,Male,addis,1
ADDISAH,Not Known,addisah,1
ADDISON,Both,addison,1
ADDY,Both,addy,1
ADDYS,Female,addys,1
ADE,Male,ade,1
ADEA,Female,adea,1
ADEBAMBO,Female,adebambo,1
ADEBANJI,Male,adebanji,1
ADEBANKE,Female,adebanke,1
ADEBAYO,Male,adebayo,1
ADEBIMPE,Both,adebimpe,1
ADEBISI,Both,adebisi,1
ADEBOLA,Both,adebola,1
ADEBOWALE,Male,adebowale,1
ADEBUSOLA,Female,adebusola,1
ADEDAPO,Not Known,adedapo,1
ADEDAYO,Both,adedayo,1
ADEDOLAPO,Male,adedolapo,1
ADEDOTUN,Male,adedotun,1
ADEDOYIN,Female,adedoyin,1
ADEEB,Male,adeeb,1
ADEEBA,Female,adeeba,1
ADEEL,Male,adeel,1
ADEELA,Female,adeela,1
ADEENA,Female,adeena,1
ADEFEMI,Female,adefemi,1
ADEFUNKE,Female,adefunke,1
ADEGBENGA,Male,adegbenga,1
ADEGBITE,Not Known,adegbite,1
ADEGBOYEGA,Male,adegboyega,1
ADEGILSON,Male,adegilson,1
ADEJUMOKE,Female,adejumoke,1
ADEKEMI,Female,adekemi,1
ADEKUNLE,Male,adekunle,1
ADEL,Both,adel,1
ADELA,Female,adela,1
ADELAIDA,Female,adelaida,1
ADELAIDE,Female,adelaide,1
ADELAINE,Female,adelaine,1
ADELAJA,Male,adelaja,1
ADELANA,Female,adelana,1
ADELANWA,Not Known,adelanwa,1
ADELARA,Female,adelara,1
ADELARD,Male,adelard,1
ADELBERT,Male,adelbert,1
ADELE,Female,adele,1
ADELEKE,Male,adeleke,1
ADELENE,Female,adelene,1
ADELFA,Female,adelfa,1
ADELHEID,Female,adelheid,1
ADELIA,Female,adelia,1
ADELIANA,Female,adeliana,1
ADELICIA,Female,adelicia,1
ADELINA,Female,adelina,1
ADELINE,Female,adeline,1
ADELINO,Male,adelino,1
ADELIO,Male,adelio,1
ADELIS,Female,adelis,1
ADELISIA,Female,adelisia,1
